Time,dcVoltage(V),totalActivePower(W),L1_acCurrent(A),L1_acFrequency(Hz),L1_acVoltage(V),L1_activePower(W),L1_reactivePower(W),L2_acCurrent(A),L2_acFrequency(Hz),L2_acVoltage(V),L2_activePower(W),L2_reactivePower(W),L3_acCurrent(A),L3_acFrequency(Hz),L3_acVoltage(V),L3_activePower(W),L3_reactivePower(W)
2023-06-22 07:00:00,749.612,5924.29,8.8906,50.0009,225.004,1985.8,-271.102,8.86605,50.0007,224.9,1978.58,-290.167,8.7886,50.001,224.396,1959.91,-239.437
2023-06-22 07:05:00,749.513,3530.44,5.39552,50.0263,226.161,1189.87,-272.424,5.35376,50.0269,225.965,1176.71,-287.666,5.26344,50.0268,225.258,1163.86,-240.885
2023-06-22 07:10:00,749.584,5771.83,8.6791,50.0377,226.536,1941.12,-329.882,8.60293,50.0374,226.744,1921.25,-368.771,8.50858,50.0373,226.252,1909.46,-281.868
2023-06-22 07:15:00,749.78,7429.01,11.0201,50.034,226.911,2492.44,-254.404,10.9249,50.0323,226.935,2470.45,-276.176,10.9119,50.0326,226.331,2466.12,-232.619
2023-06-22 07:20:00,749.753,8957.03,13.2188,50.0419,226.82,2992.68,-251.431,13.2223,50.0411,226.955,2992.92,-279.513,13.1435,50.0416,225.917,2971.44,-230.363
2023-06-22 07:25:00,749.618,10819.6,15.9538,50.0456,227.197,3624.72,-241.801,15.8814,50.0455,227.226,3606.79,-270.114,15.8063,50.0457,226.821,3588.08,-219.422
2023-06-22 07:30:00,749.661,6703.13,10.0071,50.0372,226.109,2241.77,-327.586,9.98126,50.037,226.133,2232.96,-369.262,9.92297,50.0377,225.661,2228.41,-277.164
2023-06-22 07:35:00,749.443,10316.1,15.2135,50.0393,226.728,3445.07,-250.109,15.2092,50.0393,226.849,3445.65,-278.245,15.1416,50.0404,225.834,3425.36,-220.452
2023-06-22 07:40:00,749.799,9562.61,14.1634,50.0337,226.567,3200.17,-301.167,14.0863,50.0335,226.458,3180.33,-352.327,14.0786,50.0348,226.164,3182.11,-263.967
2023-06-22 07:45:00,749.798,10343.7,15.2122,50.0443,227.422,3457.65,-241.666,15.1632,50.0439,227.317,3446.84,-257.676,15.1661,50.0436,227.039,3439.24,-223.047
2023-06-22 07:50:00,749.629,10369.6,15.4517,50.0512,224.407,3461.47,-287.568,15.4594,50.0512,224.449,3463.1,-337.589,15.3711,50.0515,224.096,3444.99,-243.442
2023-06-22 07:55:00,749.632,11555.9,17.1853,50.0457,224.611,3859.98,-243.568,17.1794,50.0455,224.494,3856.35,-274.404,17.1132,50.0459,224.149,3839.55,-212.387
2023-06-22 08:00:00,749.598,11530.0,17.1726,50.0528,224.315,3851.17,-238.475,17.1317,50.0525,224.344,3845.03,-264.371,17.1066,50.0541,223.864,3833.85,-213.664
2023-06-22 08:05:00,749.641,12924.4,19.1999,50.049,224.612,4311.9,-247.754,19.1602,50.0488,224.746,4310.74,-268.132,19.1712,50.0492,224.217,4301.72,-220.509
