Time,dcVoltage(V),totalActivePower(W),L1_acCurrent(A),L1_acFrequency(Hz),L1_acVoltage(V),L1_activePower(W),L1_reactivePower(W),L2_acCurrent(A),L2_acFrequency(Hz),L2_acVoltage(V),L2_activePower(W),L2_reactivePower(W),L3_acCurrent(A),L3_acFrequency(Hz),L3_acVoltage(V),L3_activePower(W),L3_reactivePower(W)
2023-07-09 07:00:00,750.522,10526.1,15.8457,50.0119,222.85,3521.05,-369.38,15.79,50.0125,222.937,3502.88,-363.917,15.8102,50.0129,222.361,3502.21,-392.522
2023-07-09 07:05:00,750.319,11285.1,17.0599,50.0352,222.034,3785.2,-351.048,16.9621,50.0355,221.999,3756.47,-339.962,16.9405,50.0344,221.346,3743.38,-369.723
2023-07-09 07:10:00,750.393,12548.5,18.9435,49.9661,221.629,4202.7,-346.225,18.9072,49.9693,221.801,4187.23,-347.272,18.8015,49.9685,221.217,4158.53,-370.645
2023-07-09 07:15:00,750.37,13594.8,20.5639,49.9658,221.089,4550.09,-342.029,20.4184,49.9638,221.312,4511.88,-324.931,20.5388,49.9645,220.7,4532.8,-374.929
2023-07-09 07:20:00,750.341,16181.8,23.9538,50.0351,225.399,5405.49,-321.759,23.9779,50.0348,225.533,5406.29,-319.88,23.8752,50.034,225.005,5370.02,-371.907
2023-07-09 07:25:00,750.36,16809.1,24.9209,49.9663,225.721,5627.31,-322.481,24.8558,49.966,225.525,5598.47,-318.922,24.8192,49.9659,225.026,5583.34,-373.525
2023-07-09 07:30:00,750.182,18334.1,26.782,49.9912,228.999,6138.43,-328.94,26.6501,49.9911,229.241,6101.0,-317.58,26.6404,49.9913,228.344,6094.67,-382.427
2023-07-09 07:35:00,750.628,18513.5,27.5718,49.9722,224.684,6196.77,-323.108,27.4151,49.9733,225.012,6160.89,-324.742,27.429,49.9712,223.899,6155.82,-381.427
2023-07-09 07:40:00,750.112,20463.5,30.3731,50.0365,224.981,6840.82,-320.348,30.2978,50.0368,225.193,6817.8,-322.835,30.3063,50.0374,224.534,6804.85,-396.532
2023-07-09 07:45:00,750.484,21891.0,32.4941,50.0364,225.096,7332.58,-327.054,32.3434,50.0361,225.243,7284.28,-315.847,32.345,50.0364,224.596,7274.1,-403.047
2023-07-09 07:50:00,750.259,23116.8,34.2389,50.0308,225.727,7743.61,-317.086,34.0526,50.0302,225.903,7689.18,-317.367,34.0822,50.0317,225.38,7683.99,-401.909
2023-07-09 07:55:00,750.45,21212.9,31.5164,50.0188,224.966,7102.64,-320.145,31.4405,50.0195,225.081,7065.09,-316.148,31.3836,50.0197,224.689,7045.14,-395.434
2023-07-09 08:00:00,750.31,27966.1,41.3535,50.0355,225.262,9355.09,-323.533,41.2563,50.035,225.528,9316.51,-334.645,41.1907,50.0353,225.402,9294.49,-403.424
2023-07-09 08:05:00,750.142,29645.9,43.8802,50.0059,225.552,9920.48,-337.464,43.7613,50.0052,225.683,9873.6,-342.358,43.6712,50.0066,225.331,9851.83,-451.339
2023-07-09 08:10:00,750.364,28632.6,42.4363,49.9668,225.281,9581.42,-362.831,42.3079,49.9672,225.295,9536.64,-362.433,42.2755,49.9673,224.816,9514.54,-473.525
2023-07-09 08:15:00,750.28,33677.3,49.7346,50.0126,225.534,11256.6,-372.252,49.6115,50.0129,225.699,11217.2,-378.814,49.5911,50.0133,225.225,11203.6,-481.835
2023-07-09 08:20:00,750.15,33419.4,49.3461,50.0105,225.931,11179.9,-353.266,49.2403,50.0102,226.298,11138.4,-360.097,49.1265,50.0103,225.834,11101.1,-472.5
2023-07-09 08:25:00,750.297,33011.8,48.7061,50.0379,225.664,11018.0,-363.204,48.6949,50.0378,226.053,11009.5,-375.482,48.6298,50.0384,225.49,10984.2,-474.582
2023-07-09 08:30:00,749.951,35810.6,52.9024,50.0153,225.345,11981.0,-362.255,52.6951,50.014,225.788,11921.1,-376.72,52.6851,50.0159,225.606,11908.5,-449.493
2023-07-09 08:35:00,750.204,39732.1,58.642,49.9745,225.895,13275.6,-410.874,58.5075,49.9739,226.612,13226.3,-421.435,58.5819,49.974,225.853,13230.2,-542.297
2023-07-09 08:40:00,750.301,39871.9,58.6453,50.0081,226.557,13326.1,-396.125,58.5398,50.0073,226.704,13285.9,-420.069,58.4354,50.0084,226.442,13259.9,-521.775
2023-07-09 08:45:00,750.194,39988.2,58.9113,50.0396,226.402,13368.6,-401.721,58.7789,50.0409,226.824,13309.9,-403.115,58.7868,50.0407,226.288,13309.7,-533.01
2023-07-09 08:50:00,750.303,42713.0,62.7514,49.9782,226.457,14251.4,-408.493,62.666,49.978,226.857,14219.8,-402.838,62.7886,49.9777,226.422,14241.8,-540.008
2023-07-09 08:55:00,750.414,45203.7,66.5723,50.0292,226.943,15127.5,-400.842,66.3504,50.0294,227.272,15034.6,-426.602,66.3209,50.0298,226.934,15041.6,-537.303
2023-07-09 09:00:00,750.222,54175.0,79.1263,49.9794,227.62,18075.4,-435.675,79.0375,49.9786,228.188,18038.1,-459.543,79.126,49.9791,227.83,18061.5,-619.254
2023-07-09 09:05:00,750.268,40832.2,60.1421,49.9758,226.288,13645.2,-395.036,60.0113,49.9755,226.522,13581.5,-400.972,60.0943,49.9758,226.206,13605.5,-530.597
2023-07-09 09:10:00,750.434,39210.4,57.7784,49.9741,225.941,13111.9,-377.576,57.7384,49.9739,226.628,13064.1,-396.059,57.6294,49.9742,225.862,13034.4,-504.478
2023-07-09 09:15:00,749.728,16294.0,24.3001,49.9671,224.366,5448.25,-375.84,24.2779,49.9688,224.05,5433.66,-371.401,24.1913,49.9679,223.567,5412.05,-419.029
2023-07-09 09:20:00,750.145,19712.6,29.351,50.0018,224.043,6588.97,-359.495,29.2997,50.0029,224.522,6567.72,-361.219,29.3011,50.0014,223.713,6555.93,-439.651
2023-07-09 09:25:00,750.209,22007.0,32.8153,50.0224,224.005,7370.3,-341.537,32.7128,50.0219,224.434,7330.93,-335.714,32.6288,50.0227,223.948,7305.76,-405.737
2023-07-09 09:30:00,750.271,18671.0,27.8786,49.9886,224.188,6255.09,-353.437,27.6485,49.9893,224.673,6200.21,-346.409,27.7486,49.9889,224.093,6215.71,-404.291
2023-07-09 09:35:00,750.397,14536.2,21.7923,49.9935,224.606,4889.7,-384.775,21.62,49.9941,224.734,4837.27,-371.846,21.5137,49.9937,224.154,4809.19,-416.897
2023-07-09 09:40:00,750.162,17037.7,25.3964,50.0097,224.435,5698.05,-370.088,25.3075,50.0099,224.48,5671.57,-380.255,25.3189,50.0095,224.048,5668.06,-442.247
2023-07-09 09:45:00,750.28,18392.7,27.3923,49.9739,224.511,6147.41,-362.167,27.3003,49.9738,224.359,6120.11,-351.674,27.356,49.9735,223.791,6125.19,-437.514
2023-07-09 09:50:00,750.055,64249.4,93.3293,49.9945,228.993,21425.5,-466.172,93.3157,49.9933,229.763,21420.7,-482.545,93.371,49.994,229.316,21403.2,-655.472
2023-07-09 09:55:00,750.119,60043.6,87.1761,50.0331,228.326,20014.8,-498.27,87.287,50.0322,229.371,20027.5,-517.562,87.2161,50.0337,228.97,20001.3,-730.077
2023-07-09 10:00:00,749.979,24038.6,35.7457,50.0231,224.272,8043.71,-339.654,35.7134,50.0239,224.367,8015.77,-346.387,35.5885,50.0236,223.963,7979.14,-408.807
2023-07-09 10:05:00,750.018,31022.2,45.9261,50.0359,224.955,10370.8,-369.559,45.8946,50.036,225.541,10338.0,-377.608,45.8163,50.0365,224.983,10313.4,-476.401
2023-07-09 10:10:00,749.762,32287.2,47.7846,49.9903,225.505,10798.0,-377.763,47.6812,49.9891,225.911,10751.9,-379.461,47.6775,49.9898,225.25,10737.2,-461.935
2023-07-09 10:15:00,750.267,62433.6,90.6244,50.0092,229.05,20828.0,-508.019,90.6161,50.0083,229.949,20827.6,-538.048,90.5303,50.0083,229.54,20778.0,-680.561
2023-07-09 10:20:00,750.013,65891.1,95.6134,50.0138,229.133,22007.2,-477.231,95.4874,50.0131,229.893,21963.2,-526.705,95.3365,50.0141,229.989,21920.6,-671.4
2023-07-09 10:25:00,860.133,66603.9,96.7047,50.0284,229.393,22258.0,-480.994,96.3985,50.0273,230.351,22191.1,-514.793,96.3679,50.0282,229.827,22154.7,-613.652
2023-07-09 10:30:00,750.245,24265.3,36.0539,49.9985,224.395,8105.64,-358.946,35.9742,49.9978,224.579,8077.13,-347.962,36.0362,49.9974,224.05,8082.51,-425.015
2023-07-09 10:35:00,749.857,37318.5,54.9042,50.0088,226.62,12473.0,-418.933,54.8644,50.0101,227.178,12447.7,-429.979,54.6842,50.0096,226.309,12397.8,-519.832
2023-07-09 10:40:00,847.77,66574.4,96.3218,50.0319,230.081,22243.4,-491.575,96.1001,50.0315,230.917,22177.9,-513.02,96.0893,50.0317,230.479,22153.2,-681.665
2023-07-09 10:45:00,858.438,66512.3,96.3579,50.0146,229.693,22202.1,-474.847,96.3106,50.0155,230.623,22193.8,-507.004,96.1656,50.0148,230.117,22116.4,-661.694
2023-07-09 10:50:00,840.812,66641.8,96.6611,50.0306,229.762,22284.2,-485.667,96.1907,50.031,230.565,22172.1,-543.132,96.2798,50.0308,229.877,22185.6,-628.193
2023-07-09 10:55:00,750.141,29002.4,42.8387,49.971,225.601,9677.3,-369.157,42.8963,49.9709,225.939,9688.72,-370.885,42.7571,49.9711,224.969,9636.36,-437.957
2023-07-09 11:00:00,750.184,40742.4,59.9378,50.009,226.935,13642.3,-408.411,59.6578,50.0091,227.244,13558.5,-419.471,59.591,50.008,227.275,13541.7,-502.213
2023-07-09 11:05:00,749.56,43937.7,64.5372,49.9639,226.732,14673.3,-430.104,64.514,49.9642,227.049,14659.5,-424.669,64.3334,49.9647,226.723,14605.0,-544.899
2023-07-09 11:10:00,880.553,66638.6,96.5636,49.9703,229.589,22253.9,-471.932,96.4705,49.9697,230.418,22233.0,-494.385,96.2856,49.971,230.081,22151.7,-638.058
2023-07-09 11:15:00,866.566,66428.0,96.3291,50.0228,229.656,22157.4,-479.912,96.2664,50.0222,230.076,22139.1,-497.494,96.2624,50.0233,229.611,22131.4,-677.102
2023-07-09 11:20:00,748.577,53608.3,78.0565,50.0289,227.871,17826.8,-451.769,78.3557,50.029,228.278,17918.5,-447.998,78.2767,50.0288,227.776,17862.9,-635.672
2023-07-09 11:25:00,870.229,66638.3,96.4544,50.0254,229.528,22233.0,-491.957,96.3627,50.0263,230.599,22203.6,-565.96,96.2952,50.0265,230.106,22201.7,-698.08
2023-07-09 11:30:00,751.343,32852.7,48.4602,50.0298,225.829,10967.6,-385.03,48.4398,50.0302,226.147,10950.1,-393.355,48.4207,50.031,225.594,10935.0,-487.938
2023-07-09 11:35:00,858.507,66559.1,96.6041,50.0056,229.249,22234.4,-515.644,96.321,50.006,229.95,22152.2,-557.849,96.3919,50.0055,230.051,22172.5,-708.651
2023-07-09 11:40:00,750.053,18104.7,26.8645,49.9683,224.283,6020.92,-383.379,27.0144,49.9696,224.407,6049.34,-379.187,26.979,49.9693,223.862,6034.41,-454.915
2023-07-09 11:45:00,876.373,66531.0,96.4269,49.9677,229.593,22220.6,-501.157,96.2135,49.9703,230.451,22148.9,-520.32,96.2934,49.9662,230.395,22161.5,-675.689
