Time,generation(kWh),power(W)
2021-12-02 00:00:00,0.0,0.0
2021-12-02 00:15:00,0.0,0.0
2021-12-02 00:30:00,0.0,0.0
2021-12-02 00:45:00,0.0,0.0
2021-12-02 01:00:00,0.0,0.0
2021-12-02 01:15:00,0.0,0.0
2021-12-02 01:30:00,0.0,0.0
2021-12-02 01:45:00,0.0,0.0
2021-12-02 02:00:00,0.0,0.0
2021-12-02 02:15:00,0.0,0.0
2021-12-02 02:30:00,0.0,0.0
2021-12-02 02:45:00,0.0,0.0
2021-12-02 03:00:00,0.0,0.0
2021-12-02 03:15:00,0.0,0.0
2021-12-02 03:30:00,0.0,0.0
2021-12-02 03:45:00,0.0,0.0
2021-12-02 04:00:00,0.0,0.0
2021-12-02 04:15:00,0.0,0.0
2021-12-02 04:30:00,0.0,0.0
2021-12-02 04:45:00,0.0,0.0
2021-12-02 05:00:00,0.0,0.0
2021-12-02 05:15:00,0.0,0.0
2021-12-02 05:30:00,0.0,0.0
2021-12-02 05:45:00,0.0,0.0
2021-12-02 06:00:00,0.0,0.0
2021-12-02 06:15:00,0.0,0.0
2021-12-02 06:30:00,0.0,0.0
2021-12-02 06:45:00,0.0,72.22105
2021-12-02 07:00:00,0.112,530.4793
2021-12-02 07:15:00,0.291,1293.6785
2021-12-02 07:30:00,0.612,2625.096
2021-12-02 07:45:00,1.007,4164.667
2021-12-02 08:00:00,1.418,5802.2183
2021-12-02 08:15:00,1.907,7736.5522
2021-12-02 08:30:00,2.425,9709.93
2021-12-02 08:45:00,2.893,11590.394
2021-12-02 09:00:00,3.438,13698.557
2021-12-02 09:15:00,3.903,15441.529
2021-12-02 09:30:00,4.369,17277.844
2021-12-02 09:45:00,4.808,18950.06
2021-12-02 10:00:00,5.206,20470.822
2021-12-02 10:15:00,5.582,21874.807
2021-12-02 10:30:00,5.884,23098.166
2021-12-02 10:45:00,6.146,23973.914
2021-12-02 11:00:00,6.312,24581.992
2021-12-02 11:15:00,6.468,25186.842
2021-12-02 11:30:00,6.581,25581.398
2021-12-02 11:45:00,6.642,25895.076
2021-12-02 12:00:00,6.662,25871.143
2021-12-02 12:15:00,6.607,25560.174
2021-12-02 12:30:00,6.496,25096.426
2021-12-02 12:45:00,6.29,24291.242
2021-12-02 13:00:00,6.166,23856.684
2021-12-02 13:15:00,5.959,23022.37
2021-12-02 13:30:00,5.718,22046.006
2021-12-02 13:45:00,5.376,20594.48
2021-12-02 14:00:00,5.005,19212.87
2021-12-02 14:15:00,4.668,17929.523
2021-12-02 14:30:00,4.289,16310.86
2021-12-02 14:45:00,3.82,14594.311
2021-12-02 15:00:00,3.363,12825.632
2021-12-02 15:15:00,2.908,10879.151
2021-12-02 15:30:00,2.295,8511.266
2021-12-02 15:45:00,1.6,5778.6465
2021-12-02 16:00:00,0.954,3299.9128
2021-12-02 16:15:00,0.436,1570.23
2021-12-02 16:30:00,0.355,1332.3154
2021-12-02 16:45:00,0.286,1067.3706
2021-12-02 17:00:00,0.2,709.7478
2021-12-02 17:15:00,0.096,307.2465
2021-12-02 17:30:00,0.003,27.53328
2021-12-02 17:45:00,0.0,0.0
2021-12-02 18:00:00,0.0,0.0
2021-12-02 18:15:00,0.0,0.0
2021-12-02 18:30:00,0.0,0.0
2021-12-02 18:45:00,0.0,0.0
2021-12-02 19:00:00,0.0,0.0
2021-12-02 19:15:00,0.0,0.0
2021-12-02 19:30:00,0.0,0.0
2021-12-02 19:45:00,0.0,0.0
2021-12-02 20:00:00,0.0,0.0
2021-12-02 20:15:00,0.0,0.0
2021-12-02 20:30:00,0.0,0.0
2021-12-02 20:45:00,0.0,0.0
2021-12-02 21:00:00,0.0,0.0
2021-12-02 21:15:00,0.0,0.0
2021-12-02 21:30:00,0.0,0.0
2021-12-02 21:45:00,0.0,0.0
2021-12-02 22:00:00,0.0,0.0
2021-12-02 22:15:00,0.0,0.0
2021-12-02 22:30:00,0.0,0.0
