Time,generation(kWh),power(W)
2021-06-01 00:00:00,0.0,0.0
2021-06-01 00:15:00,0.0,0.0
2021-06-01 00:30:00,0.0,0.0
2021-06-01 00:45:00,0.0,0.0
2021-06-01 01:00:00,0.0,0.0
2021-06-01 01:15:00,0.0,0.0
2021-06-01 01:30:00,0.0,0.0
2021-06-01 01:45:00,0.0,0.0
2021-06-01 02:00:00,0.0,0.0
2021-06-01 02:15:00,0.0,0.0
2021-06-01 02:30:00,0.0,0.0
2021-06-01 02:45:00,0.0,0.0
2021-06-01 03:00:00,0.0,0.0
2021-06-01 03:15:00,0.0,0.0
2021-06-01 03:30:00,0.0,0.0
2021-06-01 03:45:00,0.0,0.0
2021-06-01 04:00:00,0.0,0.0
2021-06-01 04:15:00,0.0,0.0
2021-06-01 04:30:00,0.0,0.0
2021-06-01 04:45:00,0.0,0.0
2021-06-01 05:00:00,0.0,0.0
2021-06-01 05:15:00,0.0,0.0
2021-06-01 05:30:00,0.0,0.0
2021-06-01 05:45:00,0.0,0.0
2021-06-01 06:00:00,0.0,58.0
2021-06-01 06:15:00,0.074,344.33334
2021-06-01 06:30:00,0.086,282.33334
2021-06-01 06:45:00,0.224,1030.0
2021-06-01 07:00:00,0.562,2338.0
2021-06-01 07:15:00,0.711,2824.0
2021-06-01 07:30:00,0.792,3059.0
2021-06-01 07:45:00,0.8,2842.0
2021-06-01 08:00:00,1.091,4219.3335
2021-06-01 08:15:00,0.946,3263.6667
2021-06-01 08:30:00,0.248,1459.6666
2021-06-01 08:45:00,1.738,7564.6665
2021-06-01 09:00:00,0.72,1827.3334
2021-06-01 09:15:00,0.51,2281.6667
2021-06-01 09:30:00,0.258,1238.6666
2021-06-01 09:45:00,0.498,2333.3333
2021-06-01 10:00:00,0.6990000000000001,2362.3333
2021-06-01 10:15:00,1.013,4667.6665
2021-06-01 10:30:00,1.435,5174.3335
2021-06-01 10:45:00,0.987,4179.0
2021-06-01 11:00:00,2.638,11180.0
2021-06-01 11:15:00,5.085,19859.666
2021-06-01 11:30:00,4.0,16165.667
2021-06-01 11:45:00,7.926,32763.334
2021-06-01 12:00:00,7.1450000000000005,25953.334
2021-06-01 12:15:00,3.761,12583.333
2021-06-01 12:30:00,4.553,18365.666
2021-06-01 12:45:00,8.353,28715.0
2021-06-01 13:00:00,9.039,34035.0
2021-06-01 13:15:00,9.847,39660.332
2021-06-01 13:30:00,4.409,14928.333
2021-06-01 13:45:00,2.361,7863.6665
2021-06-01 14:00:00,1.231,4595.0
2021-06-01 14:15:00,1.029,4708.0
2021-06-01 14:30:00,1.669,6695.6665
2021-06-01 14:45:00,1.286,5484.3335
2021-06-01 15:00:00,0.353,1581.3334
2021-06-01 15:15:00,1.684,7539.3335
2021-06-01 15:30:00,1.169,3280.6667
2021-06-01 15:45:00,0.159,687.3333
2021-06-01 16:00:00,0.478,1808.3334
2021-06-01 16:15:00,0.656,2936.6667
2021-06-01 16:30:00,0.414,1274.3334
2021-06-01 16:45:00,0.087,254.66667
2021-06-01 17:00:00,0.008,52.666668
2021-06-01 17:15:00,0.0,0.0
2021-06-01 17:30:00,0.0,0.0
2021-06-01 17:45:00,0.0,0.0
2021-06-01 18:00:00,0.0,0.0
2021-06-01 18:15:00,0.0,0.0
2021-06-01 18:30:00,0.0,0.0
2021-06-01 18:45:00,0.0,0.0
2021-06-01 19:00:00,0.0,0.0
2021-06-01 19:15:00,0.0,0.0
2021-06-01 19:30:00,0.0,0.0
2021-06-01 19:45:00,0.0,0.0
2021-06-01 20:00:00,0.0,0.0
2021-06-01 20:15:00,0.0,0.0
2021-06-01 20:30:00,0.0,0.0
2021-06-01 20:45:00,0.0,0.0
2021-06-01 21:00:00,0.0,0.0
2021-06-01 21:15:00,0.0,0.0
2021-06-01 21:30:00,0.0,0.0
2021-06-01 21:45:00,0.0,0.0
2021-06-01 22:00:00,0.0,0.0
2021-06-01 22:15:00,0.0,0.0
2021-06-01 22:30:00,0.0,0.0
2021-06-01 22:45:00,0.0,0.0
2021-06-01 23:00:00,0.0,0.0
2021-06-01 23:15:00,0.0,0.0
2021-06-01 23:30:00,0.0,0.0
2021-06-01 23:45:00,0.0,0.0
2021-06-02 00:00:00,0.0,0.0
2021-06-02 00:15:00,0.0,0.0
2021-06-02 00:30:00,0.0,0.0
2021-06-02 00:45:00,0.0,0.0
2021-06-02 01:00:00,0.0,0.0
2021-06-02 01:15:00,0.0,0.0
2021-06-02 01:30:00,0.0,0.0
2021-06-02 01:45:00,0.0,0.0
2021-06-02 02:00:00,0.0,0.0
2021-06-02 02:15:00,0.0,0.0
2021-06-02 02:30:00,0.0,0.0
2021-06-02 02:45:00,0.0,0.0
2021-06-02 03:00:00,0.0,0.0
2021-06-02 03:15:00,0.0,0.0
2021-06-02 03:30:00,0.0,0.0
2021-06-02 03:45:00,0.0,0.0
2021-06-02 04:00:00,0.0,0.0
2021-06-02 04:15:00,0.0,0.0
2021-06-02 04:30:00,0.0,0.0
2021-06-02 04:45:00,0.0,0.0
2021-06-02 05:00:00,0.0,0.0
2021-06-02 05:15:00,0.0,0.0
2021-06-02 05:30:00,0.0,4.6666665
2021-06-02 05:45:00,0.019,209.33333
2021-06-02 06:00:00,0.188,898.0
2021-06-02 06:15:00,0.513,2069.3333
2021-06-02 06:30:00,0.853,3628.6667
2021-06-02 06:45:00,0.73,2750.6667
2021-06-02 07:00:00,0.846,3288.6667
2021-06-02 07:15:00,0.837,3462.3333
2021-06-02 07:30:00,0.792,2774.0
2021-06-02 07:45:00,0.837,3158.3333
2021-06-02 08:00:00,0.676,2814.3333
2021-06-02 08:15:00,1.394,6534.6665
2021-06-02 08:30:00,3.065,14066.0
2021-06-02 08:45:00,4.335,16755.0
2021-06-02 09:00:00,3.363,14057.0
2021-06-02 09:15:00,5.836,26805.666
2021-06-02 09:30:00,8.791,39532.668
2021-06-02 09:45:00,7.655,30270.334
2021-06-02 10:00:00,7.256,24700.0
2021-06-02 10:15:00,8.786,34036.668
