Time,generation(kWh),power(W)
2021-06-01 00:00:00,0.0,0.0
2021-06-01 00:15:00,0.0,0.0
2021-06-01 00:30:00,0.0,0.0
2021-06-01 00:45:00,0.0,0.0
2021-06-01 01:00:00,0.0,0.0
2021-06-01 01:15:00,0.0,0.0
2021-06-01 01:30:00,0.0,0.0
2021-06-01 01:45:00,0.0,0.0
2021-06-01 02:00:00,0.0,0.0
2021-06-01 02:15:00,0.0,0.0
2021-06-01 02:30:00,0.0,0.0
2021-06-01 02:45:00,0.0,0.0
2021-06-01 03:00:00,0.0,0.0
2021-06-01 03:15:00,0.0,0.0
2021-06-01 03:30:00,0.0,0.0
2021-06-01 03:45:00,0.0,0.0
2021-06-01 04:00:00,0.0,0.0
2021-06-01 04:15:00,0.0,0.0
2021-06-01 04:30:00,0.0,0.0
2021-06-01 04:45:00,0.0,0.0
2021-06-01 05:00:00,0.0,0.0
2021-06-01 05:15:00,0.0,0.0
2021-06-01 05:30:00,0.0,0.0
2021-06-01 05:45:00,0.0,0.0
2021-06-01 06:00:00,0.0,2.1990037
2021-06-01 06:15:00,0.039,180.80675
2021-06-01 06:30:00,0.046,154.50871
2021-06-01 06:45:00,0.099,452.52478
2021-06-01 07:00:00,0.25,1044.4358
2021-06-01 07:15:00,0.312,1243.8049
2021-06-01 07:30:00,0.348,1379.1744
2021-06-01 07:45:00,0.376,1387.6547
2021-06-01 08:00:00,0.509,1942.7094
2021-06-01 08:15:00,0.475,1649.4957
2021-06-01 08:30:00,0.121,584.95984
2021-06-01 08:45:00,0.745,3245.2708
2021-06-01 09:00:00,0.354,1010.0713
2021-06-01 09:15:00,0.225,1038.6384
2021-06-01 09:30:00,0.129,544.73773
2021-06-01 09:45:00,0.231,1041.2637
2021-06-01 10:00:00,0.335,1162.0205
2021-06-01 10:15:00,0.436,2002.1703
2021-06-01 10:30:00,0.658,2546.5864
2021-06-01 10:45:00,0.491,1847.5613
2021-06-01 11:00:00,1.116,4719.5566
2021-06-01 11:15:00,2.219,9007.63
2021-06-01 11:30:00,1.801,7122.085
2021-06-01 11:45:00,3.477,14156.898
2021-06-01 12:00:00,3.234,12285.518
2021-06-01 12:15:00,1.745,5674.521
2021-06-01 12:30:00,2.012,8262.185
2021-06-01 12:45:00,3.726,16779.04
2021-06-01 13:00:00,4.127,16965.48
2021-06-01 13:15:00,4.273,16903.283
2021-06-01 13:30:00,2.055,6424.998
2021-06-01 13:45:00,1.078,3548.0647
2021-06-01 14:00:00,0.583,2254.6848
2021-06-01 14:15:00,0.485,2129.836
2021-06-01 14:30:00,0.755,3002.2566
2021-06-01 14:45:00,0.595,2356.2527
2021-06-01 15:00:00,0.169,634.45013
2021-06-01 15:15:00,0.743,3440.061
2021-06-01 15:30:00,0.53,1493.6704
2021-06-01 15:45:00,0.083,280.01645
2021-06-01 16:00:00,0.208,808.9571
2021-06-01 16:15:00,0.282,1285.1764
2021-06-01 16:30:00,0.2,637.949
2021-06-01 16:45:00,0.051,158.17612
2021-06-01 17:00:00,0.01,43.406178
2021-06-01 17:15:00,0.0,0.0
2021-06-01 17:30:00,0.0,0.0
2021-06-01 17:45:00,0.0,0.0
2021-06-01 18:00:00,0.0,0.0
2021-06-01 18:15:00,0.0,0.0
2021-06-01 18:30:00,0.0,0.0
2021-06-01 18:45:00,0.0,0.0
2021-06-01 19:00:00,0.0,0.0
2021-06-01 19:15:00,0.0,0.0
2021-06-01 19:30:00,0.0,0.0
2021-06-01 19:45:00,0.0,0.0
2021-06-01 20:00:00,0.0,0.0
2021-06-01 20:15:00,0.0,0.0
2021-06-01 20:30:00,0.0,0.0
2021-06-01 20:45:00,0.0,0.0
2021-06-01 21:00:00,0.0,0.0
2021-06-01 21:15:00,0.0,0.0
2021-06-01 21:30:00,0.0,0.0
2021-06-01 21:45:00,0.0,0.0
2021-06-01 22:00:00,0.0,0.0
2021-06-01 22:15:00,0.0,0.0
2021-06-01 22:30:00,0.0,0.0
2021-06-01 22:45:00,0.0,0.0
2021-06-01 23:00:00,0.0,0.0
2021-06-01 23:15:00,0.0,0.0
2021-06-01 23:30:00,0.0,0.0
2021-06-01 23:45:00,0.0,0.0
2021-06-02 00:00:00,0.0,0.0
2021-06-02 00:15:00,0.0,0.0
2021-06-02 00:30:00,0.0,0.0
2021-06-02 00:45:00,0.0,0.0
2021-06-02 01:00:00,0.0,0.0
2021-06-02 01:15:00,0.0,0.0
2021-06-02 01:30:00,0.0,0.0
2021-06-02 01:45:00,0.0,0.0
2021-06-02 02:00:00,0.0,0.0
2021-06-02 02:15:00,0.0,0.0
2021-06-02 02:30:00,0.0,0.0
2021-06-02 02:45:00,0.0,0.0
2021-06-02 03:00:00,0.0,0.0
2021-06-02 03:15:00,0.0,0.0
2021-06-02 03:30:00,0.0,0.0
2021-06-02 03:45:00,0.0,0.0
2021-06-02 04:00:00,0.0,0.0
2021-06-02 04:15:00,0.0,0.0
2021-06-02 04:30:00,0.0,0.0
2021-06-02 04:45:00,0.0,0.0
2021-06-02 05:00:00,0.0,0.0
2021-06-02 05:15:00,0.0,0.0
2021-06-02 05:30:00,0.0,0.0
2021-06-02 05:45:00,0.006,88.94316
2021-06-02 06:00:00,0.086,409.06873
2021-06-02 06:15:00,0.231,942.76105
2021-06-02 06:30:00,0.376,1618.8284
2021-06-02 06:45:00,0.338,1235.484
2021-06-02 07:00:00,0.38,1535.6963
2021-06-02 07:15:00,0.382,1608.7811
2021-06-02 07:30:00,0.367,1331.5933
2021-06-02 07:45:00,0.38,1405.958
2021-06-02 08:00:00,0.31,1131.7876
2021-06-02 08:15:00,0.605,2712.2068
2021-06-02 08:30:00,1.312,5995.0366
2021-06-02 08:45:00,1.932,7338.244
2021-06-02 09:00:00,1.493,5755.4414
2021-06-02 09:15:00,2.489,11234.906
2021-06-02 09:30:00,3.832,16476.713
2021-06-02 09:45:00,3.381,13179.223
2021-06-02 10:00:00,3.189,12195.386
2021-06-02 10:15:00,3.783,15050.423
