Time,generation(kWh),power(W)
2022-06-01 00:00:00,0.0,0.0
2022-06-01 00:15:00,0.0,0.0
2022-06-01 00:30:00,0.0,0.0
2022-06-01 00:45:00,0.0,0.0
2022-06-01 01:00:00,0.0,0.0
2022-06-01 01:15:00,0.0,0.0
2022-06-01 01:30:00,0.0,0.0
2022-06-01 01:45:00,0.0,0.0
2022-06-01 02:00:00,0.0,0.0
2022-06-01 02:15:00,0.0,0.0
2022-06-01 02:30:00,0.0,0.0
2022-06-01 02:45:00,0.0,0.0
2022-06-01 03:00:00,0.0,0.0
2022-06-01 03:15:00,0.0,0.0
2022-06-01 03:30:00,0.0,0.0
2022-06-01 03:45:00,0.0,0.0
2022-06-01 04:00:00,0.0,0.0
2022-06-01 04:15:00,0.0,0.0
2022-06-01 04:30:00,0.0,0.0
2022-06-01 04:45:00,0.0,0.0
2022-06-01 05:00:00,0.0,0.0
2022-06-01 05:15:00,0.0,0.0
2022-06-01 05:30:00,0.0,0.0
2022-06-01 05:45:00,0.0,134.0
2022-06-01 06:00:00,0.266,1399.3333
2022-06-01 06:15:00,0.757,3317.0
2022-06-01 06:30:00,1.266,5203.0
2022-06-01 06:45:00,1.553,6222.6665
2022-06-01 07:00:00,1.64,6251.667
2022-06-01 07:15:00,1.694,6838.334
2022-06-01 07:30:00,3.106,11856.334
2022-06-01 07:45:00,8.445,47795.332
2022-06-01 08:00:00,7.162,31240.332
2022-06-01 08:15:00,14.248,63135.0
2022-06-01 08:30:00,8.209,43677.668
2022-06-01 08:45:00,14.201,62103.336
2022-06-01 09:00:00,22.362,94999.0
2022-06-01 09:15:00,7.692,48143.0
2022-06-01 09:30:00,8.686,29976.332
2022-06-01 09:45:00,15.763,67254.33
2022-06-01 10:00:00,26.505,98011.664
2022-06-01 10:15:00,24.499,97864.336
2022-06-01 10:30:00,26.408,114682.33
2022-06-01 10:45:00,19.346,74811.0
2022-06-01 11:00:00,16.48,60886.336
2022-06-01 11:15:00,19.021,66770.664
2022-06-01 11:30:00,18.579,95884.0
2022-06-01 11:45:00,27.692,42407.0
2022-06-01 12:00:00,16.065,64146.0
2022-06-01 12:15:00,16.042,67760.67
2022-06-01 12:30:00,12.128,52121.336
2022-06-01 12:45:00,22.899,107225.33
2022-06-01 13:00:00,28.512,81595.0
2022-06-01 13:15:00,20.745,74965.336
2022-06-01 13:30:00,20.178,63107.332
2022-06-01 13:45:00,10.511,37141.668
2022-06-01 14:00:00,10.571,36271.668
2022-06-01 14:15:00,7.1770000000000005,29726.664
2022-06-01 14:30:00,8.523,29008.0
2022-06-01 14:45:00,6.406,26519.332
2022-06-01 15:00:00,8.641,34068.664
2022-06-01 15:15:00,8.601,33582.0
2022-06-01 15:30:00,8.81,34261.0
2022-06-01 15:45:00,8.527000000000001,32401.668
2022-06-01 16:00:00,7.783,30014.336
2022-06-01 16:15:00,6.98,26218.334
2022-06-01 16:30:00,5.807,22135.0
2022-06-01 16:45:00,4.633,17050.666
2022-06-01 17:00:00,4.171,16349.666
2022-06-01 17:15:00,3.586,13141.333
2022-06-01 17:30:00,2.459,9462.0
2022-06-01 17:45:00,2.347,8808.333
2022-06-01 18:00:00,1.723,6313.333
2022-06-01 18:15:00,1.049,3678.6665
2022-06-01 18:30:00,0.466,1444.0
2022-06-01 18:45:00,0.01,256.0
2022-06-01 19:00:00,0.0,0.0
2022-06-01 19:15:00,0.0,0.0
2022-06-01 19:30:00,0.0,0.0
2022-06-01 19:45:00,0.0,0.0
2022-06-01 20:00:00,0.0,0.0
2022-06-01 20:15:00,0.0,0.0
2022-06-01 20:30:00,0.0,0.0
2022-06-01 20:45:00,0.0,0.0
2022-06-01 21:00:00,0.0,0.0
2022-06-01 21:15:00,0.0,0.0
2022-06-01 21:30:00,0.0,0.0
2022-06-01 21:45:00,0.0,0.0
2022-06-01 22:00:00,0.0,0.0
2022-06-01 22:15:00,0.0,0.0
2022-06-01 22:30:00,0.0,0.0
2022-06-01 22:45:00,0.0,0.0
2022-06-01 23:00:00,0.0,0.0
2022-06-01 23:15:00,0.0,0.0
2022-06-01 23:30:00,0.0,0.0
2022-06-01 23:45:00,0.0,0.0
2022-06-02 00:00:00,0.0,0.0
2022-06-02 00:15:00,0.0,0.0
2022-06-02 00:30:00,0.0,0.0
2022-06-02 00:45:00,0.0,0.0
2022-06-02 01:00:00,0.0,0.0
2022-06-02 01:15:00,0.0,0.0
2022-06-02 01:30:00,0.0,0.0
2022-06-02 01:45:00,0.0,0.0
2022-06-02 02:00:00,0.0,0.0
2022-06-02 02:15:00,0.0,0.0
2022-06-02 02:30:00,0.0,0.0
2022-06-02 02:45:00,0.0,0.0
2022-06-02 03:00:00,0.0,0.0
2022-06-02 03:15:00,0.0,0.0
2022-06-02 03:30:00,0.0,0.0
2022-06-02 03:45:00,0.0,0.0
2022-06-02 04:00:00,0.0,0.0
2022-06-02 04:15:00,0.0,0.0
2022-06-02 04:30:00,0.0,0.0
2022-06-02 04:45:00,0.0,0.0
2022-06-02 05:00:00,0.0,0.0
2022-06-02 05:15:00,0.0,0.0
2022-06-02 05:30:00,0.0,0.0
2022-06-02 05:45:00,0.0,216.33334
2022-06-02 06:00:00,0.175,1100.6666
2022-06-02 06:15:00,0.512,2232.6667
2022-06-02 06:30:00,1.383,7021.667
2022-06-02 06:45:00,2.931,10729.333
2022-06-02 07:00:00,2.75,10950.666
2022-06-02 07:15:00,5.265,20081.666
2022-06-02 07:30:00,5.603,21205.0
2022-06-02 07:45:00,5.514,23784.332
2022-06-02 08:00:00,6.1930000000000005,23530.668
2022-06-02 08:15:00,13.912,44633.0
2022-06-02 08:30:00,17.088,73420.0
2022-06-02 08:45:00,16.542,69558.336
2022-06-02 09:00:00,14.773,39965.664
2022-06-02 09:15:00,15.85,69853.33
2022-06-02 09:30:00,24.532,98537.67
2022-06-02 09:45:00,22.297,71350.664
2022-06-02 10:00:00,16.558,70790.33
2022-06-02 10:15:00,13.929,55255.0
2022-06-02 10:30:00,13.053,48788.0
2022-06-02 10:45:00,17.199,62304.0
2022-06-02 11:00:00,9.401,26112.666
2022-06-02 11:15:00,6.9590000000000005,29568.668
2022-06-02 11:30:00,8.914,35088.332
2022-06-02 11:45:00,17.308,89028.336
2022-06-02 12:00:00,14.859,66327.664
2022-06-02 12:15:00,14.06,37170.336
2022-06-02 12:30:00,19.626,70864.336
2022-06-02 12:45:00,17.193,54234.336
2022-06-02 13:00:00,10.3,36726.0
2022-06-02 13:15:00,25.296,127229.33
2022-06-02 13:30:00,16.188,36440.336
2022-06-02 13:45:00,18.076,70334.336
2022-06-02 14:00:00,23.556,74861.33
2022-06-02 14:15:00,15.097,75313.0
2022-06-02 14:30:00,22.875,76813.0
2022-06-02 14:45:00,26.383,95709.67
2022-06-02 15:00:00,20.662,51093.0
2022-06-02 15:15:00,5.613,23495.332
2022-06-02 15:30:00,10.815,39196.664
2022-06-02 15:45:00,6.277,25819.0
2022-06-02 16:00:00,9.578,37718.664
2022-06-02 16:15:00,8.223,35912.336
2022-06-02 16:30:00,8.498,32790.664
2022-06-02 16:45:00,10.833,45944.0
2022-06-02 17:00:00,8.208,32231.668
2022-06-02 17:15:00,5.782,20359.666
2022-06-02 17:30:00,5.643,26738.0
2022-06-02 17:45:00,4.131,14034.0
2022-06-02 18:00:00,2.125,7701.333
2022-06-02 18:15:00,1.326,4434.0
2022-06-02 18:30:00,0.42,1162.0
2022-06-02 18:45:00,0.0,211.66666
2022-06-02 19:00:00,0.0,0.0
2022-06-02 19:15:00,0.0,0.0
2022-06-02 19:30:00,0.0,0.0
2022-06-02 19:45:00,0.0,0.0
2022-06-02 20:00:00,0.0,0.0
2022-06-02 20:15:00,0.0,0.0
2022-06-02 20:30:00,0.0,0.0
2022-06-02 20:45:00,0.0,0.0
2022-06-02 21:00:00,0.0,0.0
2022-06-02 21:15:00,0.0,0.0
2022-06-02 21:30:00,0.0,0.0
2022-06-02 21:45:00,0.0,0.0
2022-06-02 22:00:00,0.0,0.0
2022-06-02 22:15:00,0.0,0.0
2022-06-02 22:30:00,0.0,0.0
2022-06-02 22:45:00,0.0,0.0
2022-06-02 23:00:00,0.0,0.0
2022-06-02 23:15:00,0.0,0.0
2022-06-02 23:30:00,0.0,0.0
2022-06-02 23:45:00,0.0,0.0
2022-06-03 00:00:00,0.0,0.0
2022-06-03 00:15:00,0.0,0.0
2022-06-03 00:30:00,0.0,0.0
2022-06-03 00:45:00,0.0,0.0
2022-06-03 01:00:00,0.0,0.0
2022-06-03 01:15:00,0.0,0.0
2022-06-03 01:30:00,0.0,0.0
2022-06-03 01:45:00,0.0,0.0
2022-06-03 02:00:00,0.0,0.0
2022-06-03 02:15:00,0.0,0.0
2022-06-03 02:30:00,0.0,0.0
2022-06-03 02:45:00,0.0,0.0
2022-06-03 03:00:00,0.0,0.0
2022-06-03 03:15:00,0.0,0.0
2022-06-03 03:30:00,0.0,0.0
2022-06-03 03:45:00,0.0,0.0
2022-06-03 04:00:00,0.0,0.0
2022-06-03 04:15:00,0.0,0.0
2022-06-03 04:30:00,0.0,0.0
2022-06-03 04:45:00,0.0,0.0
2022-06-03 05:00:00,0.0,0.0
2022-06-03 05:15:00,0.0,0.0
2022-06-03 05:30:00,0.0,0.0
2022-06-03 05:45:00,0.022,507.33334
2022-06-03 06:00:00,0.352,1749.6667
2022-06-03 06:15:00,1.169,4783.0
2022-06-03 06:30:00,0.767,2977.0
2022-06-03 06:45:00,3.31,12363.667
2022-06-03 07:00:00,4.058,16319.0
2022-06-03 07:15:00,8.794,30826.332
2022-06-03 07:30:00,8.615,44944.0
2022-06-03 07:45:00,9.178,42072.668
2022-06-03 08:00:00,11.995,52427.336
2022-06-03 08:15:00,10.877,34542.0
2022-06-03 08:30:00,11.25,38648.668
2022-06-03 08:45:00,9.604,34252.664
2022-06-03 09:00:00,11.447,41829.664
2022-06-03 09:15:00,11.251,49247.336
2022-06-03 09:30:00,6.349,46063.0
2022-06-03 09:45:00,22.049,102113.664
2022-06-03 10:00:00,20.457,72648.0
2022-06-03 10:15:00,17.445,81380.0
2022-06-03 10:30:00,22.783,91974.0
2022-06-03 10:45:00,12.733,43862.0
2022-06-03 11:00:00,9.607,31732.334
2022-06-03 11:15:00,18.273,69530.664
2022-06-03 11:30:00,14.28,63070.67
2022-06-03 11:45:00,8.776,27837.668
2022-06-03 12:00:00,9.633,43285.332
2022-06-03 12:15:00,12.172,35854.668
2022-06-03 12:30:00,13.633,50725.0
2022-06-03 12:45:00,12.721,53915.0
2022-06-03 13:00:00,11.592,49203.668
2022-06-03 13:15:00,12.395,57793.0
2022-06-03 13:30:00,8.217,33208.0
2022-06-03 13:45:00,7.279,24156.668
2022-06-03 14:00:00,4.304,14985.332
2022-06-03 14:15:00,4.198,17201.334
2022-06-03 14:30:00,4.822,18283.334
2022-06-03 14:45:00,5.738,24146.668
2022-06-03 15:00:00,8.672,31728.664
2022-06-03 15:15:00,6.146,23937.0
2022-06-03 15:30:00,4.23,14971.666
2022-06-03 15:45:00,1.275,4642.0
2022-06-03 16:00:00,3.727,16628.334
2022-06-03 16:15:00,3.614,14252.666
2022-06-03 16:30:00,2.5540000000000003,7503.667
2022-06-03 16:45:00,2.952,11549.666
2022-06-03 17:00:00,1.896,7442.334
2022-06-03 17:15:00,2.346,9672.333
2022-06-03 17:30:00,4.122,14542.0
2022-06-03 17:45:00,1.844,6600.667
2022-06-03 18:00:00,0.718,2265.0
2022-06-03 18:15:00,0.596,2229.3335
2022-06-03 18:30:00,0.173,458.6667
2022-06-03 18:45:00,0.0,68.666664
2022-06-03 19:00:00,0.0,0.0
2022-06-03 19:15:00,0.0,0.0
2022-06-03 19:30:00,0.0,0.0
2022-06-03 19:45:00,0.0,0.0
2022-06-03 20:00:00,0.0,0.0
2022-06-03 20:15:00,0.0,0.0
2022-06-03 20:30:00,0.0,0.0
2022-06-03 20:45:00,0.0,0.0
2022-06-03 21:00:00,0.0,0.0
2022-06-03 21:15:00,0.0,0.0
2022-06-03 21:30:00,0.0,0.0
2022-06-03 21:45:00,0.0,0.0
2022-06-03 22:00:00,0.0,0.0
2022-06-03 22:15:00,0.0,0.0
2022-06-03 22:30:00,0.0,0.0
2022-06-03 22:45:00,0.0,0.0
2022-06-03 23:00:00,0.0,0.0
2022-06-03 23:15:00,0.0,0.0
2022-06-03 23:30:00,0.0,0.0
2022-06-03 23:45:00,0.0,0.0
2022-06-04 00:00:00,0.0,0.0
2022-06-04 00:15:00,0.0,0.0
2022-06-04 00:30:00,0.0,0.0
2022-06-04 00:45:00,0.0,0.0
2022-06-04 01:00:00,0.0,0.0
2022-06-04 01:15:00,0.0,0.0
2022-06-04 01:30:00,0.0,0.0
2022-06-04 01:45:00,0.0,0.0
2022-06-04 02:00:00,0.0,0.0
2022-06-04 02:15:00,0.0,0.0
2022-06-04 02:30:00,0.0,0.0
2022-06-04 02:45:00,0.0,0.0
