Time,generation(kWh),power(W)
2021-11-01 00:00:00,0.0,0.0
2021-11-01 00:15:00,0.0,0.0
2021-11-01 00:30:00,0.0,0.0
2021-11-01 00:45:00,0.0,0.0
2021-11-01 01:00:00,0.0,0.0
2021-11-01 01:15:00,0.0,0.0
2021-11-01 01:30:00,0.0,0.0
2021-11-01 01:45:00,0.0,0.0
2021-11-01 02:00:00,0.0,0.0
2021-11-01 02:15:00,0.0,0.0
2021-11-01 02:30:00,0.0,0.0
2021-11-01 02:45:00,0.0,0.0
2021-11-01 03:00:00,0.0,0.0
2021-11-01 03:15:00,0.0,0.0
2021-11-01 03:30:00,0.0,0.0
2021-11-01 03:45:00,0.0,0.0
2021-11-01 04:00:00,0.0,0.0
2021-11-01 04:15:00,0.0,0.0
2021-11-01 04:30:00,0.0,0.0
2021-11-01 04:45:00,0.0,0.0
2021-11-01 05:00:00,0.0,0.0
2021-11-01 05:15:00,0.0,0.0
2021-11-01 05:30:00,0.0,0.0
2021-11-01 05:45:00,0.0,0.0
2021-11-01 06:00:00,0.0,0.0
2021-11-01 06:15:00,0.0,0.0
2021-11-01 06:30:00,0.002,44.983784
2021-11-01 06:45:00,0.101,481.6223
2021-11-01 07:00:00,0.204,911.2681
2021-11-01 07:15:00,0.31,1196.3899
2021-11-01 07:30:00,0.3,1202.0133
2021-11-01 07:45:00,0.547,2378.9915
2021-11-01 08:00:00,0.8290000000000001,3268.6316
2021-11-01 08:15:00,0.708,2653.3828
2021-11-01 08:30:00,0.781,3122.4805
2021-11-01 08:45:00,0.47,1577.3728
2021-11-01 09:00:00,1.651,6649.1875
2021-11-01 09:15:00,3.317,15496.171
2021-11-01 09:30:00,3.842,14224.828
2021-11-01 09:45:00,4.197,13882.253
2021-11-01 10:00:00,3.746,11702.354
2021-11-01 10:15:00,3.016,11231.537
2021-11-01 10:30:00,3.863,16946.586
2021-11-01 10:45:00,4.296,14858.514
2021-11-01 11:00:00,4.105,16597.672
2021-11-01 11:15:00,2.602,9825.474
2021-11-01 11:30:00,2.773,10622.0625
2021-11-01 11:45:00,2.47,9740.021
2021-11-01 12:00:00,2.176,7415.619
2021-11-01 12:15:00,1.441,5569.548
2021-11-01 12:30:00,1.54,5873.6567
2021-11-01 12:45:00,1.726,6934.317
2021-11-01 13:00:00,2.894,12140.776
2021-11-01 13:15:00,2.973,11482.146
2021-11-01 13:30:00,2.697,9423.209
2021-11-01 13:45:00,2.31,8883.857
2021-11-01 14:00:00,2.2920000000000003,8622.049
2021-11-01 14:15:00,1.595,6221.749
2021-11-01 14:30:00,1.478,5459.994
2021-11-01 14:45:00,1.086,4175.202
2021-11-01 15:00:00,1.044,4088.314
2021-11-01 15:15:00,0.7030000000000001,2585.901
2021-11-01 15:30:00,0.8130000000000001,3242.3828
2021-11-01 15:45:00,0.801,2997.811
2021-11-01 16:00:00,0.652,2595.0361
2021-11-01 16:15:00,0.581,1949.5621
2021-11-01 16:30:00,0.413,1624.9767
2021-11-01 16:45:00,0.33,1146.4298
2021-11-01 17:00:00,0.186,700.0924
2021-11-01 17:15:00,0.084,261.4802
2021-11-01 17:30:00,0.0,29.03612
2021-11-01 17:45:00,0.0,0.0
2021-11-01 18:00:00,0.0,0.0
2021-11-01 18:15:00,0.0,0.0
2021-11-01 18:30:00,0.0,0.0
2021-11-01 18:45:00,0.0,0.0
2021-11-01 19:00:00,0.0,0.0
2021-11-01 19:15:00,0.0,0.0
2021-11-01 19:30:00,0.0,0.0
2021-11-01 19:45:00,0.0,0.0
2021-11-01 20:00:00,0.0,0.0
2021-11-01 20:15:00,0.0,0.0
2021-11-01 20:30:00,0.0,0.0
2021-11-01 20:45:00,0.0,0.0
2021-11-01 21:00:00,0.0,0.0
2021-11-01 21:15:00,0.0,0.0
2021-11-01 21:30:00,0.0,0.0
2021-11-01 21:45:00,0.0,0.0
2021-11-01 22:00:00,0.0,0.0
2021-11-01 22:15:00,0.0,0.0
2021-11-01 22:30:00,0.0,0.0
2021-11-01 22:45:00,0.0,0.0
2021-11-01 23:00:00,0.0,0.0
2021-11-01 23:15:00,0.0,0.0
2021-11-01 23:30:00,0.0,0.0
2021-11-01 23:45:00,0.0,0.0
2021-11-02 00:00:00,0.0,0.0
2021-11-02 00:15:00,0.0,0.0
2021-11-02 00:30:00,0.0,0.0
2021-11-02 00:45:00,0.0,0.0
2021-11-02 01:00:00,0.0,0.0
2021-11-02 01:15:00,0.0,0.0
2021-11-02 01:30:00,0.0,0.0
2021-11-02 01:45:00,0.0,0.0
2021-11-02 02:00:00,0.0,0.0
2021-11-02 02:15:00,0.0,0.0
2021-11-02 02:30:00,0.0,0.0
2021-11-02 02:45:00,0.0,0.0
2021-11-02 03:00:00,0.0,0.0
2021-11-02 03:15:00,0.0,0.0
2021-11-02 03:30:00,0.0,0.0
2021-11-02 03:45:00,0.0,0.0
2021-11-02 04:00:00,0.0,0.0
2021-11-02 04:15:00,0.0,0.0
2021-11-02 04:30:00,0.0,0.0
2021-11-02 04:45:00,0.0,0.0
2021-11-02 05:00:00,0.0,0.0
2021-11-02 05:15:00,0.0,0.0
2021-11-02 05:30:00,0.0,0.0
2021-11-02 05:45:00,0.0,0.0
2021-11-02 06:00:00,0.0,0.0
2021-11-02 06:15:00,0.0,0.0
2021-11-02 06:30:00,0.0,0.0
2021-11-02 06:45:00,0.003,38.05205
2021-11-02 07:00:00,0.06,343.10742
2021-11-02 07:15:00,0.258,1062.0454
2021-11-02 07:30:00,0.317,1123.5503
2021-11-02 07:45:00,0.234,1021.5996
2021-11-02 08:00:00,0.464,1978.508
2021-11-02 08:15:00,0.714,3058.476
2021-11-02 08:30:00,1.157,4855.619
2021-11-02 08:45:00,1.222,4348.093
2021-11-02 09:00:00,0.874,3253.1387
2021-11-02 09:15:00,0.868,3409.7925
2021-11-02 09:30:00,0.844,3177.9158
2021-11-02 09:45:00,1.058,4742.7812
2021-11-02 10:00:00,2.349,9249.609
2021-11-02 10:15:00,2.652,11246.762
2021-11-02 10:30:00,3.843,15399.234
2021-11-02 10:45:00,3.31,12267.383
2021-11-02 11:00:00,3.507,14892.334
2021-11-02 11:15:00,4.444,16610.906
2021-11-02 11:30:00,4.289,17568.455
2021-11-02 11:45:00,3.629,12480.463
2021-11-02 12:00:00,3.368,12868.161
2021-11-02 12:15:00,3.231,12592.498
2021-11-02 12:30:00,2.717,9933.285
2021-11-02 12:45:00,2.774,10705.014
2021-11-02 13:00:00,2.001,7055.059
2021-11-02 13:15:00,1.718,7105.9746
2021-11-02 13:30:00,2.105,8322.846
2021-11-02 13:45:00,1.464,4953.9707
2021-11-02 14:00:00,0.864,3160.8906
2021-11-02 14:15:00,0.7030000000000001,2744.2212
2021-11-02 14:30:00,0.76,2972.6113
2021-11-02 14:45:00,0.951,3799.5422
2021-11-02 15:00:00,0.871,3213.9573
2021-11-02 15:15:00,0.711,2863.5718
2021-11-02 15:30:00,0.942,3968.959
2021-11-02 15:45:00,1.334,5039.493
2021-11-02 16:00:00,1.016,3768.3066
2021-11-02 16:15:00,0.788,2904.8555
2021-11-02 16:30:00,0.484,1878.5839
2021-11-02 16:45:00,0.372,1270.911
2021-11-02 17:00:00,0.206,717.39905
2021-11-02 17:15:00,0.09,286.86926
2021-11-02 17:30:00,0.0,19.172915
2021-11-02 17:45:00,0.0,0.0
2021-11-02 18:00:00,0.0,0.0
2021-11-02 18:15:00,0.0,0.0
2021-11-02 18:30:00,0.0,0.0
2021-11-02 18:45:00,0.0,0.0
2021-11-02 19:00:00,0.0,0.0
2021-11-02 19:15:00,0.0,0.0
2021-11-02 19:30:00,0.0,0.0
2021-11-02 19:45:00,0.0,0.0
2021-11-02 20:00:00,0.0,0.0
2021-11-02 20:15:00,0.0,0.0
2021-11-02 20:30:00,0.0,0.0
2021-11-02 20:45:00,0.0,0.0
2021-11-02 21:00:00,0.0,0.0
2021-11-02 21:15:00,0.0,0.0
2021-11-02 21:30:00,0.0,0.0
2021-11-02 21:45:00,0.0,0.0
2021-11-02 22:00:00,0.0,0.0
2021-11-02 22:15:00,0.0,0.0
2021-11-02 22:30:00,0.0,0.0
2021-11-02 22:45:00,0.0,0.0
2021-11-02 23:00:00,0.0,0.0
2021-11-02 23:15:00,0.0,0.0
2021-11-02 23:30:00,0.0,0.0
2021-11-02 23:45:00,0.0,0.0
2021-11-03 00:00:00,0.0,0.0
2021-11-03 00:15:00,0.0,0.0
2021-11-03 00:30:00,0.0,0.0
2021-11-03 00:45:00,0.0,0.0
2021-11-03 01:00:00,0.0,0.0
2021-11-03 01:15:00,0.0,0.0
2021-11-03 01:30:00,0.0,0.0
2021-11-03 01:45:00,0.0,0.0
2021-11-03 02:00:00,0.0,0.0
2021-11-03 02:15:00,0.0,0.0
2021-11-03 02:30:00,0.0,0.0
2021-11-03 02:45:00,0.0,0.0
2021-11-03 03:00:00,0.0,0.0
2021-11-03 03:15:00,0.0,0.0
2021-11-03 03:30:00,0.0,0.0
2021-11-03 03:45:00,0.0,0.0
2021-11-03 04:00:00,0.0,0.0
2021-11-03 04:15:00,0.0,0.0
2021-11-03 04:30:00,0.0,0.0
2021-11-03 04:45:00,0.0,0.0
2021-11-03 05:00:00,0.0,0.0
2021-11-03 05:15:00,0.0,0.0
2021-11-03 05:30:00,0.0,0.0
