Time,generation(kWh),power(W)
2021-08-01 00:00:00,0.0,0.0
2021-08-01 00:15:00,0.0,0.0
2021-08-01 00:30:00,0.0,0.0
2021-08-01 00:45:00,0.0,0.0
2021-08-01 01:00:00,0.0,0.0
2021-08-01 01:15:00,0.0,0.0
2021-08-01 01:30:00,0.0,0.0
2021-08-01 01:45:00,0.0,0.0
2021-08-01 02:00:00,0.0,0.0
2021-08-01 02:15:00,0.0,0.0
2021-08-01 02:30:00,0.0,0.0
2021-08-01 02:45:00,0.0,0.0
2021-08-01 03:00:00,0.0,0.0
2021-08-01 03:15:00,0.0,0.0
2021-08-01 03:30:00,0.0,0.0
2021-08-01 03:45:00,0.0,0.0
2021-08-01 04:00:00,0.0,0.0
2021-08-01 04:15:00,0.0,0.0
2021-08-01 04:30:00,0.0,0.0
2021-08-01 04:45:00,0.0,0.0
2021-08-01 05:00:00,0.0,0.0
2021-08-01 05:15:00,0.0,0.0
2021-08-01 05:30:00,0.0,0.0
2021-08-01 05:45:00,0.0,0.0
2021-08-01 06:00:00,0.003,72.0
2021-08-01 06:15:00,0.085,381.66666
2021-08-01 06:30:00,0.188,798.6667
2021-08-01 06:45:00,0.278,1152.3334
2021-08-01 07:00:00,0.396,1704.6666
2021-08-01 07:15:00,0.644,2647.6667
2021-08-01 07:30:00,0.725,2955.6667
2021-08-01 07:45:00,1.031,4568.0
2021-08-01 08:00:00,1.264,4470.6665
2021-08-01 08:15:00,1.378,5370.6665
2021-08-01 08:30:00,1.877,7571.0
2021-08-01 08:45:00,2.056,7050.3335
2021-08-01 09:00:00,1.383,5371.3335
2021-08-01 09:15:00,2.168,8700.333
2021-08-01 09:30:00,2.476,9858.333
2021-08-01 09:45:00,2.545,9417.333
2021-08-01 10:00:00,2.548,11072.667
2021-08-01 10:15:00,2.625,8200.333
2021-08-01 10:30:00,2.727,11119.0
2021-08-01 10:45:00,2.882,11340.0
2021-08-01 11:00:00,3.068,11901.333
2021-08-01 11:15:00,2.902,12596.333
2021-08-01 11:30:00,2.724,12524.0
2021-08-01 11:45:00,1.434,5290.6665
2021-08-01 12:00:00,2.418,9285.667
2021-08-01 12:15:00,1.327,4422.6665
2021-08-01 12:30:00,0.665,2416.0
2021-08-01 12:45:00,1.366,6276.6665
2021-08-01 13:00:00,1.557,5594.0
2021-08-01 13:15:00,1.41,5410.6665
2021-08-01 13:30:00,1.342,4487.3335
2021-08-01 13:45:00,0.837,3496.6667
2021-08-01 14:00:00,1.445,5337.6665
2021-08-01 14:15:00,0.7010000000000001,2199.6667
2021-08-01 14:30:00,0.274,1064.3334
2021-08-01 14:45:00,0.365,1427.3334
2021-08-01 15:00:00,0.323,1199.3334
2021-08-01 15:15:00,0.253,974.0
2021-08-01 15:30:00,0.209,764.0
2021-08-01 15:45:00,0.21,868.6667
2021-08-01 16:00:00,0.281,1112.3334
2021-08-01 16:15:00,0.305,1199.6666
2021-08-01 16:30:00,0.298,1121.6666
2021-08-01 16:45:00,0.243,931.3333
2021-08-01 17:00:00,0.226,871.6667
2021-08-01 17:15:00,0.215,807.6667
2021-08-01 17:30:00,0.17,632.3333
2021-08-01 17:45:00,0.11,374.33334
2021-08-01 18:00:00,0.042,134.33333
2021-08-01 18:15:00,0.002,12.666667
2021-08-01 18:30:00,0.0,0.0
2021-08-01 18:45:00,0.0,0.0
2021-08-01 19:00:00,0.0,0.0
2021-08-01 19:15:00,0.0,0.0
2021-08-01 19:30:00,0.0,0.0
2021-08-01 19:45:00,0.0,0.0
2021-08-01 20:00:00,0.0,0.0
2021-08-01 20:15:00,0.0,0.0
2021-08-01 20:30:00,0.0,0.0
2021-08-01 20:45:00,0.0,0.0
2021-08-01 21:00:00,0.0,0.0
2021-08-01 21:15:00,0.0,0.0
2021-08-01 21:30:00,0.0,0.0
2021-08-01 21:45:00,0.0,0.0
2021-08-01 22:00:00,0.0,0.0
2021-08-01 22:15:00,0.0,0.0
2021-08-01 22:30:00,0.0,0.0
2021-08-01 22:45:00,0.0,0.0
2021-08-01 23:00:00,0.0,0.0
2021-08-01 23:15:00,0.0,0.0
2021-08-01 23:30:00,0.0,0.0
2021-08-01 23:45:00,0.0,0.0
2021-08-02 00:00:00,0.0,0.0
2021-08-02 00:15:00,0.0,0.0
2021-08-02 00:30:00,0.0,0.0
2021-08-02 00:45:00,0.0,0.0
2021-08-02 01:00:00,0.0,0.0
2021-08-02 01:15:00,0.0,0.0
2021-08-02 01:30:00,0.0,0.0
2021-08-02 01:45:00,0.0,0.0
2021-08-02 02:00:00,0.0,0.0
2021-08-02 02:15:00,0.0,0.0
2021-08-02 02:30:00,0.0,0.0
2021-08-02 02:45:00,0.0,0.0
2021-08-02 03:00:00,0.0,0.0
2021-08-02 03:15:00,0.0,0.0
2021-08-02 03:30:00,0.0,0.0
2021-08-02 03:45:00,0.0,0.0
2021-08-02 04:00:00,0.0,0.0
2021-08-02 04:15:00,0.0,0.0
2021-08-02 04:30:00,0.0,0.0
2021-08-02 04:45:00,0.0,0.0
2021-08-02 05:00:00,0.0,0.0
