Time,generation(kWh),power(W)
2023-07-01 00:00:00,0.0,0.0
2023-07-01 00:15:00,0.0,0.0
2023-07-01 00:30:00,0.0,0.0
2023-07-01 00:45:00,0.0,0.0
2023-07-01 01:00:00,0.0,0.0
2023-07-01 01:15:00,0.0,0.0
2023-07-01 01:30:00,0.0,0.0
2023-07-01 01:45:00,0.0,0.0
2023-07-01 02:00:00,0.0,0.0
2023-07-01 02:15:00,0.0,0.0
2023-07-01 02:30:00,0.0,0.0
2023-07-01 02:45:00,0.0,0.0
2023-07-01 03:00:00,0.0,0.0
2023-07-01 03:15:00,0.0,0.0
2023-07-01 03:30:00,0.0,0.0
2023-07-01 03:45:00,0.0,0.0
2023-07-01 04:00:00,0.0,0.0
2023-07-01 04:15:00,0.0,0.0
2023-07-01 04:30:00,0.0,0.0
2023-07-01 04:45:00,0.0,0.0
2023-07-01 05:00:00,0.0,0.0
2023-07-01 05:15:00,0.0,0.0
2023-07-01 05:30:00,0.0,0.0
2023-07-01 05:45:00,0.0,9.912364
2023-07-01 06:00:00,0.081,399.8552
2023-07-01 06:15:00,0.204,834.75885
2023-07-01 06:30:00,0.322,1381.6698
2023-07-01 06:45:00,0.51,2062.601
2023-07-01 07:00:00,0.616,2497.6985
2023-07-01 07:15:00,0.83,3387.638
2023-07-01 07:30:00,0.945,3600.4019
2023-07-01 07:45:00,0.708,2679.8442
2023-07-01 08:00:00,0.683,2974.671
2023-07-01 08:15:00,1.115,4362.823
2023-07-01 08:30:00,1.253,5041.3477
2023-07-01 08:45:00,1.189,4268.346
2023-07-01 09:00:00,1.413,5772.1523
2023-07-01 09:15:00,0.855,2251.1362
2023-07-01 09:30:00,0.848,3955.8384
2023-07-01 09:45:00,1.689,7103.252
2023-07-01 10:00:00,2.781,11092.526
2023-07-01 10:15:00,2.885,11417.71
2023-07-01 10:30:00,3.513,15435.164
2023-07-01 10:45:00,3.04,9484.13
2023-07-01 11:00:00,1.125,4427.461
2023-07-01 11:15:00,1.521,6159.3896
2023-07-01 11:30:00,1.97,7870.3003
2023-07-01 11:45:00,2.44,9962.303
2023-07-01 12:00:00,2.723,9654.645
2023-07-01 12:15:00,1.117,4088.6826
2023-07-01 12:30:00,2.217,10056.176
2023-07-01 12:45:00,3.123,12510.124
2023-07-01 13:00:00,2.581,8765.39
2023-07-01 13:15:00,1.595,6214.5225
2023-07-01 13:30:00,1.878,7767.5615
2023-07-01 13:45:00,2.515,9985.022
2023-07-01 14:00:00,2.696,10303.572
2023-07-01 14:15:00,2.421,9258.886
2023-07-01 14:30:00,2.395,9509.517
2023-07-01 14:45:00,2.637,10017.39
2023-07-01 15:00:00,2.369,9164.011
2023-07-01 15:15:00,2.532,9635.427
2023-07-01 15:30:00,2.737,11321.487
2023-07-01 15:45:00,3.229,11889.062
2023-07-01 16:00:00,2.001,7217.0415
2023-07-01 16:15:00,1.544,5934.4263
2023-07-01 16:30:00,1.547,6049.555
2023-07-01 16:45:00,1.437,5119.293
2023-07-01 17:00:00,0.988,3745.949
2023-07-01 17:15:00,0.879,3355.183
2023-07-01 17:30:00,0.634,2234.7085
2023-07-01 17:45:00,0.437,1603.2682
2023-07-01 18:00:00,0.304,1113.4908
2023-07-01 18:15:00,0.211,760.23846
2023-07-01 18:30:00,0.115,383.5624
2023-07-01 18:45:00,0.023,63.7366
2023-07-01 19:00:00,0.0,0.0
2023-07-01 19:15:00,0.0,0.0
2023-07-01 19:30:00,0.0,0.0
2023-07-01 19:45:00,0.0,0.0
2023-07-01 20:00:00,0.0,0.0
2023-07-01 20:15:00,0.0,0.0
2023-07-01 20:30:00,0.0,0.0
2023-07-01 20:45:00,0.0,0.0
2023-07-01 21:00:00,0.0,0.0
2023-07-01 21:15:00,0.0,0.0
2023-07-01 21:30:00,0.0,0.0
2023-07-01 21:45:00,0.0,0.0
2023-07-01 22:00:00,0.0,0.0
2023-07-01 22:15:00,0.0,0.0
2023-07-01 22:30:00,0.0,0.0
2023-07-01 22:45:00,0.0,0.0
2023-07-01 23:00:00,0.0,0.0
2023-07-01 23:15:00,0.0,0.0
2023-07-01 23:30:00,0.0,0.0
2023-07-01 23:45:00,0.0,0.0
2023-07-02 00:00:00,0.0,0.0
2023-07-02 00:15:00,0.0,0.0
2023-07-02 00:30:00,0.0,0.0
2023-07-02 00:45:00,0.0,0.0
2023-07-02 01:00:00,0.0,0.0
2023-07-02 01:15:00,0.0,0.0
2023-07-02 01:30:00,0.0,0.0
2023-07-02 01:45:00,0.0,0.0
2023-07-02 02:00:00,0.0,0.0
2023-07-02 02:15:00,0.0,0.0
2023-07-02 02:30:00,0.0,0.0
2023-07-02 02:45:00,0.0,0.0
2023-07-02 03:00:00,0.0,0.0
2023-07-02 03:15:00,0.0,0.0
2023-07-02 03:30:00,0.0,0.0
2023-07-02 03:45:00,0.0,0.0
2023-07-02 04:00:00,0.0,0.0
2023-07-02 04:15:00,0.0,0.0
2023-07-02 04:30:00,0.0,0.0
2023-07-02 04:45:00,0.0,0.0
2023-07-02 05:00:00,0.0,0.0
2023-07-02 05:15:00,0.0,0.0
2023-07-02 05:30:00,0.0,0.0
2023-07-02 05:45:00,0.0,0.0
2023-07-02 06:00:00,0.017,139.6949
2023-07-02 06:15:00,0.186,884.4417
2023-07-02 06:30:00,0.33,1273.4045
2023-07-02 06:45:00,0.287,1065.6489
2023-07-02 07:00:00,0.228,863.4269
2023-07-02 07:15:00,0.377,1799.8514
2023-07-02 07:30:00,0.761,2938.388
2023-07-02 07:45:00,1.033,4277.7207
2023-07-02 08:00:00,1.798,7646.2144
2023-07-02 08:15:00,2.748,10139.92
2023-07-02 08:30:00,3.494,16645.855
2023-07-02 08:45:00,4.837,18350.594
2023-07-02 09:00:00,4.002,12548.034
2023-07-02 09:15:00,1.636,4914.5107
