Time,generation(kWh),power(W)
2021-11-01 00:00:00,0.0,0.0
2021-11-01 00:15:00,0.0,0.0
2021-11-01 00:30:00,0.0,0.0
2021-11-01 00:45:00,0.0,0.0
2021-11-01 01:00:00,0.0,0.0
2021-11-01 01:15:00,0.0,0.0
2021-11-01 01:30:00,0.0,0.0
2021-11-01 01:45:00,0.0,0.0
2021-11-01 02:00:00,0.0,0.0
2021-11-01 02:15:00,0.0,0.0
2021-11-01 02:30:00,0.0,0.0
2021-11-01 02:45:00,0.0,0.0
2021-11-01 03:00:00,0.0,0.0
2021-11-01 03:15:00,0.0,0.0
2021-11-01 03:30:00,0.0,0.0
2021-11-01 03:45:00,0.0,0.0
2021-11-01 04:00:00,0.0,0.0
2021-11-01 04:15:00,0.0,0.0
2021-11-01 04:30:00,0.0,0.0
2021-11-01 04:45:00,0.0,0.0
2021-11-01 05:00:00,0.0,0.0
2021-11-01 05:15:00,0.0,0.0
2021-11-01 05:30:00,0.0,0.0
2021-11-01 05:45:00,0.0,0.0
2021-11-01 06:00:00,0.0,0.0
2021-11-01 06:15:00,0.0,0.0
2021-11-01 06:30:00,0.0,30.926886
2021-11-01 06:45:00,0.105,470.0466
2021-11-01 07:00:00,0.173,662.40045
2021-11-01 07:15:00,0.256,1023.17914
2021-11-01 07:30:00,0.283,1178.6211
2021-11-01 07:45:00,0.506,2098.0098
2021-11-01 08:00:00,0.845,3870.53
2021-11-01 08:15:00,0.793,2818.174
2021-11-01 08:30:00,0.788,3284.9128
2021-11-01 08:45:00,0.517,1931.3885
2021-11-01 09:00:00,1.502,9013.171
2021-11-01 09:15:00,2.847,10960.648
2021-11-01 09:30:00,3.52,14779.934
2021-11-01 09:45:00,3.131,8497.8125
2021-11-01 10:00:00,3.029,11407.552
2021-11-01 10:15:00,2.629,9826.8
2021-11-01 10:30:00,4.125,19954.295
2021-11-01 10:45:00,4.188,19276.6
2021-11-01 11:00:00,4.243,13682.573
2021-11-01 11:15:00,2.693,9691.235
2021-11-01 11:30:00,4.747,18751.646
2021-11-01 11:45:00,6.695,26559.86
2021-11-01 12:00:00,6.466,25376.096
2021-11-01 12:15:00,6.364,24778.682
2021-11-01 12:30:00,6.5600000000000005,25698.654
2021-11-01 12:45:00,6.187,19554.203
2021-11-01 13:00:00,6.163,22488.764
2021-11-01 13:15:00,5.274,18683.387
2021-11-01 13:30:00,3.551,11687.232
2021-11-01 13:45:00,2.717,10541.406
2021-11-01 14:00:00,3.716,12205.749
2021-11-01 14:15:00,2.643,8700.821
2021-11-01 14:30:00,2.1750000000000003,8590.802
2021-11-01 14:45:00,3.333,14174.131
2021-11-01 15:00:00,2.865,10900.719
2021-11-01 15:15:00,2.928,12406.637
2021-11-01 15:30:00,2.727,9386.846
2021-11-01 15:45:00,2.088,7258.933
2021-11-01 16:00:00,1.005,3516.7136
2021-11-01 16:15:00,0.77,2507.5754
2021-11-01 16:30:00,0.636,2505.697
2021-11-01 16:45:00,0.474,1651.1357
2021-11-01 17:00:00,0.287,1057.4956
2021-11-01 17:15:00,0.146,491.4824
2021-11-01 17:30:00,0.039,109.816315
2021-11-01 17:45:00,0.0,0.0
2021-11-01 18:00:00,0.0,0.0
2021-11-01 18:15:00,0.0,0.0
2021-11-01 18:30:00,0.0,0.0
2021-11-01 18:45:00,0.0,0.0
2021-11-01 19:00:00,0.0,0.0
2021-11-01 19:15:00,0.0,0.0
2021-11-01 19:30:00,0.0,0.0
2021-11-01 19:45:00,0.0,0.0
2021-11-01 20:00:00,0.0,0.0
2021-11-01 20:15:00,0.0,0.0
2021-11-01 20:30:00,0.0,0.0
2021-11-01 20:45:00,0.0,0.0
2021-11-01 21:00:00,0.0,0.0
2021-11-01 21:15:00,0.0,0.0
2021-11-01 21:30:00,0.0,0.0
2021-11-01 21:45:00,0.0,0.0
2021-11-01 22:00:00,0.0,0.0
2021-11-01 22:15:00,0.0,0.0
2021-11-01 22:30:00,0.0,0.0
2021-11-01 22:45:00,0.0,0.0
2021-11-01 23:00:00,0.0,0.0
2021-11-01 23:15:00,0.0,0.0
2021-11-01 23:30:00,0.0,0.0
2021-11-01 23:45:00,0.0,0.0
2021-11-02 00:00:00,0.0,0.0
2021-11-02 00:15:00,0.0,0.0
2021-11-02 00:30:00,0.0,0.0
2021-11-02 00:45:00,0.0,0.0
2021-11-02 01:00:00,0.0,0.0
2021-11-02 01:15:00,0.0,0.0
2021-11-02 01:30:00,0.0,0.0
2021-11-02 01:45:00,0.0,0.0
2021-11-02 02:00:00,0.0,0.0
2021-11-02 02:15:00,0.0,0.0
2021-11-02 02:30:00,0.0,0.0
2021-11-02 02:45:00,0.0,0.0
2021-11-02 03:00:00,0.0,0.0
2021-11-02 03:15:00,0.0,0.0
2021-11-02 03:30:00,0.0,0.0
2021-11-02 03:45:00,0.0,0.0
2021-11-02 04:00:00,0.0,0.0
2021-11-02 04:15:00,0.0,0.0
2021-11-02 04:30:00,0.0,0.0
2021-11-02 04:45:00,0.0,0.0
2021-11-02 05:00:00,0.0,0.0
2021-11-02 05:15:00,0.0,0.0
2021-11-02 05:30:00,0.0,0.0
2021-11-02 05:45:00,0.0,0.0
2021-11-02 06:00:00,0.0,0.0
2021-11-02 06:15:00,0.0,0.0
2021-11-02 06:30:00,0.0,0.0
2021-11-02 06:45:00,0.0,61.32526
2021-11-02 07:00:00,0.069,362.25143
2021-11-02 07:15:00,0.205,711.70044
2021-11-02 07:30:00,0.223,866.3136
2021-11-02 07:45:00,0.217,928.3075
2021-11-02 08:00:00,0.463,1985.3408
2021-11-02 08:15:00,0.622,2452.2922
2021-11-02 08:30:00,0.961,4252.072
2021-11-02 08:45:00,1.119,4077.3203
2021-11-02 09:00:00,0.8250000000000001,3008.6074
2021-11-02 09:15:00,0.767,3138.1077
2021-11-02 09:30:00,0.848,3242.0913
2021-11-02 09:45:00,0.999,4592.293
2021-11-02 10:00:00,1.97,7697.769
2021-11-02 10:15:00,2.757,12172.008
2021-11-02 10:30:00,4.495,16285.912
2021-11-02 10:45:00,4.239,16392.422
2021-11-02 11:00:00,4.189,18166.875
2021-11-02 11:15:00,4.682,16286.219
2021-11-02 11:30:00,4.947,21801.062
2021-11-02 11:45:00,4.509,16505.666
2021-11-02 12:00:00,6.54,21323.494
2021-11-02 12:15:00,4.7090000000000005,17524.918
2021-11-02 12:30:00,4.979,23462.861
2021-11-02 12:45:00,5.974,25333.922
2021-11-02 13:00:00,6.511,23359.592
2021-11-02 13:15:00,5.712,20048.215
2021-11-02 13:30:00,3.252,10996.513
2021-11-02 13:45:00,3.706,16380.511
2021-11-02 14:00:00,5.248,21162.11
2021-11-02 14:15:00,5.035,18991.297
2021-11-02 14:30:00,4.605,15655.729
2021-11-02 14:45:00,3.713,13058.933
2021-11-02 15:00:00,2.9130000000000003,11957.09
2021-11-02 15:15:00,3.177,10865.04
2021-11-02 15:30:00,2.152,7527.7305
2021-11-02 15:45:00,1.584,5543.944
2021-11-02 16:00:00,1.108,4138.0293
2021-11-02 16:15:00,0.932,3518.1838
2021-11-02 16:30:00,0.656,2727.044
2021-11-02 16:45:00,0.561,1995.1598
2021-11-02 17:00:00,0.316,1083.8416
2021-11-02 17:15:00,0.141,451.9493
2021-11-02 17:30:00,0.02,58.62735
2021-11-02 17:45:00,0.0,0.0
2021-11-02 18:00:00,0.0,0.0
2021-11-02 18:15:00,0.0,0.0
2021-11-02 18:30:00,0.0,0.0
2021-11-02 18:45:00,0.0,0.0
2021-11-02 19:00:00,0.0,0.0
2021-11-02 19:15:00,0.0,0.0
2021-11-02 19:30:00,0.0,0.0
2021-11-02 19:45:00,0.0,0.0
2021-11-02 20:00:00,0.0,0.0
2021-11-02 20:15:00,0.0,0.0
2021-11-02 20:30:00,0.0,0.0
2021-11-02 20:45:00,0.0,0.0
2021-11-02 21:00:00,0.0,0.0
2021-11-02 21:15:00,0.0,0.0
2021-11-02 21:30:00,0.0,0.0
2021-11-02 21:45:00,0.0,0.0
2021-11-02 22:00:00,0.0,0.0
2021-11-02 22:15:00,0.0,0.0
2021-11-02 22:30:00,0.0,0.0
2021-11-02 22:45:00,0.0,0.0
2021-11-02 23:00:00,0.0,0.0
2021-11-02 23:15:00,0.0,0.0
2021-11-02 23:30:00,0.0,0.0
2021-11-02 23:45:00,0.0,0.0
2021-11-03 00:00:00,0.0,0.0
2021-11-03 00:15:00,0.0,0.0
2021-11-03 00:30:00,0.0,0.0
2021-11-03 00:45:00,0.0,0.0
2021-11-03 01:00:00,0.0,0.0
2021-11-03 01:15:00,0.0,0.0
2021-11-03 01:30:00,0.0,0.0
2021-11-03 01:45:00,0.0,0.0
2021-11-03 02:00:00,0.0,0.0
2021-11-03 02:15:00,0.0,0.0
2021-11-03 02:30:00,0.0,0.0
2021-11-03 02:45:00,0.0,0.0
2021-11-03 03:00:00,0.0,0.0
2021-11-03 03:15:00,0.0,0.0
2021-11-03 03:30:00,0.0,0.0
2021-11-03 03:45:00,0.0,0.0
2021-11-03 04:00:00,0.0,0.0
2021-11-03 04:15:00,0.0,0.0
2021-11-03 04:30:00,0.0,0.0
2021-11-03 04:45:00,0.0,0.0
2021-11-03 05:00:00,0.0,0.0
2021-11-03 05:15:00,0.0,0.0
2021-11-03 05:30:00,0.0,0.0
2021-11-03 05:45:00,0.0,0.0
