Time,generation(kWh),power(W)
2021-11-01 00:00:00,0.0,0.0
2021-11-01 00:15:00,0.0,0.0
2021-11-01 00:30:00,0.0,0.0
2021-11-01 00:45:00,0.0,0.0
2021-11-01 01:00:00,0.0,0.0
2021-11-01 01:15:00,0.0,0.0
2021-11-01 01:30:00,0.0,0.0
2021-11-01 01:45:00,0.0,0.0
2021-11-01 02:00:00,0.0,0.0
2021-11-01 02:15:00,0.0,0.0
2021-11-01 02:30:00,0.0,0.0
2021-11-01 02:45:00,0.0,0.0
2021-11-01 03:00:00,0.0,0.0
2021-11-01 03:15:00,0.0,0.0
2021-11-01 03:30:00,0.0,0.0
2021-11-01 03:45:00,0.0,0.0
2021-11-01 04:00:00,0.0,0.0
2021-11-01 04:15:00,0.0,0.0
2021-11-01 04:30:00,0.0,0.0
2021-11-01 04:45:00,0.0,0.0
2021-11-01 05:00:00,0.0,0.0
2021-11-01 05:15:00,0.0,0.0
2021-11-01 05:30:00,0.0,0.0
2021-11-01 05:45:00,0.0,0.0
2021-11-01 06:00:00,0.0,0.0
2021-11-01 06:15:00,0.0,0.0
2021-11-01 06:30:00,0.001,43.0405
2021-11-01 06:45:00,0.098,416.85318
2021-11-01 07:00:00,0.157,739.68134
2021-11-01 07:15:00,0.218,885.0244
2021-11-01 07:30:00,0.245,1058.4498
2021-11-01 07:45:00,0.445,1993.2493
2021-11-01 08:00:00,0.729,2989.2927
2021-11-01 08:15:00,0.639,2283.8965
2021-11-01 08:30:00,0.653,2585.9824
2021-11-01 08:45:00,0.425,1500.9215
2021-11-01 09:00:00,1.372,6198.0605
2021-11-01 09:15:00,2.568,11190.844
2021-11-01 09:30:00,2.887,11947.081
2021-11-01 09:45:00,2.528,8356.374
2021-11-01 10:00:00,2.588,8971.913
2021-11-01 10:15:00,2.22,9000.078
2021-11-01 10:30:00,3.584,16338.717
2021-11-01 10:45:00,3.503,13208.512
2021-11-01 11:00:00,3.319,11843.283
2021-11-01 11:15:00,2.208,8586.385
2021-11-01 11:30:00,4.131,16234.505
2021-11-01 11:45:00,5.402,21165.426
2021-11-01 12:00:00,5.14,20628.73
2021-11-01 12:15:00,5.064,19789.164
2021-11-01 12:30:00,5.181,20321.578
2021-11-01 12:45:00,5.057,20728.664
2021-11-01 13:00:00,5.018,19502.809
2021-11-01 13:15:00,4.148,16507.3
2021-11-01 13:30:00,2.789,10583.954
2021-11-01 13:45:00,2.273,8916.395
2021-11-01 14:00:00,3.129,14916.351
2021-11-01 14:15:00,2.072,12017.28
2021-11-01 14:30:00,1.82,8865.584
2021-11-01 14:45:00,2.602,8275.858
2021-11-01 15:00:00,2.094,7015.212
2021-11-01 15:15:00,2.153,9281.804
2021-11-01 15:30:00,1.901,8859.404
2021-11-01 15:45:00,1.471,3886.1238
2021-11-01 16:00:00,0.8190000000000001,3073.0256
2021-11-01 16:15:00,0.595,2140.2646
2021-11-01 16:30:00,0.509,1952.1311
2021-11-01 16:45:00,0.366,1251.5765
2021-11-01 17:00:00,0.22,873.2918
2021-11-01 17:15:00,0.105,346.67856
2021-11-01 17:30:00,0.014,36.96753
2021-11-01 17:45:00,0.0,0.0
2021-11-01 18:00:00,0.0,0.0
2021-11-01 18:15:00,0.0,0.0
2021-11-01 18:30:00,0.0,0.0
2021-11-01 18:45:00,0.0,0.0
2021-11-01 19:00:00,0.0,0.0
2021-11-01 19:15:00,0.0,0.0
2021-11-01 19:30:00,0.0,0.0
2021-11-01 19:45:00,0.0,0.0
2021-11-01 20:00:00,0.0,0.0
2021-11-01 20:15:00,0.0,0.0
2021-11-01 20:30:00,0.0,0.0
2021-11-01 20:45:00,0.0,0.0
2021-11-01 21:00:00,0.0,0.0
2021-11-01 21:15:00,0.0,0.0
2021-11-01 21:30:00,0.0,0.0
2021-11-01 21:45:00,0.0,0.0
2021-11-01 22:00:00,0.0,0.0
2021-11-01 22:15:00,0.0,0.0
2021-11-01 22:30:00,0.0,0.0
2021-11-01 22:45:00,0.0,0.0
2021-11-01 23:00:00,0.0,0.0
2021-11-01 23:15:00,0.0,0.0
2021-11-01 23:30:00,0.0,0.0
2021-11-01 23:45:00,0.0,0.0
2021-11-02 00:00:00,0.0,0.0
2021-11-02 00:15:00,0.0,0.0
2021-11-02 00:30:00,0.0,0.0
2021-11-02 00:45:00,0.0,0.0
2021-11-02 01:00:00,0.0,0.0
2021-11-02 01:15:00,0.0,0.0
2021-11-02 01:30:00,0.0,0.0
2021-11-02 01:45:00,0.0,0.0
2021-11-02 02:00:00,0.0,0.0
2021-11-02 02:15:00,0.0,0.0
2021-11-02 02:30:00,0.0,0.0
2021-11-02 02:45:00,0.0,0.0
2021-11-02 03:00:00,0.0,0.0
2021-11-02 03:15:00,0.0,0.0
2021-11-02 03:30:00,0.0,0.0
2021-11-02 03:45:00,0.0,0.0
2021-11-02 04:00:00,0.0,0.0
2021-11-02 04:15:00,0.0,0.0
2021-11-02 04:30:00,0.0,0.0
2021-11-02 04:45:00,0.0,0.0
2021-11-02 05:00:00,0.0,0.0
2021-11-02 05:15:00,0.0,0.0
2021-11-02 05:30:00,0.0,0.0
2021-11-02 05:45:00,0.0,0.0
2021-11-02 06:00:00,0.0,0.0
2021-11-02 06:15:00,0.0,0.0
2021-11-02 06:30:00,0.0,0.0
2021-11-02 06:45:00,0.007,45.049683
2021-11-02 07:00:00,0.061,300.14157
2021-11-02 07:15:00,0.173,733.1971
2021-11-02 07:30:00,0.19,744.5853
2021-11-02 07:45:00,0.192,855.58704
2021-11-02 08:00:00,0.413,1657.2528
2021-11-02 08:15:00,0.536,2347.0312
2021-11-02 08:30:00,0.852,3694.6633
2021-11-02 08:45:00,0.919,3277.2808
2021-11-02 09:00:00,0.681,2588.1265
2021-11-02 09:15:00,0.666,2621.0913
2021-11-02 09:30:00,0.706,2735.6199
2021-11-02 09:45:00,0.908,3793.5676
2021-11-02 10:00:00,1.701,6481.5137
2021-11-02 10:15:00,2.455,10848.011
2021-11-02 10:30:00,3.836,13793.83
2021-11-02 10:45:00,3.479,12136.842
2021-11-02 11:00:00,3.667,16758.383
2021-11-02 11:15:00,3.74,13241.435
2021-11-02 11:30:00,4.32,19051.102
2021-11-02 11:45:00,3.739,19297.352
2021-11-02 12:00:00,5.401,24523.445
2021-11-02 12:15:00,3.575,13942.835
2021-11-02 12:30:00,4.313,19240.035
2021-11-02 12:45:00,5.042,20933.23
2021-11-02 13:00:00,5.397,21199.855
2021-11-02 13:15:00,4.541,16983.14
2021-11-02 13:30:00,2.442,9009.15
2021-11-02 13:45:00,3.15,11407.882
2021-11-02 14:00:00,4.199,16227.649
2021-11-02 14:15:00,3.843,14714.54
2021-11-02 14:30:00,3.426,11881.593
2021-11-02 14:45:00,2.835,11224.8545
2021-11-02 15:00:00,2.268,9191.362
2021-11-02 15:15:00,2.307,9347.787
2021-11-02 15:30:00,1.636,6348.465
2021-11-02 15:45:00,1.231,4360.05
2021-11-02 16:00:00,0.912,3419.8691
2021-11-02 16:15:00,0.758,2830.5513
2021-11-02 16:30:00,0.539,2180.9265
2021-11-02 16:45:00,0.425,1409.4949
2021-11-02 17:00:00,0.237,816.5722
2021-11-02 17:15:00,0.102,342.91025
2021-11-02 17:30:00,0.002,26.511963
2021-11-02 17:45:00,0.0,0.0
2021-11-02 18:00:00,0.0,0.0
2021-11-02 18:15:00,0.0,0.0
2021-11-02 18:30:00,0.0,0.0
2021-11-02 18:45:00,0.0,0.0
2021-11-02 19:00:00,0.0,0.0
2021-11-02 19:15:00,0.0,0.0
2021-11-02 19:30:00,0.0,0.0
2021-11-02 19:45:00,0.0,0.0
2021-11-02 20:00:00,0.0,0.0
2021-11-02 20:15:00,0.0,0.0
2021-11-02 20:30:00,0.0,0.0
2021-11-02 20:45:00,0.0,0.0
2021-11-02 21:00:00,0.0,0.0
2021-11-02 21:15:00,0.0,0.0
2021-11-02 21:30:00,0.0,0.0
2021-11-02 21:45:00,0.0,0.0
2021-11-02 22:00:00,0.0,0.0
2021-11-02 22:15:00,0.0,0.0
2021-11-02 22:30:00,0.0,0.0
2021-11-02 22:45:00,0.0,0.0
2021-11-02 23:00:00,0.0,0.0
2021-11-02 23:15:00,0.0,0.0
2021-11-02 23:30:00,0.0,0.0
2021-11-02 23:45:00,0.0,0.0
2021-11-03 00:00:00,0.0,0.0
2021-11-03 00:15:00,0.0,0.0
2021-11-03 00:30:00,0.0,0.0
2021-11-03 00:45:00,0.0,0.0
2021-11-03 01:00:00,0.0,0.0
2021-11-03 01:15:00,0.0,0.0
2021-11-03 01:30:00,0.0,0.0
2021-11-03 01:45:00,0.0,0.0
2021-11-03 02:00:00,0.0,0.0
2021-11-03 02:15:00,0.0,0.0
2021-11-03 02:30:00,0.0,0.0
2021-11-03 02:45:00,0.0,0.0
2021-11-03 03:00:00,0.0,0.0
2021-11-03 03:15:00,0.0,0.0
2021-11-03 03:30:00,0.0,0.0
2021-11-03 03:45:00,0.0,0.0
2021-11-03 04:00:00,0.0,0.0
2021-11-03 04:15:00,0.0,0.0
2021-11-03 04:30:00,0.0,0.0
2021-11-03 04:45:00,0.0,0.0
2021-11-03 05:00:00,0.0,0.0
2021-11-03 05:15:00,0.0,0.0
2021-11-03 05:30:00,0.0,0.0
2021-11-03 05:45:00,0.0,0.0
2021-11-03 06:00:00,0.0,0.0
