Time,generation(kWh),power(W)
2023-08-01 00:00:00,0.0,0.0
2023-08-01 00:15:00,0.0,0.0
2023-08-01 00:30:00,0.0,0.0
2023-08-01 00:45:00,0.0,0.0
2023-08-01 01:00:00,0.0,0.0
2023-08-01 01:15:00,0.0,0.0
2023-08-01 01:30:00,0.0,0.0
2023-08-01 01:45:00,0.0,0.0
2023-08-01 02:00:00,0.0,0.0
2023-08-01 02:15:00,0.0,0.0
2023-08-01 02:30:00,0.0,0.0
2023-08-01 02:45:00,0.0,0.0
2023-08-01 03:00:00,0.0,0.0
2023-08-01 03:15:00,0.0,0.0
2023-08-01 03:30:00,0.0,0.0
2023-08-01 03:45:00,0.0,0.0
2023-08-01 04:00:00,0.0,0.0
2023-08-01 04:15:00,0.0,0.0
2023-08-01 04:30:00,0.0,0.0
2023-08-01 04:45:00,0.0,0.0
2023-08-01 05:00:00,0.0,0.0
2023-08-01 05:15:00,0.0,0.0
2023-08-01 05:30:00,0.0,0.0
2023-08-01 05:45:00,0.0,0.0
2023-08-01 06:00:00,0.103,725.60596
2023-08-01 06:15:00,0.514,2079.121
2023-08-01 06:30:00,0.936,4050.295
2023-08-01 06:45:00,1.595,6716.3135
2023-08-01 07:00:00,2.358,9650.624
2023-08-01 07:15:00,3.247,13159.056
2023-08-01 07:30:00,4.138,16733.484
2023-08-01 07:45:00,5.01,20150.146
2023-08-01 08:00:00,5.992,24089.104
2023-08-01 08:15:00,6.881,27796.8
2023-08-01 08:30:00,5.884,21406.55
2023-08-01 08:45:00,10.287,40957.516
2023-08-01 09:00:00,9.84,41533.08
2023-08-01 09:15:00,11.957,46921.418
2023-08-01 09:30:00,13.499,54427.188
2023-08-01 09:45:00,12.052,43024.68
2023-08-01 10:00:00,12.906,52061.67
2023-08-01 10:15:00,12.764,46805.625
2023-08-01 10:30:00,15.361,61727.824
2023-08-01 10:45:00,16.111,55542.438
2023-08-01 11:00:00,16.31,63287.977
2023-08-01 11:15:00,16.399,62999.926
2023-08-01 11:30:00,16.492,64261.184
2023-08-01 11:45:00,13.669,53674.08
