Time,generation(kWh),power(W)
2021-07-01 00:00:00,0.0,0.0
2021-07-01 00:15:00,0.0,0.0
2021-07-01 00:30:00,0.0,0.0
2021-07-01 00:45:00,0.0,0.0
2021-07-01 01:00:00,0.0,0.0
2021-07-01 01:15:00,0.0,0.0
2021-07-01 01:30:00,0.0,0.0
2021-07-01 01:45:00,0.0,0.0
2021-07-01 02:00:00,0.0,0.0
2021-07-01 02:15:00,0.0,0.0
2021-07-01 02:30:00,0.0,0.0
2021-07-01 02:45:00,0.0,0.0
2021-07-01 03:00:00,0.0,0.0
2021-07-01 03:15:00,0.0,0.0
2021-07-01 03:30:00,0.0,0.0
2021-07-01 03:45:00,0.0,0.0
2021-07-01 04:00:00,0.0,0.0
2021-07-01 04:15:00,0.0,0.0
2021-07-01 04:30:00,0.0,0.0
2021-07-01 04:45:00,0.0,0.0
2021-07-01 05:00:00,0.0,0.0
2021-07-01 05:15:00,0.0,0.0
2021-07-01 05:30:00,0.0,0.0
2021-07-01 05:45:00,0.0,0.0
2021-07-01 06:00:00,0.0,0.0
2021-07-01 06:15:00,0.0,17.666666
2021-07-01 06:30:00,0.148,724.6667
2021-07-01 06:45:00,0.394,1407.0
2021-07-01 07:00:00,0.27,1030.6666
2021-07-01 07:15:00,0.247,866.3333
2021-07-01 07:30:00,0.328,1659.0
2021-07-01 07:45:00,1.004,5376.6665
2021-07-01 08:00:00,1.473,3096.3333
2021-07-01 08:15:00,1.613,7439.0
2021-07-01 08:30:00,0.671,1343.6666
2021-07-01 08:45:00,0.476,1220.0
2021-07-01 09:00:00,1.199,2608.0
2021-07-01 09:15:00,0.861,1624.6666
2021-07-01 09:30:00,0.6990000000000001,1960.0
2021-07-01 09:45:00,0.433,1729.3334
2021-07-01 10:00:00,0.914,3145.6667
2021-07-01 10:15:00,1.979,9267.333
2021-07-01 10:30:00,1.628,5647.6665
2021-07-01 10:45:00,2.605,12803.333
2021-07-01 11:00:00,0.625,1881.0
2021-07-01 11:15:00,0.926,2664.3333
2021-07-01 11:30:00,0.582,3549.3333
2021-07-01 11:45:00,2.637,4855.6665
2021-07-01 12:00:00,3.043,6923.6665
2021-07-01 12:15:00,1.484,3386.3333
2021-07-01 12:30:00,1.3,3486.3333
2021-07-01 12:45:00,1.131,8701.667
2021-07-01 13:00:00,1.733,7464.6665
2021-07-01 13:15:00,1.58,6571.0
2021-07-01 13:30:00,1.563,9952.0
2021-07-01 13:45:00,2.014,5056.3335
2021-07-01 14:00:00,0.922,5006.0
2021-07-01 14:15:00,0.812,4769.3335
2021-07-01 14:30:00,0.878,2841.0
2021-07-01 14:45:00,0.636,2094.6667
2021-07-01 15:00:00,0.799,2474.6667
2021-07-01 15:15:00,0.844,2553.3333
2021-07-01 15:30:00,1.055,5045.3335
2021-07-01 15:45:00,0.857,3558.6667
2021-07-01 16:00:00,0.889,3543.6667
2021-07-01 16:15:00,1.044,3351.3333
2021-07-01 16:30:00,0.517,1885.6666
2021-07-01 16:45:00,0.548,2211.0
2021-07-01 17:00:00,0.668,2558.3333
2021-07-01 17:15:00,0.501,1853.3334
2021-07-01 17:30:00,0.362,1287.3334
2021-07-01 17:45:00,0.242,908.6667
2021-07-01 18:00:00,0.163,595.6667
2021-07-01 18:15:00,0.122,415.0
2021-07-01 18:30:00,0.071,239.0
2021-07-01 18:45:00,0.022,62.666668
2021-07-01 19:00:00,0.0,0.0
2021-07-01 19:15:00,0.0,0.0
2021-07-01 19:30:00,0.0,0.0
2021-07-01 19:45:00,0.0,0.0
2021-07-01 20:00:00,0.0,0.0
2021-07-01 20:15:00,0.0,0.0
2021-07-01 20:30:00,0.0,0.0
2021-07-01 20:45:00,0.0,0.0
2021-07-01 21:00:00,0.0,0.0
2021-07-01 21:15:00,0.0,0.0
2021-07-01 21:30:00,0.0,0.0
2021-07-01 21:45:00,0.0,0.0
2021-07-01 22:00:00,0.0,0.0
