Time,generation(kWh),power(W)
2021-07-01 00:00:00,0.0,0.0
2021-07-01 00:15:00,0.0,0.0
2021-07-01 00:30:00,0.0,0.0
2021-07-01 00:45:00,0.0,0.0
2021-07-01 01:00:00,0.0,0.0
2021-07-01 01:15:00,0.0,0.0
2021-07-01 01:30:00,0.0,0.0
2021-07-01 01:45:00,0.0,0.0
2021-07-01 02:00:00,0.0,0.0
2021-07-01 02:15:00,0.0,0.0
2021-07-01 02:30:00,0.0,0.0
2021-07-01 02:45:00,0.0,0.0
2021-07-01 03:00:00,0.0,0.0
2021-07-01 03:15:00,0.0,0.0
2021-07-01 03:30:00,0.0,0.0
2021-07-01 03:45:00,0.0,0.0
2021-07-01 04:00:00,0.0,0.0
2021-07-01 04:15:00,0.0,0.0
2021-07-01 04:30:00,0.0,0.0
2021-07-01 04:45:00,0.0,0.0
2021-07-01 05:00:00,0.0,0.0
2021-07-01 05:15:00,0.0,0.0
2021-07-01 05:30:00,0.0,0.0
2021-07-01 05:45:00,0.0,0.0
2021-07-01 06:00:00,0.0,0.0
2021-07-01 06:15:00,0.013,100.0
2021-07-01 06:30:00,0.15,549.6667
2021-07-01 06:45:00,0.225,993.0
2021-07-01 07:00:00,0.145,624.3333
2021-07-01 07:15:00,0.147,609.0
2021-07-01 07:30:00,0.295,1733.0
2021-07-01 07:45:00,0.6980000000000001,2638.6667
2021-07-01 08:00:00,0.605,3021.6667
2021-07-01 08:15:00,0.808,2457.0
2021-07-01 08:30:00,0.272,955.3333
2021-07-01 08:45:00,0.387,2777.6667
2021-07-01 09:00:00,0.47,1510.3334
2021-07-01 09:15:00,0.499,1152.0
2021-07-01 09:30:00,0.407,1797.0
2021-07-01 09:45:00,0.286,1139.0
2021-07-01 10:00:00,0.601,3104.3333
2021-07-01 10:15:00,1.131,7071.0
2021-07-01 10:30:00,0.991,5185.0
2021-07-01 10:45:00,1.106,2718.6667
2021-07-01 11:00:00,0.278,963.6667
2021-07-01 11:15:00,0.578,1820.0
2021-07-01 11:30:00,0.5650000000000001,1540.6666
2021-07-01 11:45:00,1.301,5138.3335
2021-07-01 12:00:00,1.385,4642.3335
2021-07-01 12:15:00,0.644,2064.6667
2021-07-01 12:30:00,0.729,2426.0
2021-07-01 12:45:00,0.9,2746.6667
2021-07-01 13:00:00,1.035,3913.3333
2021-07-01 13:15:00,0.981,7575.3335
2021-07-01 13:30:00,1.226,6339.3335
2021-07-01 13:45:00,1.107,2636.6667
2021-07-01 14:00:00,0.596,2035.0
2021-07-01 14:15:00,0.551,1903.3334
2021-07-01 14:30:00,0.5680000000000001,1897.3334
2021-07-01 14:45:00,0.366,1403.3334
2021-07-01 15:00:00,0.498,2210.3333
2021-07-01 15:15:00,0.588,2823.0
2021-07-01 15:30:00,0.5730000000000001,1722.6666
2021-07-01 15:45:00,0.475,1800.0
2021-07-01 16:00:00,0.534,2192.6667
2021-07-01 16:15:00,0.523,1976.0
2021-07-01 16:30:00,0.291,964.3333
2021-07-01 16:45:00,0.378,1568.3334
2021-07-01 17:00:00,0.397,1442.0
2021-07-01 17:15:00,0.311,1204.0
2021-07-01 17:30:00,0.212,764.3333
2021-07-01 17:45:00,0.146,523.6667
2021-07-01 18:00:00,0.103,399.0
2021-07-01 18:15:00,0.072,256.66666
2021-07-01 18:30:00,0.044,146.0
2021-07-01 18:45:00,0.012,31.333334
2021-07-01 19:00:00,0.0,0.0
2021-07-01 19:15:00,0.0,0.0
2021-07-01 19:30:00,0.0,0.0
2021-07-01 19:45:00,0.0,0.0
2021-07-01 20:00:00,0.0,0.0
2021-07-01 20:15:00,0.0,0.0
2021-07-01 20:30:00,0.0,0.0
2021-07-01 20:45:00,0.0,0.0
2021-07-01 21:00:00,0.0,0.0
2021-07-01 21:15:00,0.0,0.0
2021-07-01 21:30:00,0.0,0.0
2021-07-01 21:45:00,0.0,0.0
2021-07-01 22:00:00,0.0,0.0
