Time,generation(kWh),power(W)
2021-06-01 00:00:00,0.0,0.0
2021-06-01 00:15:00,0.0,0.0
2021-06-01 00:30:00,0.0,0.0
2021-06-01 00:45:00,0.0,0.0
2021-06-01 01:00:00,0.0,0.0
2021-06-01 01:15:00,0.0,0.0
2021-06-01 01:30:00,0.0,0.0
2021-06-01 01:45:00,0.0,0.0
2021-06-01 02:00:00,0.0,0.0
2021-06-01 02:15:00,0.0,0.0
2021-06-01 02:30:00,0.0,0.0
2021-06-01 02:45:00,0.0,0.0
2021-06-01 03:00:00,0.0,0.0
2021-06-01 03:15:00,0.0,0.0
2021-06-01 03:30:00,0.0,0.0
2021-06-01 03:45:00,0.0,0.0
2021-06-01 04:00:00,0.0,0.0
2021-06-01 04:15:00,0.0,0.0
2021-06-01 04:30:00,0.0,0.0
2021-06-01 04:45:00,0.0,0.0
2021-06-01 05:00:00,0.0,0.0
2021-06-01 05:15:00,0.0,0.0
2021-06-01 05:30:00,0.0,0.0
2021-06-01 05:45:00,0.0,0.0
2021-06-01 06:00:00,0.0,0.0
2021-06-01 06:15:00,0.005,49.666668
2021-06-01 06:30:00,0.032,136.66667
2021-06-01 06:45:00,0.078,361.0
2021-06-01 07:00:00,0.194,823.6667
2021-06-01 07:15:00,0.267,1016.6667
2021-06-01 07:30:00,0.28,1172.0
2021-06-01 07:45:00,0.309,1031.3334
2021-06-01 08:00:00,0.336,1523.6666
2021-06-01 08:15:00,0.363,1213.6666
2021-06-01 08:30:00,0.107,379.33334
2021-06-01 08:45:00,0.512,2646.6667
2021-06-01 09:00:00,0.594,1763.6666
2021-06-01 09:15:00,0.193,887.0
2021-06-01 09:30:00,0.138,421.66666
2021-06-01 09:45:00,0.201,924.6667
2021-06-01 10:00:00,0.514,2011.6666
2021-06-01 10:15:00,0.418,2069.6667
2021-06-01 10:30:00,0.9,3387.6667
2021-06-01 10:45:00,NA,NA
2021-06-01 11:00:00,0.261,4841.0
2021-06-01 11:15:00,2.22,9902.667
2021-06-01 11:30:00,2.009,7180.6665
2021-06-01 11:45:00,2.66,12661.333
2021-06-01 12:00:00,2.849,9904.667
2021-06-01 12:15:00,1.519,5206.0
2021-06-01 12:30:00,1.193,4358.0
2021-06-01 12:45:00,1.961,7746.6665
2021-06-01 13:00:00,2.4,10130.667
2021-06-01 13:15:00,3.958,15136.667
2021-06-01 13:30:00,2.391,7230.6665
2021-06-01 13:45:00,0.925,2861.6667
2021-06-01 14:00:00,0.453,1911.6666
2021-06-01 14:15:00,0.434,1863.0
2021-06-01 14:30:00,0.656,2427.0
2021-06-01 14:45:00,0.583,2346.0
2021-06-01 15:00:00,0.199,858.6667
2021-06-01 15:15:00,0.622,2773.6667
2021-06-01 15:30:00,0.8210000000000001,2957.6667
2021-06-01 15:45:00,0.166,317.66666
2021-06-01 16:00:00,0.187,760.3333
2021-06-01 16:15:00,0.273,1096.0
2021-06-01 16:30:00,0.234,764.3333
2021-06-01 16:45:00,0.048,137.66667
2021-06-01 17:00:00,0.0,0.0
2021-06-01 17:15:00,0.0,0.0
2021-06-01 17:30:00,0.0,0.0
2021-06-01 17:45:00,0.0,0.0
2021-06-01 18:00:00,0.0,0.0
2021-06-01 18:15:00,0.0,0.0
2021-06-01 18:30:00,0.0,0.0
2021-06-01 18:45:00,0.0,0.0
2021-06-01 19:00:00,0.0,0.0
2021-06-01 19:15:00,0.0,0.0
2021-06-01 19:30:00,0.0,0.0
2021-06-01 19:45:00,0.0,0.0
2021-06-01 20:00:00,0.0,0.0
2021-06-01 20:15:00,0.0,0.0
2021-06-01 20:30:00,0.0,0.0
2021-06-01 20:45:00,0.0,0.0
2021-06-01 21:00:00,0.0,0.0
2021-06-01 21:15:00,0.0,0.0
2021-06-01 21:30:00,0.0,0.0
2021-06-01 21:45:00,0.0,0.0
2021-06-01 22:00:00,0.0,0.0
2021-06-01 22:15:00,0.0,0.0
2021-06-01 22:30:00,0.0,0.0
2021-06-01 22:45:00,0.0,0.0
2021-06-01 23:00:00,0.0,0.0
2021-06-01 23:15:00,0.0,0.0
2021-06-01 23:30:00,0.0,0.0
2021-06-01 23:45:00,0.0,0.0
2021-06-02 00:00:00,0.0,0.0
2021-06-02 00:15:00,0.0,0.0
2021-06-02 00:30:00,0.0,0.0
2021-06-02 00:45:00,0.0,0.0
2021-06-02 01:00:00,0.0,0.0
2021-06-02 01:15:00,0.0,0.0
2021-06-02 01:30:00,0.0,0.0
2021-06-02 01:45:00,0.0,0.0
2021-06-02 02:00:00,0.0,0.0
2021-06-02 02:15:00,0.0,0.0
2021-06-02 02:30:00,0.0,0.0
2021-06-02 02:45:00,0.0,0.0
2021-06-02 03:00:00,0.0,0.0
2021-06-02 03:15:00,0.0,0.0
2021-06-02 03:30:00,0.0,0.0
2021-06-02 03:45:00,0.0,0.0
2021-06-02 04:00:00,0.0,0.0
2021-06-02 04:15:00,0.0,0.0
2021-06-02 04:30:00,0.0,0.0
2021-06-02 04:45:00,0.0,0.0
2021-06-02 05:00:00,0.0,0.0
2021-06-02 05:15:00,0.0,0.0
2021-06-02 05:30:00,0.0,0.0
2021-06-02 05:45:00,0.0,15.666667
2021-06-02 06:00:00,0.044,212.66667
2021-06-02 06:15:00,0.172,672.6667
2021-06-02 06:30:00,0.272,1243.0
2021-06-02 06:45:00,0.342,1251.6666
2021-06-02 07:00:00,0.308,1199.3334
2021-06-02 07:15:00,0.325,1291.0
2021-06-02 07:30:00,0.297,1156.0
2021-06-02 07:45:00,0.332,1371.0
2021-06-02 08:00:00,0.324,1176.3334
2021-06-02 08:15:00,0.321,1132.6666
2021-06-02 08:30:00,0.986,4268.0
2021-06-02 08:45:00,1.778,7300.3335
2021-06-02 09:00:00,1.391,4853.6665
2021-06-02 09:15:00,2.041,9409.333
2021-06-02 09:30:00,3.09,14639.333
2021-06-02 09:45:00,3.41,12653.333
2021-06-02 10:00:00,3.049,12781.0
2021-06-02 10:15:00,3.492,12743.667
