Time,generation(kWh),power(W)
2021-12-01 00:00:00,0.0,0.0
2021-12-01 00:15:00,0.0,0.0
2021-12-01 00:30:00,0.0,0.0
2021-12-01 00:45:00,0.0,0.0
2021-12-01 01:00:00,0.0,0.0
2021-12-01 01:15:00,0.0,0.0
2021-12-01 01:30:00,0.0,0.0
2021-12-01 01:45:00,0.0,0.0
2021-12-01 02:00:00,0.0,0.0
2021-12-01 02:15:00,0.0,0.0
2021-12-01 02:30:00,0.0,0.0
2021-12-01 02:45:00,0.0,0.0
2021-12-01 03:00:00,0.0,0.0
2021-12-01 03:15:00,0.0,0.0
2021-12-01 03:30:00,0.0,0.0
2021-12-01 03:45:00,0.0,0.0
2021-12-01 04:00:00,0.0,0.0
2021-12-01 04:15:00,0.0,0.0
2021-12-01 04:30:00,0.0,0.0
2021-12-01 04:45:00,0.0,0.0
2021-12-01 05:00:00,0.0,0.0
2021-12-01 05:15:00,0.0,0.0
2021-12-01 05:30:00,0.0,0.0
2021-12-01 05:45:00,0.0,0.0
2021-12-01 06:00:00,0.0,0.0
2021-12-01 06:15:00,0.0,0.0
2021-12-01 06:30:00,0.0,0.0
2021-12-01 06:45:00,0.044,355.66666
2021-12-01 07:00:00,0.36,1631.0
2021-12-01 07:15:00,0.913,4143.6665
2021-12-01 07:30:00,1.792,7490.0
2021-12-01 07:45:00,2.83,11837.0
2021-12-01 08:00:00,4.053,16512.334
2021-12-01 08:15:00,5.485,22354.334
2021-12-01 08:30:00,6.921,27819.0
2021-12-01 08:45:00,8.434000000000001,33664.336
2021-12-01 09:00:00,9.827,39004.668
2021-12-01 09:15:00,11.034,43386.668
2021-12-01 09:30:00,12.191,48171.0
2021-12-01 09:45:00,13.371,52707.0
2021-12-01 10:00:00,14.393,56557.664
2021-12-01 10:15:00,15.248,59820.664
2021-12-01 10:30:00,16.124,63268.336
2021-12-01 10:45:00,17.025,66610.33
2021-12-01 11:00:00,17.637,68853.0
2021-12-01 11:15:00,18.112,70602.664
2021-12-01 11:30:00,18.442,71990.33
2021-12-01 11:45:00,18.646,72417.0
2021-12-01 12:00:00,18.79,72892.664
2021-12-01 12:15:00,18.84,73170.33
2021-12-01 12:30:00,18.696,72588.0
2021-12-01 12:45:00,18.426,71314.33
2021-12-01 13:00:00,18.003,69642.33
2021-12-01 13:15:00,17.602,67938.664
2021-12-01 13:30:00,16.994,65511.664
2021-12-01 13:45:00,16.258,62662.336
2021-12-01 14:00:00,15.502,59632.0
2021-12-01 14:15:00,14.403,55185.0
2021-12-01 14:30:00,13.313,51122.664
2021-12-01 14:45:00,12.232,46749.332
2021-12-01 15:00:00,10.992,41808.0
2021-12-01 15:15:00,9.676,36751.664
2021-12-01 15:30:00,8.332,31402.666
2021-12-01 15:45:00,6.91,25938.666
2021-12-01 16:00:00,5.46,20260.332
2021-12-01 16:15:00,4.027,14764.334
2021-12-01 16:30:00,2.698,9675.666
2021-12-01 16:45:00,1.568,5488.667
2021-12-01 17:00:00,0.642,2017.0
2021-12-01 17:15:00,0.211,641.6667
2021-12-01 17:30:00,0.0,28.666668
2021-12-01 17:45:00,0.0,0.0
2021-12-01 18:00:00,0.0,0.0
2021-12-01 18:15:00,0.0,0.0
2021-12-01 18:30:00,0.0,0.0
2021-12-01 18:45:00,0.0,0.0
2021-12-01 19:00:00,0.0,0.0
2021-12-01 19:15:00,0.0,0.0
2021-12-01 19:30:00,0.0,0.0
2021-12-01 19:45:00,0.0,0.0
2021-12-01 20:00:00,0.0,0.0
2021-12-01 20:15:00,0.0,0.0
2021-12-01 20:30:00,0.0,0.0
2021-12-01 20:45:00,0.0,0.0
2021-12-01 21:00:00,0.0,0.0
2021-12-01 21:15:00,0.0,0.0
2021-12-01 21:30:00,0.0,0.0
2021-12-01 21:45:00,0.0,0.0
2021-12-01 22:00:00,0.0,0.0
2021-12-01 22:15:00,0.0,0.0
2021-12-01 22:30:00,0.0,0.0
2021-12-01 22:45:00,0.0,0.0
2021-12-01 23:00:00,0.0,0.0
2021-12-01 23:15:00,0.0,0.0
2021-12-01 23:30:00,0.0,0.0
2021-12-01 23:45:00,0.0,0.0
2021-12-02 00:00:00,0.0,0.0
2021-12-02 00:15:00,0.0,0.0
2021-12-02 00:30:00,0.0,0.0
2021-12-02 00:45:00,0.0,0.0
2021-12-02 01:00:00,0.0,0.0
2021-12-02 01:15:00,0.0,0.0
2021-12-02 01:30:00,0.0,0.0
2021-12-02 01:45:00,0.0,0.0
2021-12-02 02:00:00,0.0,0.0
2021-12-02 02:15:00,0.0,0.0
2021-12-02 02:30:00,0.0,0.0
2021-12-02 02:45:00,0.0,0.0
2021-12-02 03:00:00,0.0,0.0
2021-12-02 03:15:00,0.0,0.0
2021-12-02 03:30:00,0.0,0.0
2021-12-02 03:45:00,0.0,0.0
2021-12-02 04:00:00,0.0,0.0
2021-12-02 04:15:00,0.0,0.0
2021-12-02 04:30:00,0.0,0.0
2021-12-02 04:45:00,0.0,0.0
2021-12-02 05:00:00,0.0,0.0
2021-12-02 05:15:00,0.0,0.0
2021-12-02 05:30:00,0.0,0.0
2021-12-02 05:45:00,0.0,0.0
2021-12-02 06:00:00,0.0,0.0
2021-12-02 06:15:00,0.0,0.0
2021-12-02 06:30:00,0.0,0.0
2021-12-02 06:45:00,0.025,252.33334
2021-12-02 07:00:00,0.279,1275.6667
2021-12-02 07:15:00,0.77,3477.0
2021-12-02 07:30:00,1.587,6748.333
2021-12-02 07:45:00,2.7,11303.666
2021-12-02 08:00:00,3.986,16360.334
2021-12-02 08:15:00,5.431,22038.0
2021-12-02 08:30:00,6.86,27570.668
2021-12-02 08:45:00,8.309000000000001,33168.668
2021-12-02 09:00:00,9.668,38392.332
2021-12-02 09:15:00,10.898,43131.336
2021-12-02 09:30:00,12.012,47428.336
2021-12-02 09:45:00,13.105,51587.336
2021-12-02 10:00:00,14.171,55631.0
2021-12-02 10:15:00,15.051,59072.664
2021-12-02 10:30:00,15.883,62237.332
2021-12-02 10:45:00,16.747,65635.0
2021-12-02 11:00:00,17.449,67996.33
2021-12-02 11:15:00,17.885,69728.0
2021-12-02 11:30:00,18.195,70736.0
2021-12-02 11:45:00,18.257,70915.0
2021-12-02 12:00:00,18.294,71023.0
2021-12-02 12:15:00,18.353,71175.67
2021-12-02 12:30:00,18.087,70005.0
2021-12-02 12:45:00,17.748,68791.664
2021-12-02 13:00:00,17.524,68011.336
2021-12-02 13:15:00,17.158,66506.664
2021-12-02 13:30:00,16.515,63849.332
2021-12-02 13:45:00,15.859,60988.0
2021-12-02 14:00:00,15.241,58481.336
2021-12-02 14:15:00,14.147,54072.0
2021-12-02 14:30:00,13.031,50052.336
2021-12-02 14:45:00,12.002,45818.0
2021-12-02 15:00:00,10.792,41114.0
2021-12-02 15:15:00,9.49,36177.0
2021-12-02 15:30:00,8.131,30708.0
2021-12-02 15:45:00,6.7170000000000005,25102.332
2021-12-02 16:00:00,5.295,19581.0
2021-12-02 16:15:00,3.863,14135.334
2021-12-02 16:30:00,2.617,9405.0
2021-12-02 16:45:00,1.56,5467.3335
2021-12-02 17:00:00,0.672,2134.6665
2021-12-02 17:15:00,0.198,572.6667
2021-12-02 17:30:00,0.0,4.6666665
2021-12-02 17:45:00,0.0,0.0
2021-12-02 18:00:00,0.0,0.0
2021-12-02 18:15:00,0.0,0.0
2021-12-02 18:30:00,0.0,0.0
2021-12-02 18:45:00,0.0,0.0
2021-12-02 19:00:00,0.0,0.0
2021-12-02 19:15:00,0.0,0.0
2021-12-02 19:30:00,0.0,0.0
2021-12-02 19:45:00,0.0,0.0
2021-12-02 20:00:00,0.0,0.0
2021-12-02 20:15:00,0.0,0.0
2021-12-02 20:30:00,0.0,0.0
2021-12-02 20:45:00,0.0,0.0
2021-12-02 21:00:00,0.0,0.0
2021-12-02 21:15:00,0.0,0.0
2021-12-02 21:30:00,0.0,0.0
2021-12-02 21:45:00,0.0,0.0
2021-12-02 22:00:00,0.0,0.0
2021-12-02 22:15:00,0.0,0.0
2021-12-02 22:30:00,0.0,0.0
2021-12-02 22:45:00,0.0,0.0
2021-12-02 23:00:00,0.0,0.0
2021-12-02 23:15:00,0.0,0.0
2021-12-02 23:30:00,0.0,0.0
2021-12-02 23:45:00,0.0,0.0
2021-12-03 00:00:00,0.0,0.0
2021-12-03 00:15:00,0.0,0.0
2021-12-03 00:30:00,0.0,0.0
2021-12-03 00:45:00,0.0,0.0
2021-12-03 01:00:00,0.0,0.0
2021-12-03 01:15:00,0.0,0.0
2021-12-03 01:30:00,0.0,0.0
2021-12-03 01:45:00,0.0,0.0
2021-12-03 02:00:00,0.0,0.0
2021-12-03 02:15:00,0.0,0.0
2021-12-03 02:30:00,0.0,0.0
2021-12-03 02:45:00,0.0,0.0
2021-12-03 03:00:00,0.0,0.0
2021-12-03 03:15:00,0.0,0.0
2021-12-03 03:30:00,0.0,0.0
2021-12-03 03:45:00,0.0,0.0
2021-12-03 04:00:00,0.0,0.0
2021-12-03 04:15:00,0.0,0.0
2021-12-03 04:30:00,0.0,0.0
2021-12-03 04:45:00,0.0,0.0
2021-12-03 05:00:00,0.0,0.0
2021-12-03 05:15:00,0.0,0.0
2021-12-03 05:30:00,0.0,0.0
2021-12-03 05:45:00,0.0,0.0
2021-12-03 06:00:00,0.0,0.0
2021-12-03 06:15:00,0.0,0.0
2021-12-03 06:30:00,0.0,0.0
2021-12-03 06:45:00,0.034,288.33334
2021-12-03 07:00:00,0.301,1361.3334
2021-12-03 07:15:00,0.8240000000000001,3765.3335
2021-12-03 07:30:00,1.689,7145.3335
2021-12-03 07:45:00,2.75,11485.666
2021-12-03 08:00:00,3.997,16383.333
2021-12-03 08:15:00,5.423,22052.0
2021-12-03 08:30:00,6.888,27698.668
2021-12-03 08:45:00,8.384,33489.668
2021-12-03 09:00:00,9.781,38816.668
2021-12-03 09:15:00,11.033,43710.0
2021-12-03 09:30:00,12.192,48043.0
2021-12-03 09:45:00,13.287,52299.664
2021-12-03 10:00:00,14.307,56045.0
2021-12-03 10:15:00,15.22,59724.0
2021-12-03 10:30:00,16.11,63184.0
2021-12-03 10:45:00,17.011,66436.0
2021-12-03 11:00:00,17.582,68613.67
2021-12-03 11:15:00,18.072,70571.33
2021-12-03 11:30:00,18.481,71922.336
2021-12-03 11:45:00,18.678,72596.664
