Time,generation(kWh),power(W)
2021-11-01 00:00:00,0.0,0.0
2021-11-01 00:15:00,0.0,0.0
2021-11-01 00:30:00,0.0,0.0
2021-11-01 00:45:00,0.0,0.0
2021-11-01 01:00:00,0.0,0.0
2021-11-01 01:15:00,0.0,0.0
2021-11-01 01:30:00,0.0,0.0
2021-11-01 01:45:00,0.0,0.0
2021-11-01 02:00:00,0.0,0.0
2021-11-01 02:15:00,0.0,0.0
2021-11-01 02:30:00,0.0,0.0
2021-11-01 02:45:00,0.0,0.0
2021-11-01 03:00:00,0.0,0.0
2021-11-01 03:15:00,0.0,0.0
2021-11-01 03:30:00,0.0,0.0
2021-11-01 03:45:00,0.0,0.0
2021-11-01 04:00:00,0.0,0.0
2021-11-01 04:15:00,0.0,0.0
2021-11-01 04:30:00,0.0,0.0
2021-11-01 04:45:00,0.0,0.0
2021-11-01 05:00:00,0.0,0.0
2021-11-01 05:15:00,0.0,0.0
2021-11-01 05:30:00,0.0,0.0
2021-11-01 05:45:00,0.0,0.0
2021-11-01 06:00:00,0.0,0.0
2021-11-01 06:15:00,0.0,0.0
2021-11-01 06:30:00,0.0,19.666666
2021-11-01 06:45:00,0.044,205.66667
2021-11-01 07:00:00,0.083,345.66666
2021-11-01 07:15:00,0.134,531.0
2021-11-01 07:30:00,0.135,554.3333
2021-11-01 07:45:00,0.259,1178.0
2021-11-01 08:00:00,0.399,1633.6666
2021-11-01 08:15:00,0.369,1351.3334
2021-11-01 08:30:00,0.409,1696.0
2021-11-01 08:45:00,0.242,802.0
2021-11-01 09:00:00,0.767,4471.6665
2021-11-01 09:15:00,1.432,7297.3335
2021-11-01 09:30:00,1.687,7901.3335
2021-11-01 09:45:00,1.975,8022.3335
2021-11-01 10:00:00,1.926,7438.3335
2021-11-01 10:15:00,1.75,6480.6665
2021-11-01 10:30:00,2.153,11357.667
2021-11-01 10:45:00,2.521,7461.3335
2021-11-01 11:00:00,2.412,9064.667
2021-11-01 11:15:00,1.588,6406.6665
2021-11-01 11:30:00,3.076,11313.333
2021-11-01 11:45:00,2.775,11468.333
2021-11-01 12:00:00,2.731,10813.0
2021-11-01 12:15:00,3.4450000000000003,13562.0
2021-11-01 12:30:00,3.387,13312.0
2021-11-01 12:45:00,3.589,13941.667
2021-11-01 13:00:00,3.285,13493.333
2021-11-01 13:15:00,2.263,9396.667
2021-11-01 13:30:00,2.002,5866.0
2021-11-01 13:45:00,1.595,6368.3335
2021-11-01 14:00:00,2.57,10793.0
2021-11-01 14:15:00,2.265,7679.0
2021-11-01 14:30:00,1.763,7380.0
2021-11-01 14:45:00,1.839,8050.3335
2021-11-01 15:00:00,1.813,6024.3335
2021-11-01 15:15:00,1.635,6660.3335
2021-11-01 15:30:00,1.512,6102.6665
2021-11-01 15:45:00,1.083,4338.0
2021-11-01 16:00:00,0.807,2932.3333
2021-11-01 16:15:00,0.427,1292.3334
2021-11-01 16:30:00,0.366,1500.0
2021-11-01 16:45:00,0.316,1060.0
2021-11-01 17:00:00,0.157,544.6667
2021-11-01 17:15:00,0.067,210.0
2021-11-01 17:30:00,0.003,20.666666
2021-11-01 17:45:00,0.0,0.0
2021-11-01 18:00:00,0.0,0.0
2021-11-01 18:15:00,0.0,0.0
2021-11-01 18:30:00,0.0,0.0
2021-11-01 18:45:00,0.0,0.0
2021-11-01 19:00:00,0.0,0.0
2021-11-01 19:15:00,0.0,0.0
2021-11-01 19:30:00,0.0,0.0
2021-11-01 19:45:00,0.0,0.0
2021-11-01 20:00:00,0.0,0.0
2021-11-01 20:15:00,0.0,0.0
2021-11-01 20:30:00,0.0,0.0
2021-11-01 20:45:00,0.0,0.0
2021-11-01 21:00:00,0.0,0.0
2021-11-01 21:15:00,0.0,0.0
2021-11-01 21:30:00,0.0,0.0
2021-11-01 21:45:00,0.0,0.0
2021-11-01 22:00:00,0.0,0.0
2021-11-01 22:15:00,0.0,0.0
2021-11-01 22:30:00,0.0,0.0
2021-11-01 22:45:00,0.0,0.0
2021-11-01 23:00:00,0.0,0.0
2021-11-01 23:15:00,0.0,0.0
2021-11-01 23:30:00,0.0,0.0
2021-11-01 23:45:00,0.0,0.0
2021-11-02 00:00:00,0.0,0.0
2021-11-02 00:15:00,0.0,0.0
2021-11-02 00:30:00,0.0,0.0
2021-11-02 00:45:00,0.0,0.0
2021-11-02 01:00:00,0.0,0.0
2021-11-02 01:15:00,0.0,0.0
2021-11-02 01:30:00,0.0,0.0
2021-11-02 01:45:00,0.0,0.0
2021-11-02 02:00:00,0.0,0.0
2021-11-02 02:15:00,0.0,0.0
2021-11-02 02:30:00,0.0,0.0
2021-11-02 02:45:00,0.0,0.0
2021-11-02 03:00:00,0.0,0.0
2021-11-02 03:15:00,0.0,0.0
2021-11-02 03:30:00,0.0,0.0
2021-11-02 03:45:00,0.0,0.0
2021-11-02 04:00:00,0.0,0.0
2021-11-02 04:15:00,0.0,0.0
2021-11-02 04:30:00,0.0,0.0
2021-11-02 04:45:00,0.0,0.0
2021-11-02 05:00:00,0.0,0.0
2021-11-02 05:15:00,0.0,0.0
2021-11-02 05:30:00,0.0,0.0
2021-11-02 05:45:00,0.0,0.0
2021-11-02 06:00:00,0.0,0.0
2021-11-02 06:15:00,0.0,0.0
2021-11-02 06:30:00,0.0,0.0
2021-11-02 06:45:00,0.0,21.333334
2021-11-02 07:00:00,0.026,184.66667
2021-11-02 07:15:00,0.121,493.66666
2021-11-02 07:30:00,0.148,537.6667
2021-11-02 07:45:00,0.099,421.66666
2021-11-02 08:00:00,0.216,901.0
2021-11-02 08:15:00,0.365,1565.0
2021-11-02 08:30:00,0.5630000000000001,2370.6667
2021-11-02 08:45:00,0.588,2089.0
2021-11-02 09:00:00,0.437,1580.6666
2021-11-02 09:15:00,0.4,1574.3334
2021-11-02 09:30:00,0.397,1518.0
2021-11-02 09:45:00,0.51,2246.3333
2021-11-02 10:00:00,1.131,4446.0
2021-11-02 10:15:00,1.324,5735.6665
2021-11-02 10:30:00,1.971,8104.6665
2021-11-02 10:45:00,1.815,6770.0
2021-11-02 11:00:00,1.964,8044.3335
2021-11-02 11:15:00,2.654,10586.333
2021-11-02 11:30:00,2.811,12128.0
2021-11-02 11:45:00,2.696,9506.667
2021-11-02 12:00:00,3.658,14895.0
2021-11-02 12:15:00,2.9370000000000003,14766.0
2021-11-02 12:30:00,3.121,13636.333
2021-11-02 12:45:00,3.268,12833.667
2021-11-02 13:00:00,3.628,13098.333
2021-11-02 13:15:00,3.013,9216.333
2021-11-02 13:30:00,2.019,7239.0
2021-11-02 13:45:00,2.762,11614.667
2021-11-02 14:00:00,2.84,10901.333
2021-11-02 14:15:00,2.611,10000.333
2021-11-02 14:30:00,2.287,8680.333
2021-11-02 14:45:00,1.725,7117.0
2021-11-02 15:00:00,1.962,7381.0
2021-11-02 15:15:00,1.5,5544.3335
2021-11-02 15:30:00,1.473,6047.3335
2021-11-02 15:45:00,0.852,2902.3333
2021-11-02 16:00:00,0.596,2291.6667
2021-11-02 16:15:00,0.514,1946.6666
2021-11-02 16:30:00,0.334,1467.0
2021-11-02 16:45:00,0.37,1283.6666
2021-11-02 17:00:00,0.166,542.3333
2021-11-02 17:15:00,0.062,203.0
2021-11-02 17:30:00,0.0,14.0
2021-11-02 17:45:00,0.0,0.0
2021-11-02 18:00:00,0.0,0.0
2021-11-02 18:15:00,0.0,0.0
2021-11-02 18:30:00,0.0,0.0
2021-11-02 18:45:00,0.0,0.0
2021-11-02 19:00:00,0.0,0.0
2021-11-02 19:15:00,0.0,0.0
2021-11-02 19:30:00,0.0,0.0
2021-11-02 19:45:00,0.0,0.0
2021-11-02 20:00:00,0.0,0.0
2021-11-02 20:15:00,0.0,0.0
2021-11-02 20:30:00,0.0,0.0
2021-11-02 20:45:00,0.0,0.0
2021-11-02 21:00:00,0.0,0.0
2021-11-02 21:15:00,0.0,0.0
2021-11-02 21:30:00,0.0,0.0
2021-11-02 21:45:00,0.0,0.0
2021-11-02 22:00:00,0.0,0.0
2021-11-02 22:15:00,0.0,0.0
2021-11-02 22:30:00,0.0,0.0
2021-11-02 22:45:00,0.0,0.0
2021-11-02 23:00:00,0.0,0.0
2021-11-02 23:15:00,0.0,0.0
2021-11-02 23:30:00,0.0,0.0
2021-11-02 23:45:00,0.0,0.0
2021-11-03 00:00:00,0.0,0.0
2021-11-03 00:15:00,0.0,0.0
2021-11-03 00:30:00,0.0,0.0
2021-11-03 00:45:00,0.0,0.0
2021-11-03 01:00:00,0.0,0.0
2021-11-03 01:15:00,0.0,0.0
2021-11-03 01:30:00,0.0,0.0
2021-11-03 01:45:00,0.0,0.0
2021-11-03 02:00:00,0.0,0.0
2021-11-03 02:15:00,0.0,0.0
2021-11-03 02:30:00,0.0,0.0
2021-11-03 02:45:00,0.0,0.0
2021-11-03 03:00:00,0.0,0.0
2021-11-03 03:15:00,0.0,0.0
2021-11-03 03:30:00,0.0,0.0
2021-11-03 03:45:00,0.0,0.0
2021-11-03 04:00:00,0.0,0.0
2021-11-03 04:15:00,0.0,0.0
2021-11-03 04:30:00,0.0,0.0
2021-11-03 04:45:00,0.0,0.0
2021-11-03 05:00:00,0.0,0.0
2021-11-03 05:15:00,0.0,0.0
2021-11-03 05:30:00,0.0,0.0
2021-11-03 05:45:00,0.0,0.0
