Time,generation(kWh),power(W)
2022-01-20 00:00:00,0.0,0.0
2022-01-20 00:15:00,0.0,0.0
2022-01-20 00:30:00,0.0,0.0
2022-01-20 00:45:00,0.0,0.0
2022-01-20 01:00:00,0.0,0.0
2022-01-20 01:15:00,0.0,0.0
2022-01-20 01:30:00,0.0,0.0
2022-01-20 01:45:00,0.0,0.0
2022-01-20 02:00:00,0.0,0.0
2022-01-20 02:15:00,0.0,0.0
2022-01-20 02:30:00,0.0,0.0
2022-01-20 02:45:00,0.0,0.0
2022-01-20 03:00:00,0.0,0.0
2022-01-20 03:15:00,0.0,0.0
2022-01-20 03:30:00,0.0,0.0
2022-01-20 03:45:00,0.0,0.0
2022-01-20 04:00:00,0.0,0.0
2022-01-20 04:15:00,0.0,0.0
2022-01-20 04:30:00,0.0,0.0
2022-01-20 04:45:00,0.0,0.0
2022-01-20 05:00:00,0.0,0.0
2022-01-20 05:15:00,0.0,0.0
2022-01-20 05:30:00,0.0,0.0
2022-01-20 05:45:00,0.0,0.0
2022-01-20 06:00:00,0.0,0.0
2022-01-20 06:15:00,0.0,0.0
2022-01-20 06:30:00,0.0,0.0
2022-01-20 06:45:00,0.0,0.0
2022-01-20 07:00:00,0.0,13.666667
2022-01-20 07:15:00,0.068,427.0886
2022-01-20 07:30:00,0.336,1602.8466
2022-01-20 07:45:00,0.664,2723.2622
2022-01-20 08:00:00,1.216,5750.6904
2022-01-20 08:15:00,2.161,8735.748
2022-01-20 08:30:00,2.509,10456.709
2022-01-20 08:45:00,3.267,13051.58
2022-01-20 09:00:00,3.941,15976.965
2022-01-20 09:15:00,4.62,18459.842
2022-01-20 09:30:00,5.391,21305.379
2022-01-20 09:45:00,6.064,23978.066
2022-01-20 10:00:00,6.696,26346.031
2022-01-20 10:15:00,7.272,28503.604
2022-01-20 10:30:00,7.813,30587.744
2022-01-20 10:45:00,8.193,32380.219
2022-01-20 11:00:00,8.695,34019.0
2022-01-20 11:15:00,9.122,35720.156
2022-01-20 11:30:00,9.492,36990.86
2022-01-20 11:45:00,9.723,38009.086
2022-01-20 12:00:00,9.898,38603.797
2022-01-20 12:15:00,9.969,38745.16
2022-01-20 12:30:00,9.96,38630.78
2022-01-20 12:45:00,9.42,37708.363
2022-01-20 13:00:00,7.739,36322.332
2022-01-20 13:15:00,9.543,38759.523
2022-01-20 13:30:00,9.158,36346.0
2022-01-20 13:45:00,8.429,32278.77
2022-01-20 14:00:00,8.67,33165.96
2022-01-20 14:15:00,6.104,21345.809
2022-01-20 14:30:00,7.704,31652.969
2022-01-20 14:45:00,4.776,17124.727
2022-01-20 15:00:00,3.635,14111.614
2022-01-20 15:15:00,3.412,13729.104
2022-01-20 15:30:00,3.851,14035.877
2022-01-20 15:45:00,2.662,9945.352
2022-01-20 16:00:00,1.838,6755.6187
2022-01-20 16:15:00,1.59,6408.6357
2022-01-20 16:30:00,1.705,6231.918
2022-01-20 16:45:00,0.859,3056.947
2022-01-20 17:00:00,0.696,2696.122
