Time,generation(kWh),power(W)
2022/3/1 0:00,0,0
2022/3/1 0:15,0,0
2022/3/1 0:30,0,0
2022/3/1 0:45,0,0
2022/3/1 1:00,0,0
2022/3/1 1:15,0,0
2022/3/1 1:30,0,0
2022/3/1 1:45,0,0
2022/3/1 2:00,0,0
2022/3/1 2:15,0,0
2022/3/1 2:30,0,0
2022/3/1 2:45,0,0
2022/3/1 3:00,0,0
2022/3/1 3:15,0,0
2022/3/1 3:30,0,0
2022/3/1 3:45,0,0
2022/3/1 4:00,0,0
2022/3/1 4:15,0,0
2022/3/1 4:30,0,0
2022/3/1 4:45,0,0
2022/3/1 5:00,0,0
2022/3/1 5:15,0,0
2022/3/1 5:30,0,0
2022/3/1 5:45,0,0
2022/3/1 6:00,0,0
2022/3/1 6:15,0,0
2022/3/1 6:30,0,0
2022/3/1 6:45,0,0
2022/3/1 7:00,NA,NA
2022/3/1 7:15,NA,NA
2022/3/1 7:30,NA,NA
2022/3/1 7:45,NA,NA
2022/3/1 8:00,NA,NA
2022/3/1 8:15,NA,NA
2022/3/1 8:30,NA,NA
2022/3/1 8:45,NA,NA
2022/3/1 9:00,NA,NA
2022/3/1 9:15,NA,NA
2022/3/1 9:30,NA,NA
2022/3/1 9:45,NA,NA
2022/3/1 10:00,NA,NA
2022/3/1 10:15,NA,NA
2022/3/1 10:30,1.061,9728
2022/3/1 10:45,0.009,2226
2022/3/1 11:00,0,0
2022/3/1 11:15,0.092,0
2022/3/1 11:30,2.221,10605.333
2022/3/1 11:45,4.366,18157
2022/3/1 12:00,4.536,18142
2022/3/1 12:15,4.877,19391
2022/3/1 12:30,5.032,21338.666
2022/3/1 12:45,5.252,18616.334
2022/3/1 13:00,3.829,13303.667
2022/3/1 13:15,4.748,20263.666
2022/3/1 13:30,4.667,16614.334
2022/3/1 13:45,3.223,14093.667
2022/3/1 14:00,2.805,7568
2022/3/1 14:15,2.102,10971
2022/3/1 14:30,2.492,9043
2022/3/1 14:45,2.305,8233.667
2022/3/1 15:00,1.192,4595.6665
2022/3/1 15:15,1.413,5557.6665
2022/3/1 15:30,1.567,7179
2022/3/1 15:45,2.908,11129.667
2022/3/1 16:00,2.434,9099.667
2022/3/1 16:15,1.981,7635.6665
2022/3/1 16:30,1.666,5824
2022/3/1 16:45,1.086,4055.3333
2022/3/1 17:00,0.631,2337.6667
2022/3/1 17:15,0.746,2988.3333
2022/3/1 17:30,0.495,1670.6666
2022/3/1 17:45,0.255,921.3333
2022/3/1 18:00,0.113,346.66666
2022/3/1 18:15,0.001,19.333334
2022/3/1 18:30,0,0
2022/3/1 18:45,0,0
2022/3/1 19:00,0,0
2022/3/1 19:15,0,0
2022/3/1 19:30,0,0
2022/3/1 19:45,0,0
2022/3/1 20:00,0,0
2022/3/1 20:15,0,0
2022/3/1 20:30,0,0
2022/3/1 20:45,0,0
2022/3/1 21:00,0,0
2022/3/1 21:15,0,0
2022/3/1 21:30,0,0
2022/3/1 21:45,0,0
2022/3/1 22:00,0,0
2022/3/1 22:15,0,0
2022/3/1 22:30,0,0
2022/3/1 22:45,0,0
2022/3/1 23:00,0,0
2022/3/1 23:15,0,0
2022/3/1 23:30,0,0
2022/3/1 23:45,0,0
2022/3/2 0:00,0,0
2022/3/2 0:15,0,0
2022/3/2 0:30,0,0
2022/3/2 0:45,0,0
2022/3/2 1:00,0,0
2022/3/2 1:15,0,0
2022/3/2 1:30,0,0
2022/3/2 1:45,0,0
2022/3/2 2:00,0,0
2022/3/2 2:15,0,0
2022/3/2 2:30,0,0
2022/3/2 2:45,0,0
2022/3/2 3:00,0,0
2022/3/2 3:15,0,0
2022/3/2 3:30,0,0
2022/3/2 3:45,0,0
2022/3/2 4:00,0,0
2022/3/2 4:15,0,0
2022/3/2 4:30,0,0
2022/3/2 4:45,0,0
2022/3/2 5:00,0,0
2022/3/2 5:15,0,0
2022/3/2 5:30,0,0
2022/3/2 5:45,0,0
2022/3/2 6:00,0,0
2022/3/2 6:15,0,0
2022/3/2 6:30,0,0
2022/3/2 6:45,0.005,41.666668
2022/3/2 7:00,0.086,412.66666
2022/3/2 7:15,0.214,918.3333
2022/3/2 7:30,0.348,1450.3334
2022/3/2 7:45,0.534,2230.3333
2022/3/2 8:00,0.813,3353
2022/3/2 8:15,1.092,4440.6665
2022/3/2 8:30,1.406,5661
2022/3/2 8:45,1.723,6925
2022/3/2 9:00,2.145,8544.333
2022/3/2 9:15,2.462,9745.333
2022/3/2 9:30,2.744,10824.333
2022/3/2 9:45,3.006,11852.667
2022/3/2 10:00,3.271,12894.333
2022/3/2 10:15,3.518,13793
2022/3/2 10:30,3.725,14606.333
2022/3/2 10:45,3.912,15310.333
2022/3/2 11:00,4.088,15974.667
2022/3/2 11:15,4.228,16482.666
2022/3/2 11:30,4.343,16917.666
2022/3/2 11:45,4.438,17325.334
2022/3/2 12:00,4.534,17617.334
2022/3/2 12:15,4.593,17905.334
2022/3/2 12:30,4.629,17999.666
