Time,generation(kWh),power(W)
2022/6/1 0:00,0,0
2022/6/1 0:15,0,0
2022/6/1 0:30,0,0
2022/6/1 0:45,0,0
2022/6/1 1:00,0,0
2022/6/1 1:15,0,0
2022/6/1 1:30,0,0
2022/6/1 1:45,0,0
2022/6/1 2:00,0,0
2022/6/1 2:15,0,0
2022/6/1 2:30,0,0
2022/6/1 2:45,0,0
2022/6/1 3:00,0,0
2022/6/1 3:15,0,0
2022/6/1 3:30,0,0
2022/6/1 3:45,0,0
2022/6/1 4:00,0,0
2022/6/1 4:15,0,0
2022/6/1 4:30,0,0
2022/6/1 4:45,0,0
2022/6/1 5:00,0,0
2022/6/1 5:15,0,0
2022/6/1 5:30,0,0
2022/6/1 5:45,0,0
2022/6/1 6:00,0.01,62.66224
2022/6/1 6:15,0.045,196.78802
2022/6/1 6:30,0.075,302.9782
2022/6/1 6:45,0.09,350.70782
2022/6/1 7:00,0.091,338.0921
2022/6/1 7:15,0.099,434.7241
2022/6/1 7:30,0.182,755.2398
2022/6/1 7:45,0.468,2395.0637
2022/6/1 8:00,0.515,1583.894
2022/6/1 8:15,0.749,3091.9155
2022/6/1 8:30,0.431,1704.7618
2022/6/1 8:45,0.745,4466.7256
2022/6/1 9:00,1.196,4573.618
2022/6/1 9:15,0.715,1981.9948
2022/6/1 9:30,0.647,2300.2021
2022/6/1 9:45,1.096,4400.817
2022/6/1 10:00,1.886,7971.1533
2022/6/1 10:15,1.506,5020.135
2022/6/1 10:30,2.028,8696.988
2022/6/1 10:45,2.005,7581.6523
2022/6/1 11:00,1.415,6153.661
2022/6/1 11:15,1.416,5209.3145
2022/6/1 11:30,1.718,5221.647
2022/6/1 11:45,2.275,8127.7417
2022/6/1 12:00,1.122,4229.5376
2022/6/1 12:15,1.053,7837.558
2022/6/1 12:30,0.992,5518.7593
2022/6/1 12:45,1.577,5291.1
2022/6/1 13:00,1.998,7527.2886
2022/6/1 13:15,1.575,4299.542
2022/6/1 13:30,1.665,3671.4429
2022/6/1 13:45,0.869,3888.0923
2022/6/1 14:00,0.766,2920.9001
2022/6/1 14:15,0.555,2474.2056
2022/6/1 14:30,0.691,2369.1582
2022/6/1 14:45,0.49,2082.5615
2022/6/1 15:00,0.678,2655.0674
2022/6/1 15:15,0.662,2619.9148
2022/6/1 15:30,0.68,2642.3223
2022/6/1 15:45,0.663,2540.0466
2022/6/1 16:00,0.599,2300.0623
2022/6/1 16:15,0.533,2006.2856
2022/6/1 16:30,0.259,1654.5713
2022/6/1 16:45,0.345,1262.6831
2022/6/1 17:00,0.303,1195.5393
2022/6/1 17:15,0.268,980.5963
2022/6/1 17:30,0.181,696.006
2022/6/1 17:45,0.178,658.0988
2022/6/1 18:00,0.134,487.98517
2022/6/1 18:15,0.079,280.5383
2022/6/1 18:30,0.036,115.05906
2022/6/1 18:45,0.004,9.429776
2022/6/1 19:00,0,0
2022/6/1 19:15,0,0
2022/6/1 19:30,0,0
2022/6/1 19:45,0,0
2022/6/1 20:00,0,0
2022/6/1 20:15,0,0
2022/6/1 20:30,0,0
2022/6/1 20:45,0,0
2022/6/1 21:00,0,0
2022/6/1 21:15,0,0
2022/6/1 21:30,0,0
2022/6/1 21:45,0,0
2022/6/1 22:00,0,0
2022/6/1 22:15,0,0
2022/6/1 22:30,0,0
2022/6/1 22:45,0,0
2022/6/1 23:00,0,0
2022/6/1 23:15,0,0
2022/6/1 23:30,0,0
2022/6/1 23:45,0,0
2022/6/2 0:00,0,0
2022/6/2 0:15,0,0
2022/6/2 0:30,0,0
2022/6/2 0:45,0,0
2022/6/2 1:00,0,0
2022/6/2 1:15,0,0
2022/6/2 1:30,0,0
2022/6/2 1:45,0,0
2022/6/2 2:00,0,0
2022/6/2 2:15,0,0
2022/6/2 2:30,0,0
2022/6/2 2:45,0,0
2022/6/2 3:00,0,0
2022/6/2 3:15,0,0
2022/6/2 3:30,0,0
2022/6/2 3:45,0,0
2022/6/2 4:00,0,0
2022/6/2 4:15,0,0
2022/6/2 4:30,0,0
2022/6/2 4:45,0,0
2022/6/2 5:00,0,0
2022/6/2 5:15,0,0
2022/6/2 5:30,0,0
2022/6/2 5:45,0,0
2022/6/2 6:00,0.002,34.560467
