Time,generation(kWh),power(W)
2021-05-23 00:00:00,0.0,0.0
2021-05-23 01:00:00,0.0,0.0
2021-05-23 02:00:00,0.0,0.0
2021-05-23 03:00:00,0.0,0.0
2021-05-23 04:00:00,0.0,0.0
2021-05-23 05:00:00,0.0,0.0
2021-05-23 06:00:00,0.04,40.0
2021-05-23 07:00:00,2.244,2244.0
2021-05-23 08:00:00,5.75,5750.0
2021-05-23 09:00:00,9.313,9313.0
2021-05-23 10:00:00,15.636,15636.0
2021-05-23 11:00:00,17.279,17279.0
2021-05-23 12:00:00,10.875,10875.0
2021-05-23 13:00:00,8.463,8463.0
2021-05-23 14:00:00,14.85,14850.0
2021-05-23 15:00:00,18.565,18565.0
2021-05-23 16:00:00,15.967,15967.0
2021-05-23 17:00:00,11.175,11175.0
2021-05-23 18:00:00,4.008,4008.0
2021-05-23 19:00:00,0.355,355.0
2021-05-23 20:00:00,0.0,0.0
2021-05-23 21:00:00,0.0,0.0
2021-05-23 22:00:00,0.0,0.0
2021-05-23 23:00:00,0.0,0.0
2021-05-24 00:00:00,0.0,0.0
2021-05-24 01:00:00,0.0,0.0
2021-05-24 02:00:00,0.0,0.0
2021-05-24 03:00:00,0.0,0.0
2021-05-24 04:00:00,0.0,0.0
2021-05-24 05:00:00,0.0,0.0
2021-05-24 06:00:00,0.046,46.0
2021-05-24 07:00:00,1.961,1961.0
2021-05-24 08:00:00,5.664,5664.0
2021-05-24 09:00:00,5.995,5995.0
2021-05-24 10:00:00,10.065,10065.0
2021-05-24 11:00:00,9.356,9356.0
2021-05-24 12:00:00,14.814,14814.0
2021-05-24 13:00:00,12.895,12895.0
2021-05-24 14:00:00,18.372,18372.0
2021-05-24 15:00:00,4.443,4443.0
2021-05-24 16:00:00,6.36,6360.0
2021-05-24 17:00:00,5.758,5758.0
2021-05-24 18:00:00,2.562,2562.0
2021-05-24 19:00:00,0.758,758.0
2021-05-24 20:00:00,0.0,0.0
2021-05-24 21:00:00,0.0,0.0
2021-05-24 22:00:00,0.0,0.0
2021-05-24 23:00:00,0.0,0.0
2021-05-25 00:00:00,0.0,0.0
2021-05-25 01:00:00,0.0,0.0
2021-05-25 02:00:00,0.0,0.0
2021-05-25 03:00:00,0.0,0.0
2021-05-25 04:00:00,0.0,0.0
2021-05-25 05:00:00,0.0,0.0
2021-05-25 06:00:00,0.188,188.0
2021-05-25 07:00:00,1.538,1538.0
2021-05-25 08:00:00,6.868,6868.0
2021-05-25 09:00:00,6.84,6840.0
2021-05-25 10:00:00,3.338,3338.0
2021-05-25 11:00:00,1.352,1352.0
2021-05-25 12:00:00,8.545,8545.0
2021-05-25 13:00:00,15.123,15123.0
2021-05-25 14:00:00,8.567,8567.0
2021-05-25 15:00:00,7.722,7722.0
2021-05-25 16:00:00,7.952,7952.0
2021-05-25 17:00:00,6.407,6407.0
2021-05-25 18:00:00,3.881,3881.0
2021-05-25 19:00:00,0.968,968.0
2021-05-25 20:00:00,0.0,0.0
2021-05-25 21:00:00,0.0,0.0
2021-05-25 22:00:00,0.0,0.0
2021-05-25 23:00:00,0.0,0.0
2021-05-26 00:00:00,0.0,0.0
2021-05-26 01:00:00,0.0,0.0
2021-05-26 02:00:00,0.0,0.0
2021-05-26 03:00:00,0.0,0.0
2021-05-26 04:00:00,0.0,0.0
2021-05-26 05:00:00,0.0,0.0
2021-05-26 06:00:00,0.013,13.0
2021-05-26 07:00:00,1.797,1797.0
2021-05-26 08:00:00,3.513,3513.0
2021-05-26 09:00:00,8.294,8294.0
2021-05-26 10:00:00,17.728,17728.0
2021-05-26 11:00:00,20.076,20076.0
2021-05-26 12:00:00,13.798,13798.0
2021-05-26 13:00:00,13.98,13980.0
2021-05-26 14:00:00,15.694,15694.0
2021-05-26 15:00:00,17.657,17657.0
2021-05-26 16:00:00,17.1,17100.0
2021-05-26 17:00:00,9.968,9968.0
2021-05-26 18:00:00,3.369,3369.0
2021-05-26 19:00:00,0.282,282.0
2021-05-26 20:00:00,0.0,0.0
2021-05-26 21:00:00,0.0,0.0
2021-05-26 22:00:00,0.0,0.0
2021-05-26 23:00:00,0.0,0.0
2021-05-27 00:00:00,0.0,0.0
2021-05-27 01:00:00,0.0,0.0
2021-05-27 02:00:00,0.0,0.0
2021-05-27 03:00:00,0.0,0.0
2021-05-27 04:00:00,0.0,0.0
2021-05-27 05:00:00,0.0,0.0
2021-05-27 06:00:00,0.015,15.0
2021-05-27 07:00:00,2.065,2065.0
2021-05-27 08:00:00,5.553,5553.0
2021-05-27 09:00:00,8.595,8595.0
2021-05-27 10:00:00,17.059,17059.0
2021-05-27 11:00:00,18.584,18584.0
2021-05-27 12:00:00,19.473,19473.0
2021-05-27 13:00:00,21.347,21347.0
2021-05-27 14:00:00,21.415,21415.0
2021-05-27 15:00:00,17.733,17733.0
2021-05-27 16:00:00,15.218,15218.0
2021-05-27 17:00:00,7.927,7927.0
2021-05-27 18:00:00,3.477,3477.0
2021-05-27 19:00:00,0.242,242.0
2021-05-27 20:00:00,0.0,0.0
2021-05-27 21:00:00,0.0,0.0
2021-05-27 22:00:00,0.0,0.0
2021-05-27 23:00:00,0.0,0.0
2021-05-28 00:00:00,0.0,0.0
2021-05-28 01:00:00,0.0,0.0
2021-05-28 02:00:00,0.0,0.0
2021-05-28 03:00:00,0.0,0.0
2021-05-28 04:00:00,0.0,0.0
2021-05-28 05:00:00,0.0,0.0
2021-05-28 06:00:00,0.036,36.0
2021-05-28 07:00:00,2.024,2024.0
2021-05-28 08:00:00,6.285,6285.0
2021-05-28 09:00:00,11.785,11785.0
2021-05-28 10:00:00,13.689,13689.0
2021-05-28 11:00:00,18.116,18116.0
2021-05-28 12:00:00,16.038,16038.0
2021-05-28 13:00:00,15.068,15068.0
2021-05-28 14:00:00,17.578,17578.0
2021-05-28 15:00:00,13.03,13030.0
2021-05-28 16:00:00,9.112,9112.0
2021-05-28 17:00:00,4.837,4837.0
2021-05-28 18:00:00,2.273,2273.0
2021-05-28 19:00:00,0.428,428.0
2021-05-28 20:00:00,0.0,0.0
2021-05-28 21:00:00,0.0,0.0
2021-05-28 22:00:00,0.0,0.0
2021-05-28 23:00:00,0.0,0.0
2021-05-29 00:00:00,0.0,0.0
2021-05-29 01:00:00,0.0,0.0
2021-05-29 02:00:00,0.0,0.0
2021-05-29 03:00:00,0.0,0.0
2021-05-29 04:00:00,0.0,0.0
2021-05-29 05:00:00,0.0,0.0
2021-05-29 06:00:00,0.032,32.0
2021-05-29 07:00:00,2.477,2477.0
2021-05-29 08:00:00,8.056,8056.0
2021-05-29 09:00:00,11.97,11970.0
2021-05-29 10:00:00,18.98,18980.0
2021-05-29 11:00:00,14.593,14593.0
2021-05-29 12:00:00,20.309,20309.0
2021-05-29 13:00:00,15.307,15307.0
2021-05-29 14:00:00,14.914,14914.0
2021-05-29 15:00:00,11.087,11087.0
2021-05-29 16:00:00,6.581,6581.0
2021-05-29 17:00:00,3.009,3009.0
2021-05-29 18:00:00,1.454,1454.0
2021-05-29 19:00:00,0.231,231.0
2021-05-29 20:00:00,0.0,0.0
2021-05-29 21:00:00,0.0,0.0
2021-05-29 22:00:00,0.0,0.0
2021-05-29 23:00:00,0.0,0.0
2021-05-30 00:00:00,0.0,0.0
2021-05-30 01:00:00,0.0,0.0
2021-05-30 02:00:00,0.0,0.0
2021-05-30 03:00:00,0.0,0.0
2021-05-30 04:00:00,0.0,0.0
2021-05-30 05:00:00,0.0,0.0
2021-05-30 06:00:00,0.037,37.0
2021-05-30 07:00:00,1.968,1968.0
2021-05-30 08:00:00,7.819,7819.0
2021-05-30 09:00:00,8.325,8325.0
2021-05-30 10:00:00,8.873,8873.0
2021-05-30 11:00:00,11.115,11115.0
2021-05-30 12:00:00,15.507,15507.0
2021-05-30 13:00:00,14.17,14170.0
2021-05-30 14:00:00,16.506,16506.0
2021-05-30 15:00:00,15.442,15442.0
2021-05-30 16:00:00,10.306,10306.0
2021-05-30 17:00:00,5.326,5326.0
2021-05-30 18:00:00,1.697,1697.0
2021-05-30 19:00:00,0.711,711.0
2021-05-30 20:00:00,0.0,0.0
2021-05-30 21:00:00,0.0,0.0
2021-05-30 22:00:00,0.0,0.0
2021-05-30 23:00:00,0.0,0.0
2021-05-31 00:00:00,0.0,0.0
2021-05-31 01:00:00,0.0,0.0
2021-05-31 02:00:00,0.0,0.0
2021-05-31 03:00:00,0.0,0.0
2021-05-31 04:00:00,0.0,0.0
2021-05-31 05:00:00,0.0,0.0
2021-05-31 06:00:00,0.0,0.0
2021-05-31 07:00:00,0.288,288.0
2021-05-31 08:00:00,0.759,759.0
2021-05-31 09:00:00,0.743,743.0
2021-05-31 10:00:00,1.253,1253.0
2021-05-31 11:00:00,2.007,2007.0
2021-05-31 12:00:00,5.616,5616.0
2021-05-31 13:00:00,3.534,3534.0
2021-05-31 14:00:00,3.358,3358.0
2021-05-31 15:00:00,14.437,14437.0
2021-05-31 16:00:00,16.106,16106.0
2021-05-31 17:00:00,6.667,6667.0
2021-05-31 18:00:00,1.492,1492.0
2021-05-31 19:00:00,0.07,70.0
2021-05-31 20:00:00,0.0,0.0
2021-05-31 21:00:00,0.0,0.0
2021-05-31 22:00:00,0.0,0.0
2021-05-31 23:00:00,0.0,0.0
2021-06-01 00:00:00,0.0,0.0
2021-06-01 01:00:00,0.0,0.0
2021-06-01 02:00:00,0.0,0.0
2021-06-01 03:00:00,0.0,0.0
2021-06-01 04:00:00,0.0,0.0
2021-06-01 05:00:00,0.0,0.0
2021-06-01 06:00:00,0.0,0.0
2021-06-01 07:00:00,0.218,218.0
2021-06-01 08:00:00,1.36,1360.0
2021-06-01 09:00:00,1.654,1654.0
2021-06-01 10:00:00,0.933,933.0
2021-06-01 11:00:00,1.708,1708.0
2021-06-01 12:00:00,8.624,8624.0
2021-06-01 13:00:00,9.369,9369.0
2021-06-01 14:00:00,10.487,10487.0
