Time,generation(kWh),power(W)
2021-08-23 07:00:00,0.077,77.0
2021-08-23 08:00:00,0.232,232.0
2021-08-23 09:00:00,0.792,792.0
2021-08-23 10:00:00,1.156,1156.0
2021-08-23 11:00:00,1.476,1476.0
2021-08-23 12:00:00,2.115,2115.0
2021-08-23 13:00:00,1.905,1905.0
2021-08-23 14:00:00,1.342,1342.0
2021-08-23 15:00:00,1.806,1806.0
2021-08-23 16:00:00,1.363,1363.0
2021-08-23 17:00:00,0.742,742.0
2021-08-23 18:00:00,0.502,502.0
2021-08-23 19:00:00,0.0,0.0
2021-08-23 20:00:00,0.0,0.0
2021-08-23 21:00:00,0.0,0.0
2021-08-23 22:00:00,0.0,0.0
2021-08-23 23:00:00,0.0,0.0
2021-08-24 00:00:00,0.0,0.0
2021-08-24 01:00:00,0.0,0.0
2021-08-24 02:00:00,0.0,0.0
2021-08-24 03:00:00,0.0,0.0
2021-08-24 04:00:00,0.0,0.0
2021-08-24 05:00:00,0.0,0.0
2021-08-24 06:00:00,0.0,0.0
2021-08-24 07:00:00,0.04,40.0
2021-08-24 08:00:00,0.222,222.0
2021-08-24 09:00:00,0.574,574.0
2021-08-24 10:00:00,0.561,561.0
2021-08-24 11:00:00,1.708,1708.0
2021-08-24 12:00:00,1.635,1635.0
2021-08-24 13:00:00,1.906,1906.0
2021-08-24 14:00:00,2.39,2390.0
2021-08-24 15:00:00,1.589,1589.0
2021-08-24 16:00:00,1.338,1338.0
2021-08-24 17:00:00,0.968,968.0
2021-08-24 18:00:00,0.268,268.0
2021-08-24 19:00:00,0.037,37.0
2021-08-24 20:00:00,0.0,0.0
2021-08-24 21:00:00,0.0,0.0
2021-08-24 22:00:00,0.0,0.0
2021-08-24 23:00:00,0.0,0.0
2021-08-25 00:00:00,0.0,0.0
2021-08-25 01:00:00,0.0,0.0
2021-08-25 02:00:00,0.0,0.0
2021-08-25 03:00:00,0.0,0.0
2021-08-25 04:00:00,0.0,0.0
2021-08-25 05:00:00,0.0,0.0
2021-08-25 06:00:00,0.0,0.0
2021-08-25 07:00:00,0.062,62.0
2021-08-25 08:00:00,0.197,197.0
2021-08-25 09:00:00,0.451,451.0
2021-08-25 10:00:00,0.988,988.0
2021-08-25 11:00:00,1.8,1800.0
2021-08-25 12:00:00,1.644,1644.0
2021-08-25 13:00:00,1.782,1782.0
2021-08-25 14:00:00,1.367,1367.0
2021-08-25 15:00:00,1.315,1315.0
2021-08-25 16:00:00,0.292,292.0
2021-08-25 17:00:00,0.47,470.0
2021-08-25 18:00:00,0.317,317.0
2021-08-25 19:00:00,0.035,35.0
2021-08-25 20:00:00,0.0,0.0
2021-08-25 21:00:00,0.0,0.0
2021-08-25 22:00:00,0.0,0.0
2021-08-25 23:00:00,0.0,0.0
2021-08-26 00:00:00,0.0,0.0
2021-08-26 01:00:00,0.0,0.0
2021-08-26 02:00:00,0.0,0.0
2021-08-26 03:00:00,0.0,0.0
2021-08-26 04:00:00,0.0,0.0
2021-08-26 05:00:00,0.0,0.0
2021-08-26 06:00:00,0.0,0.0
2021-08-26 07:00:00,0.024,24.0
2021-08-26 08:00:00,0.255,255.0
2021-08-26 09:00:00,0.587,587.0
2021-08-26 10:00:00,1.005,1005.0
2021-08-26 11:00:00,2.216,2216.0
2021-08-26 12:00:00,2.335,2335.0
2021-08-26 13:00:00,1.999,1999.0
2021-08-26 14:00:00,2.694,2694.0
2021-08-26 15:00:00,2.401,2401.0
2021-08-26 16:00:00,1.625,1625.0
2021-08-26 17:00:00,0.775,775.0
2021-08-26 18:00:00,0.222,222.0
2021-08-26 19:00:00,0.004,4.0
2021-08-26 20:00:00,0.0,0.0
2021-08-26 21:00:00,0.0,0.0
2021-08-26 22:00:00,0.0,0.0
2021-08-26 23:00:00,0.0,0.0
2021-08-27 00:00:00,0.0,0.0
2021-08-27 01:00:00,0.0,0.0
2021-08-27 02:00:00,0.0,0.0
2021-08-27 03:00:00,0.0,0.0
2021-08-27 04:00:00,0.0,0.0
2021-08-27 05:00:00,0.0,0.0
2021-08-27 06:00:00,0.0,0.0
2021-08-27 07:00:00,0.0,0.0
2021-08-27 08:00:00,0.08,80.0
2021-08-27 09:00:00,0.312,312.0
2021-08-27 10:00:00,0.591,591.0
2021-08-27 11:00:00,0.216,216.0
2021-08-27 12:00:00,0.004,4.0
2021-08-27 13:00:00,0.083,83.0
2021-08-27 14:00:00,0.0,0.0
2021-08-27 15:00:00,0.019,19.0
2021-08-27 16:00:00,0.0,0.0
2021-08-27 17:00:00,0.021,21.0
2021-08-27 18:00:00,0.018,18.0
2021-08-27 19:00:00,0.003,3.0
2021-08-27 20:00:00,0.0,0.0
2021-08-27 21:00:00,0.0,0.0
2021-08-27 22:00:00,0.0,0.0
2021-08-27 23:00:00,0.0,0.0
2021-08-28 00:00:00,0.0,0.0
2021-08-28 01:00:00,0.0,0.0
2021-08-28 02:00:00,0.0,0.0
2021-08-28 03:00:00,0.0,0.0
2021-08-28 04:00:00,0.0,0.0
2021-08-28 05:00:00,0.0,0.0
2021-08-28 06:00:00,0.0,0.0
2021-08-28 07:00:00,0.025,25.0
2021-08-28 08:00:00,0.122,122.0
2021-08-28 09:00:00,0.615,615.0
2021-08-28 10:00:00,0.919,919.0
2021-08-28 11:00:00,1.34,1340.0
2021-08-28 12:00:00,0.817,817.0
2021-08-28 13:00:00,0.051,51.0
2021-08-28 14:00:00,0.864,864.0
2021-08-28 15:00:00,2.174,2174.0
2021-08-28 16:00:00,1.974,1974.0
2021-08-28 17:00:00,1.05,1050.0
2021-08-28 18:00:00,0.273,273.0
2021-08-28 19:00:00,0.04,40.0
2021-08-28 20:00:00,0.0,0.0
2021-08-28 21:00:00,0.0,0.0
2021-08-28 22:00:00,0.0,0.0
2021-08-28 23:00:00,0.0,0.0
2021-08-29 00:00:00,0.0,0.0
2021-08-29 01:00:00,0.0,0.0
