Time,generation(kWh),power(W)
2022-12-19 07:00:00,0.0,0.0
2022-12-19 08:00:00,0.175,175.0
2022-12-19 09:00:00,1.259,1259.0
2022-12-19 10:00:00,3.131,3131.0
2022-12-19 11:00:00,4.423,4423.0
2022-12-19 12:00:00,4.982,4982.0
2022-12-19 13:00:00,3.566,3566.0
2022-12-19 14:00:00,4.498,4498.0
2022-12-19 15:00:00,3.952,3952.0
2022-12-19 16:00:00,1.93,1930.0
2022-12-19 17:00:00,0.324,324.0
2022-12-19 18:00:00,0.138,138.0
2022-12-19 19:00:00,0.0,0.0
2022-12-19 20:00:00,0.0,0.0
2022-12-19 21:00:00,0.0,0.0
2022-12-19 22:00:00,0.0,0.0
2022-12-19 23:00:00,0.0,0.0
2022-12-20 00:00:00,0.0,0.0
2022-12-20 01:00:00,0.0,0.0
2022-12-20 02:00:00,0.0,0.0
2022-12-20 03:00:00,0.0,0.0
2022-12-20 04:00:00,0.0,0.0
2022-12-20 05:00:00,0.0,0.0
2022-12-20 06:00:00,0.0,0.0
2022-12-20 07:00:00,0.0,0.0
2022-12-20 08:00:00,0.281,281.0
2022-12-20 09:00:00,1.167,1167.0
2022-12-20 10:00:00,2.05,2050.0
2022-12-20 11:00:00,3.28,3280.0
2022-12-20 12:00:00,4.149,4149.0
2022-12-20 13:00:00,4.07,4070.000000000001
2022-12-20 14:00:00,4.486,4486.0
2022-12-20 15:00:00,3.545,3545.0
2022-12-20 16:00:00,1.877,1877.0
2022-12-20 17:00:00,0.536,536.0
2022-12-20 18:00:00,0.12,120.0
2022-12-20 19:00:00,0.0,0.0
2022-12-20 20:00:00,0.0,0.0
2022-12-20 21:00:00,0.0,0.0
2022-12-20 22:00:00,0.0,0.0
2022-12-20 23:00:00,0.0,0.0
2022-12-21 00:00:00,0.0,0.0
2022-12-21 01:00:00,0.0,0.0
2022-12-21 02:00:00,0.0,0.0
2022-12-21 03:00:00,0.0,0.0
2022-12-21 04:00:00,0.0,0.0
2022-12-21 05:00:00,0.0,0.0
2022-12-21 06:00:00,0.0,0.0
2022-12-21 07:00:00,0.0,0.0
2022-12-21 08:00:00,0.204,204.0
2022-12-21 09:00:00,1.365,1365.0
2022-12-21 10:00:00,3.056,3056.0
2022-12-21 11:00:00,4.201,4201.0
2022-12-21 12:00:00,4.881,4881.0
2022-12-21 13:00:00,4.662,4662.0
2022-12-21 14:00:00,4.8,4800.0
2022-12-21 15:00:00,3.75,3750.0
2022-12-21 16:00:00,2.0,2000.0
2022-12-21 17:00:00,0.349,349.0
2022-12-21 18:00:00,0.138,138.0
2022-12-21 19:00:00,0.0,0.0
2022-12-21 20:00:00,0.0,0.0
2022-12-21 21:00:00,0.0,0.0
2022-12-21 22:00:00,0.0,0.0
2022-12-21 23:00:00,0.0,0.0
2022-12-22 00:00:00,0.0,0.0
2022-12-22 01:00:00,0.0,0.0
2022-12-22 02:00:00,0.0,0.0
