Time,generation(kWh),power(W)
2022-12-19 01:00:00,0.0,0.0
2022-12-19 02:00:00,0.0,0.0
2022-12-19 03:00:00,0.0,0.0
2022-12-19 04:00:00,0.0,0.0
2022-12-19 05:00:00,0.0,0.0
2022-12-19 06:00:00,0.0,0.0
2022-12-19 07:00:00,0.0,0.0
2022-12-19 08:00:00,0.545,545.0
2022-12-19 09:00:00,3.429,3429.0
2022-12-19 10:00:00,9.71,9710.0
2022-12-19 11:00:00,13.996,13996.0
2022-12-19 12:00:00,16.796,16796.0
2022-12-19 13:00:00,17.234,17234.0
2022-12-19 14:00:00,15.652,15652.0
2022-12-19 15:00:00,10.519,10519.0
2022-12-19 16:00:00,3.974,3974.0
2022-12-19 17:00:00,0.857,857.0
2022-12-19 18:00:00,0.237,237.0
2022-12-19 19:00:00,0.0,0.0
2022-12-19 20:00:00,0.0,0.0
2022-12-19 21:00:00,0.0,0.0
2022-12-19 22:00:00,0.0,0.0
2022-12-19 23:00:00,0.0,0.0
2022-12-20 00:00:00,0.0,0.0
2022-12-20 01:00:00,0.0,0.0
2022-12-20 02:00:00,0.0,0.0
2022-12-20 03:00:00,0.0,0.0
2022-12-20 04:00:00,0.0,0.0
2022-12-20 05:00:00,0.0,0.0
2022-12-20 06:00:00,0.0,0.0
2022-12-20 07:00:00,0.0,0.0
2022-12-20 08:00:00,0.703,703.0
2022-12-20 09:00:00,3.282,3282.0
2022-12-20 10:00:00,5.783,5783.0
2022-12-20 11:00:00,10.496,10496.0
2022-12-20 12:00:00,13.911,13911.0
2022-12-20 13:00:00,14.344,14344.0
2022-12-20 14:00:00,14.537,14537.0
2022-12-20 15:00:00,9.633,9633.0
2022-12-20 16:00:00,4.066,4066.0
2022-12-20 17:00:00,1.386,1386.0
2022-12-20 18:00:00,0.236,236.0
2022-12-20 19:00:00,0.0,0.0
2022-12-20 20:00:00,0.0,0.0
2022-12-20 21:00:00,0.0,0.0
2022-12-20 22:00:00,0.0,0.0
2022-12-20 23:00:00,0.0,0.0
2022-12-21 00:00:00,0.0,0.0
2022-12-21 01:00:00,0.0,0.0
2022-12-21 02:00:00,0.0,0.0
2022-12-21 03:00:00,0.0,0.0
2022-12-21 04:00:00,0.0,0.0
2022-12-21 05:00:00,0.0,0.0
2022-12-21 06:00:00,0.0,0.0
2022-12-21 07:00:00,0.0,0.0
2022-12-21 08:00:00,0.688,688.0
2022-12-21 09:00:00,3.583,3583.0
2022-12-21 10:00:00,9.41,9410.0
2022-12-21 11:00:00,13.316,13316.0
2022-12-21 12:00:00,15.99,15990.0
2022-12-21 13:00:00,16.322,16322.0
2022-12-21 14:00:00,14.891,14891.0
2022-12-21 15:00:00,10.159,10159.0
2022-12-21 16:00:00,4.044,4044.0
2022-12-21 17:00:00,0.92,920.0
2022-12-21 18:00:00,0.265,265.0
2022-12-21 19:00:00,0.0,0.0
2022-12-21 20:00:00,0.0,0.0
2022-12-21 21:00:00,0.0,0.0
2022-12-21 22:00:00,0.0,0.0
2022-12-21 23:00:00,0.0,0.0
2022-12-22 00:00:00,0.0,0.0
2022-12-22 01:00:00,0.0,0.0
2022-12-22 02:00:00,0.0,0.0
2022-12-22 03:00:00,0.0,0.0
2022-12-22 04:00:00,0.0,0.0
2022-12-22 05:00:00,0.0,0.0
2022-12-22 06:00:00,0.0,0.0
2022-12-22 07:00:00,0.0,0.0
2022-12-22 08:00:00,0.741,741.0
2022-12-22 09:00:00,4.21,4210.0
2022-12-22 10:00:00,10.126,10126.0
2022-12-22 11:00:00,14.148,14148.0
2022-12-22 12:00:00,16.95,16950.0
2022-12-22 13:00:00,17.301,17301.0
2022-12-22 14:00:00,15.816,15816.0
2022-12-22 15:00:00,10.486,10486.0
2022-12-22 16:00:00,4.179,4179.0
2022-12-22 17:00:00,0.87,870.0
2022-12-22 18:00:00,0.253,253.0
2022-12-22 19:00:00,0.0,0.0
2022-12-22 20:00:00,0.0,0.0
2022-12-22 21:00:00,0.0,0.0
2022-12-22 22:00:00,0.0,0.0
2022-12-22 23:00:00,0.0,0.0
2022-12-23 00:00:00,0.0,0.0
2022-12-23 01:00:00,0.0,0.0
2022-12-23 02:00:00,0.0,0.0
2022-12-23 03:00:00,0.0,0.0
2022-12-23 04:00:00,0.0,0.0
2022-12-23 05:00:00,0.0,0.0
2022-12-23 06:00:00,0.0,0.0
2022-12-23 07:00:00,0.0,0.0
2022-12-23 08:00:00,NA,NA
2022-12-23 09:00:00,NA,NA
2022-12-23 10:00:00,NA,NA
2022-12-23 11:00:00,NA,NA
2022-12-23 12:00:00,NA,NA
2022-12-23 13:00:00,NA,NA
2022-12-23 14:00:00,NA,NA
2022-12-23 15:00:00,NA,NA
2022-12-23 16:00:00,NA,NA
2022-12-23 17:00:00,NA,NA
2022-12-23 18:00:00,0.0,0.0
2022-12-23 19:00:00,0.0,0.0
2022-12-23 20:00:00,0.0,0.0
2022-12-23 21:00:00,0.0,0.0
2022-12-23 22:00:00,0.0,0.0
2022-12-23 23:00:00,0.0,0.0
2022-12-24 00:00:00,0.0,0.0
2022-12-24 01:00:00,0.0,0.0
2022-12-24 02:00:00,0.0,0.0
2022-12-24 03:00:00,0.0,0.0
2022-12-24 04:00:00,0.0,0.0
2022-12-24 05:00:00,0.0,0.0
2022-12-24 06:00:00,0.0,0.0
2022-12-24 07:00:00,0.0,0.0
2022-12-24 08:00:00,0.766,766.0
2022-12-24 09:00:00,3.841,3841.0
2022-12-24 10:00:00,9.639,9639.0
2022-12-24 11:00:00,13.723,13723.0
2022-12-24 12:00:00,16.501,16501.0
2022-12-24 13:00:00,17.03,17030.0
2022-12-24 14:00:00,15.587,15587.0
2022-12-24 15:00:00,10.468,10468.0
2022-12-24 16:00:00,4.219,4219.0
2022-12-24 17:00:00,0.923,923.0
2022-12-24 18:00:00,0.268,268.0
2022-12-24 19:00:00,0.0,0.0
2022-12-24 20:00:00,0.0,0.0
2022-12-24 21:00:00,0.0,0.0
2022-12-24 22:00:00,0.0,0.0
2022-12-24 23:00:00,0.0,0.0
2022-12-25 00:00:00,0.0,0.0
2022-12-25 01:00:00,0.0,0.0
2022-12-25 02:00:00,0.0,0.0
2022-12-25 03:00:00,0.0,0.0
2022-12-25 04:00:00,0.0,0.0
2022-12-25 05:00:00,0.0,0.0
2022-12-25 06:00:00,0.0,0.0
2022-12-25 07:00:00,0.0,0.0
2022-12-25 08:00:00,0.709,709.0
2022-12-25 09:00:00,3.734,3734.0
2022-12-25 10:00:00,9.441,9441.0
2022-12-25 11:00:00,13.425,13425.0
2022-12-25 12:00:00,16.441,16441.0
2022-12-25 13:00:00,17.197,17197.0
2022-12-25 14:00:00,15.788,15788.0
2022-12-25 15:00:00,10.716,10716.0
2022-12-25 16:00:00,4.357,4357.0
2022-12-25 17:00:00,0.894,894.0
2022-12-25 18:00:00,0.28,280.0
2022-12-25 19:00:00,0.0,0.0
2022-12-25 20:00:00,0.0,0.0
2022-12-25 21:00:00,0.0,0.0
2022-12-25 22:00:00,0.0,0.0
2022-12-25 23:00:00,0.0,0.0
2022-12-26 00:00:00,0.0,0.0
2022-12-26 01:00:00,0.0,0.0
2022-12-26 02:00:00,0.0,0.0
2022-12-26 03:00:00,0.0,0.0
2022-12-26 04:00:00,0.0,0.0
