Time,generation(kWh),power(W)
2023/3/24 0:00,0.000 ,0 
2023/3/24 1:00,0.000 ,0 
2023/3/24 2:00,0.000 ,0 
2023/3/24 3:00,0.000 ,0 
2023/3/24 4:00,0.000 ,0 
2023/3/24 5:00,0.000 ,0 
2023/3/24 6:00,0.023 ,23 
2023/3/24 7:00,0.838 ,838 
2023/3/24 8:00,2.788 ,2788 
2023/3/24 9:00,8.048 ,8048 
2023/3/24 10:00,11.591 ,11591 
2023/3/24 11:00,16.053 ,16053 
2023/3/24 12:00,19.444 ,19444 
2023/3/24 13:00,21.638 ,21638 
2023/3/24 14:00,10.008 ,10008 
2023/3/24 15:00,9.380 ,9380 
2023/3/24 16:00,5.934 ,5934 
2023/3/24 17:00,2.436 ,2436 
2023/3/24 18:00,0.000 ,0 
2023/3/24 19:00,0.000 ,0 
2023/3/24 20:00,0.000 ,0 
2023/3/24 21:00,0.000 ,0 
2023/3/24 22:00,0.000 ,0 
2023/3/24 23:00,0.000 ,0 
2023/3/25 0:00,0.000 ,0 
2023/3/25 1:00,0.000 ,0 
2023/3/25 2:00,0.000 ,0 
2023/3/25 3:00,0.000 ,0 
2023/3/25 4:00,0.000 ,0 
2023/3/25 5:00,0.000 ,0 
2023/3/25 6:00,0.000 ,0 
2023/3/25 7:00,0.482 ,482 
2023/3/25 8:00,2.829 ,2829 
2023/3/25 9:00,9.259 ,9259 
2023/3/25 10:00,13.715 ,13715 
2023/3/25 11:00,19.386 ,19386 
2023/3/25 12:00,21.946 ,21946 
2023/3/25 13:00,22.051 ,22051 
2023/3/25 14:00,18.551 ,18551 
2023/3/25 15:00,12.179 ,12179 
2023/3/25 16:00,6.278 ,6278 
2023/3/25 17:00,2.558 ,2558 
2023/3/25 18:00,0.000 ,0 
2023/3/25 19:00,0.000 ,0 
2023/3/25 20:00,0.000 ,0 
2023/3/25 21:00,0.000 ,0 
2023/3/25 22:00,0.000 ,0 
2023/3/25 23:00,0.000 ,0 
2023/3/26 0:00,0.000 ,0 
2023/3/26 1:00,0.000 ,0 
2023/3/26 2:00,0.000 ,0 
2023/3/26 3:00,0.000 ,0 
2023/3/26 4:00,0.000 ,0 
2023/3/26 5:00,0.000 ,0 
2023/3/26 6:00,0.000 ,0 
2023/3/26 7:00,0.671 ,671 
2023/3/26 8:00,1.803 ,1803 
2023/3/26 9:00,3.242 ,3242 
2023/3/26 10:00,5.029 ,5029 
2023/3/26 11:00,7.062 ,7062 
2023/3/26 12:00,15.445 ,15445 
2023/3/26 13:00,19.360 ,19360 
2023/3/26 14:00,17.711 ,17711 
2023/3/26 15:00,12.010 ,12010 
2023/3/26 16:00,6.577 ,6577 
2023/3/26 17:00,2.763 ,2763 
2023/3/26 18:00,0.000 ,0 
2023/3/26 19:00,0.000 ,0 
2023/3/26 20:00,0.000 ,0 
2023/3/26 21:00,0.000 ,0 
2023/3/26 22:00,0.000 ,0 
2023/3/26 23:00,0.000 ,0 
2023/3/27 0:00,0.000 ,0 
2023/3/27 1:00,0.000 ,0 
2023/3/27 2:00,0.000 ,0 
2023/3/27 3:00,0.000 ,0 
2023/3/27 4:00,0.000 ,0 
2023/3/27 5:00,0.000 ,0 
2023/3/27 6:00,0.022 ,22 
2023/3/27 7:00,1.182 ,1182 
2023/3/27 8:00,2.420 ,2420 
2023/3/27 9:00,7.556 ,7556 
2023/3/27 10:00,10.564 ,10564 
2023/3/27 11:00,11.884 ,11884 
2023/3/27 12:00,19.294 ,19294 
2023/3/27 13:00,19.218 ,19218 
2023/3/27 14:00,17.337 ,17337 
2023/3/27 15:00,11.991 ,11991 
2023/3/27 16:00,6.242 ,6242 
2023/3/27 17:00,2.564 ,2564 
2023/3/27 18:00,0.000 ,0 
2023/3/27 19:00,0.000 ,0 
2023/3/27 20:00,0.000 ,0 
2023/3/27 21:00,0.000 ,0 
2023/3/27 22:00,0.000 ,0 
2023/3/27 23:00,0.000 ,0 
2023/3/28 0:00,0.000 ,0 
2023/3/28 1:00,0.000 ,0 
2023/3/28 2:00,0.000 ,0 
2023/3/28 3:00,0.000 ,0 
2023/3/28 4:00,0.000 ,0 
2023/3/28 5:00,0.000 ,0 
2023/3/28 6:00,0.000 ,0 
2023/3/28 7:00,0.726 ,726 
2023/3/28 8:00,3.186 ,3186 
2023/3/28 9:00,8.271 ,8271 
2023/3/28 10:00,11.098 ,11098 
2023/3/28 11:00,14.823 ,14823 
2023/3/28 12:00,19.740 ,19740 
2023/3/28 13:00,21.096 ,21096 
2023/3/28 14:00,18.234 ,18234 
2023/3/28 15:00,11.926 ,11926 
2023/3/28 16:00,6.253 ,6253 
2023/3/28 17:00,2.526 ,2526 
2023/3/28 18:00,0.000 ,0 
2023/3/28 19:00,0.000 ,0 
2023/3/28 20:00,0.000 ,0 
2023/3/28 21:00,0.000 ,0 
2023/3/28 22:00,0.000 ,0 
2023/3/28 23:00,0.000 ,0 
2023/3/29 0:00,0.000 ,0 
2023/3/29 1:00,0.000 ,0 
2023/3/29 2:00,0.000 ,0 
2023/3/29 3:00,0.000 ,0 
2023/3/29 4:00,0.000 ,0 
2023/3/29 5:00,0.000 ,0 
2023/3/29 6:00,0.065 ,65 
2023/3/29 7:00,1.303 ,1303 
2023/3/29 8:00,3.401 ,3401 
2023/3/29 9:00,5.555 ,5555 
2023/3/29 10:00,8.936 ,8936 
2023/3/29 11:00,12.864 ,12864 
2023/3/29 12:00,16.766 ,16766 
2023/3/29 13:00,20.791 ,20791 
2023/3/29 14:00,16.048 ,16048 
2023/3/29 15:00,9.627 ,9627 
2023/3/29 16:00,5.031 ,5031 
2023/3/29 17:00,2.232 ,2232 
2023/3/29 18:00,0.000 ,0 
2023/3/29 19:00,0.000 ,0 
2023/3/29 20:00,0.000 ,0 
2023/3/29 21:00,0.000 ,0 
2023/3/29 22:00,0.000 ,0 
2023/3/29 23:00,0.000 ,0 
2023/3/30 0:00,0.000 ,0 
2023/3/30 1:00,0.000 ,0 
2023/3/30 2:00,0.000 ,0 
2023/3/30 3:00,0.000 ,0 
2023/3/30 4:00,0.000 ,0 
2023/3/30 5:00,0.000 ,0 
2023/3/30 6:00,0.067 ,67 
2023/3/30 7:00,1.287 ,1287 
2023/3/30 8:00,3.468 ,3468 
2023/3/30 9:00,9.802 ,9802 
2023/3/30 10:00,12.500 ,12500 
2023/3/30 11:00,15.700 ,15700 
2023/3/30 12:00,14.832 ,14832 
2023/3/30 13:00,15.817 ,15817 
2023/3/30 14:00,13.743 ,13743 
2023/3/30 15:00,10.487 ,10487 
2023/3/30 16:00,6.493 ,6493 
2023/3/30 17:00,2.266 ,2266 
2023/3/30 18:00,0.000 ,0 
2023/3/30 19:00,0.000 ,0 
2023/3/30 20:00,0.000 ,0 
2023/3/30 21:00,0.000 ,0 
2023/3/30 22:00,0.000 ,0 
2023/3/30 23:00,0.000 ,0 
2023/3/31 0:00,0.000 ,0 
2023/3/31 1:00,0.000 ,0 
2023/3/31 2:00,0.000 ,0 
2023/3/31 3:00,0.000 ,0 
2023/3/31 4:00,0.000 ,0 
2023/3/31 5:00,0.000 ,0 
2023/3/31 6:00,0.008 ,8 
2023/3/31 7:00,0.605 ,605 
2023/3/31 8:00,3.048 ,3048 
2023/3/31 9:00,7.348 ,7348 
