Time,generation(kWh),power(W)
2021-09-20 07:00:00,0.084,84.0
2021-09-20 08:00:00,0.563,563.0
2021-09-20 09:00:00,0.723,723.0
2021-09-20 10:00:00,1.161,1161.0
2021-09-20 11:00:00,2.323,2323.0
2021-09-20 12:00:00,5.381,5381.0
2021-09-20 13:00:00,6.076,6076.0
2021-09-20 14:00:00,5.364,5364.0
2021-09-20 15:00:00,3.675,3675.0
2021-09-20 16:00:00,2.003,2003.0
2021-09-20 17:00:00,1.47,1470.0
2021-09-20 18:00:00,0.669,669.0
2021-09-20 19:00:00,0.107,107.0
2021-09-20 20:00:00,0.0,0.0
2021-09-20 21:00:00,0.0,0.0
2021-09-20 22:00:00,0.0,0.0
2021-09-20 23:00:00,0.0,0.0
2021-09-21 00:00:00,0.0,0.0
2021-09-21 01:00:00,0.0,0.0
2021-09-21 02:00:00,0.0,0.0
2021-09-21 03:00:00,0.0,0.0
2021-09-21 04:00:00,0.0,0.0
2021-09-21 05:00:00,0.0,0.0
2021-09-21 06:00:00,0.0,0.0
2021-09-21 07:00:00,0.08,80.0
2021-09-21 08:00:00,1.07,1070.0
2021-09-21 09:00:00,2.307,2307.0
2021-09-21 10:00:00,3.716,3716.0
2021-09-21 11:00:00,5.106,5106.0
2021-09-21 12:00:00,5.868,5868.0
2021-09-21 13:00:00,6.116,6116.0
2021-09-21 14:00:00,1.434,1434.0
2021-09-21 15:00:00,0.657,657.0
2021-09-21 16:00:00,1.664,1664.0
2021-09-21 17:00:00,1.98,1980.0
2021-09-21 18:00:00,0.619,619.0
2021-09-21 19:00:00,0.071,71.0
2021-09-21 20:00:00,0.0,0.0
2021-09-21 21:00:00,0.0,0.0
2021-09-21 22:00:00,0.0,0.0
2021-09-21 23:00:00,0.0,0.0
2021-09-22 00:00:00,0.0,0.0
2021-09-22 01:00:00,0.0,0.0
2021-09-22 02:00:00,0.0,0.0
2021-09-22 03:00:00,0.0,0.0
2021-09-22 04:00:00,0.0,0.0
2021-09-22 05:00:00,0.0,0.0
2021-09-22 06:00:00,0.0,0.0
2021-09-22 07:00:00,0.117,117.0
2021-09-22 08:00:00,1.039,1039.0
2021-09-22 09:00:00,1.942,1942.0
2021-09-22 10:00:00,2.462,2462.0
2021-09-22 11:00:00,4.705,4705.0
2021-09-22 12:00:00,5.707,5707.0
2021-09-22 13:00:00,5.751,5751.0
2021-09-22 14:00:00,4.913,4913.0
2021-09-22 15:00:00,4.115,4115.0
2021-09-22 16:00:00,2.757,2757.0
2021-09-22 17:00:00,1.34,1340.0
2021-09-22 18:00:00,0.452,452.0
2021-09-22 19:00:00,0.098,98.0
2021-09-22 20:00:00,0.0,0.0
2021-09-22 21:00:00,0.0,0.0
2021-09-22 22:00:00,0.0,0.0
2021-09-22 23:00:00,0.0,0.0
2021-09-23 00:00:00,0.0,0.0
2021-09-23 01:00:00,0.0,0.0
2021-09-23 02:00:00,0.0,0.0
2021-09-23 03:00:00,0.0,0.0
2021-09-23 04:00:00,0.0,0.0
2021-09-23 05:00:00,0.0,0.0
2021-09-23 06:00:00,0.0,0.0
2021-09-23 07:00:00,0.07,70.0
2021-09-23 08:00:00,0.437,437.0
2021-09-23 09:00:00,0.577,577.0
2021-09-23 10:00:00,0.358,358.0
2021-09-23 11:00:00,0.41,410.0
2021-09-23 12:00:00,0.439,439.0
2021-09-23 13:00:00,0.774,774.0
2021-09-23 14:00:00,1.216,1216.0
2021-09-23 15:00:00,2.077,2077.0
2021-09-23 16:00:00,1.654,1654.0
2021-09-23 17:00:00,1.05,1050.0
2021-09-23 18:00:00,0.037,37.0
2021-09-23 19:00:00,0.0,0.0
2021-09-23 20:00:00,0.0,0.0
2021-09-23 21:00:00,0.0,0.0
2021-09-23 22:00:00,0.0,0.0
2021-09-23 23:00:00,0.0,0.0
2021-09-24 00:00:00,0.0,0.0
2021-09-24 01:00:00,0.0,0.0
2021-09-24 02:00:00,0.0,0.0
2021-09-24 03:00:00,0.0,0.0
2021-09-24 04:00:00,0.0,0.0
2021-09-24 05:00:00,0.0,0.0
2021-09-24 06:00:00,0.0,0.0
2021-09-24 07:00:00,0.163,163.0
2021-09-24 08:00:00,1.032,1032.0
2021-09-24 09:00:00,1.518,1518.0
2021-09-24 10:00:00,1.932,1932.0
2021-09-24 11:00:00,3.8,3800.0
2021-09-24 12:00:00,4.877,4877.0
2021-09-24 13:00:00,3.545,3545.0
2021-09-24 14:00:00,3.188,3188.0
2021-09-24 15:00:00,2.462,2462.0
2021-09-24 16:00:00,2.245,2245.0
2021-09-24 17:00:00,1.273,1273.0
2021-09-24 18:00:00,0.436,436.0
2021-09-24 19:00:00,0.077,77.0
2021-09-24 20:00:00,0.0,0.0
2021-09-24 21:00:00,0.0,0.0
2021-09-24 22:00:00,0.0,0.0
2021-09-24 23:00:00,0.0,0.0
2021-09-25 00:00:00,0.0,0.0
2021-09-25 01:00:00,0.0,0.0
2021-09-25 02:00:00,0.0,0.0
2021-09-25 03:00:00,0.0,0.0
2021-09-25 04:00:00,0.0,0.0
2021-09-25 05:00:00,0.0,0.0
2021-09-25 06:00:00,0.0,0.0
2021-09-25 07:00:00,0.071,71.0
2021-09-25 08:00:00,0.541,541.0
2021-09-25 09:00:00,1.778,1778.0
2021-09-25 10:00:00,1.839,1839.0
2021-09-25 11:00:00,3.631,3631.0
2021-09-25 12:00:00,3.834,3834.0
2021-09-25 13:00:00,4.687,4687.0
2021-09-25 14:00:00,4.988,4988.0
2021-09-25 15:00:00,3.88,3880.0
2021-09-25 16:00:00,2.69,2690.0
2021-09-25 17:00:00,1.19,1190.0
