Time,generation(kWh),power(W)
2021-04-12 01:00:00,0.0,0.0
2021-04-12 01:00:00,0.0,0.0
2021-04-12 02:00:00,0.0,0.0
2021-04-12 02:00:00,0.0,0.0
2021-04-12 03:00:00,0.0,0.0
2021-04-12 03:00:00,0.0,0.0
2021-04-12 04:00:00,0.0,0.0
2021-04-12 04:00:00,0.0,0.0
2021-04-12 05:00:00,0.0,0.0
2021-04-12 05:00:00,0.0,0.0
2021-04-12 06:00:00,0.0,0.0
2021-04-12 06:00:00,0.0,0.0
2021-04-12 07:00:00,0.512,512.0
2021-04-12 07:00:00,0.574,574.0
2021-04-12 08:00:00,1.572,1572.0
2021-04-12 08:00:00,1.824,1824.0
2021-04-12 09:00:00,3.118,3118.0
2021-04-12 09:00:00,3.694,3694.0
2021-04-12 10:00:00,7.556,7556.0
2021-04-12 10:00:00,6.31,6310.0
2021-04-12 11:00:00,16.057,16056.999999999998
2021-04-12 11:00:00,13.356,13356.0
2021-04-12 12:00:00,17.384,17384.0
2021-04-12 12:00:00,15.358,15358.0
2021-04-12 13:00:00,17.544,17544.0
2021-04-12 13:00:00,15.523,15523.0
2021-04-12 14:00:00,15.091,15091.0
2021-04-12 14:00:00,17.114,17114.0
2021-04-12 15:00:00,18.202,18202.0
2021-04-12 15:00:00,20.436,20436.0
2021-04-12 16:00:00,8.802,8802.0
2021-04-12 16:00:00,9.924,9924.0
2021-04-12 17:00:00,3.407,3407.0
2021-04-12 17:00:00,3.88,3880.0
2021-04-12 18:00:00,3.088,3088.0
2021-04-12 18:00:00,2.886,2886.0
2021-04-12 19:00:00,0.429,429.0
2021-04-12 19:00:00,0.443,443.0
2021-04-12 20:00:00,0.0,0.0
2021-04-12 20:00:00,0.0,0.0
2021-04-12 21:00:00,0.0,0.0
2021-04-12 21:00:00,0.0,0.0
2021-04-12 22:00:00,0.0,0.0
2021-04-12 22:00:00,0.0,0.0
2021-04-12 23:00:00,0.0,0.0
2021-04-12 23:00:00,0.0,0.0
2021-04-13 00:00:00,0.0,0.0
2021-04-13 00:00:00,0.0,0.0
2021-04-13 01:00:00,0.0,0.0
2021-04-13 01:00:00,0.0,0.0
2021-04-13 02:00:00,0.0,0.0
2021-04-13 02:00:00,0.0,0.0
2021-04-13 03:00:00,0.0,0.0
2021-04-13 03:00:00,0.0,0.0
2021-04-13 04:00:00,0.0,0.0
