Time,generation(kWh),power(W)
2021-04-12 01:00:00,0.0,0.0
2021-04-12 02:00:00,0.0,0.0
2021-04-12 03:00:00,0.0,0.0
2021-04-12 04:00:00,0.0,0.0
2021-04-12 05:00:00,0.0,0.0
2021-04-12 06:00:00,0.0,0.0
2021-04-12 07:00:00,0.574,574.0
2021-04-12 08:00:00,1.824,1824.0
2021-04-12 09:00:00,3.694,3694.0
2021-04-12 10:00:00,7.556,7556.0
2021-04-12 11:00:00,16.057,16056.999999999998
2021-04-12 12:00:00,17.384,17384.0
2021-04-12 13:00:00,17.544,17544.0
2021-04-12 14:00:00,17.114,17114.0
2021-04-12 15:00:00,20.436,20436.0
2021-04-12 16:00:00,9.924,9924.0
2021-04-12 17:00:00,3.88,3880.0
2021-04-12 18:00:00,3.088,3088.0
2021-04-12 19:00:00,0.429,429.0
2021-04-12 20:00:00,0.0,0.0
2021-04-12 21:00:00,0.0,0.0
2021-04-12 22:00:00,0.0,0.0
2021-04-12 23:00:00,0.0,0.0
2021-04-13 00:00:00,0.0,0.0
2021-04-13 01:00:00,0.0,0.0
2021-04-13 02:00:00,0.0,0.0
2021-04-13 03:00:00,0.0,0.0
2021-04-13 04:00:00,0.0,0.0
2021-04-13 05:00:00,0.0,0.0
2021-04-13 06:00:00,0.0,0.0
2021-04-13 07:00:00,0.681,681.0
2021-04-13 08:00:00,3.529,3529.0
2021-04-13 09:00:00,8.333,8333.0
2021-04-13 10:00:00,14.429,14429.0
2021-04-13 11:00:00,21.078,21078.0
2021-04-13 12:00:00,22.709,22709.0
2021-04-13 13:00:00,22.787,22787.0
2021-04-13 14:00:00,22.517,22517.0
2021-04-13 15:00:00,20.245,20245.0
2021-04-13 16:00:00,14.296,14296.0
2021-04-13 17:00:00,6.635,6635.0
2021-04-13 18:00:00,2.48,2480.0
2021-04-13 19:00:00,0.341,341.0
2021-04-13 20:00:00,0.0,0.0
2021-04-13 21:00:00,0.0,0.0
2021-04-13 22:00:00,0.0,0.0
2021-04-13 23:00:00,0.0,0.0
2021-04-14 00:00:00,0.0,0.0
2021-04-14 01:00:00,0.0,0.0
2021-04-14 02:00:00,0.0,0.0
2021-04-14 03:00:00,0.0,0.0
2021-04-14 04:00:00,0.0,0.0
2021-04-14 05:00:00,0.0,0.0
2021-04-14 06:00:00,0.0,0.0
2021-04-14 07:00:00,0.511,511.0
2021-04-14 08:00:00,3.166,3166.0
2021-04-14 09:00:00,2.6,2600.0
2021-04-14 10:00:00,2.695,2695.0
2021-04-14 11:00:00,1.267,1267.0
2021-04-14 12:00:00,2.002,2002.0
2021-04-14 13:00:00,2.152,2152.0
2021-04-14 14:00:00,1.729,1729.0
2021-04-14 15:00:00,1.736,1736.0
2021-04-14 16:00:00,1.606,1606.0
2021-04-14 17:00:00,0.74,740.0
2021-04-14 18:00:00,0.294,294.0
2021-04-14 19:00:00,0.027,27.0
2021-04-14 20:00:00,0.0,0.0
2021-04-14 21:00:00,0.0,0.0
2021-04-14 22:00:00,0.0,0.0
2021-04-14 23:00:00,0.0,0.0
2021-04-15 00:00:00,0.0,0.0
2021-04-15 01:00:00,0.0,0.0
2021-04-15 02:00:00,0.0,0.0
2021-04-15 03:00:00,0.0,0.0
2021-04-15 04:00:00,0.0,0.0
2021-04-15 05:00:00,0.0,0.0
2021-04-15 06:00:00,0.0,0.0
2021-04-15 07:00:00,0.009,9.0
2021-04-15 08:00:00,0.226,226.0
2021-04-15 09:00:00,0.491,491.0
2021-04-15 10:00:00,0.913,913.0
2021-04-15 11:00:00,1.539,1539.0
2021-04-15 12:00:00,2.391,2391.0
2021-04-15 13:00:00,1.94,1940.0
2021-04-15 14:00:00,1.446,1446.0
2021-04-15 15:00:00,1.934,1934.0
2021-04-15 16:00:00,1.195,1195.0
2021-04-15 17:00:00,0.713,713.0
2021-04-15 18:00:00,0.203,203.0
2021-04-15 19:00:00,0.001,1.0
2021-04-15 20:00:00,0.0,0.0
2021-04-15 21:00:00,0.0,0.0
2021-04-15 22:00:00,0.0,0.0
2021-04-15 23:00:00,0.0,0.0
2021-04-16 00:00:00,0.0,0.0
2021-04-16 01:00:00,0.0,0.0
2021-04-16 02:00:00,0.0,0.0
2021-04-16 03:00:00,0.0,0.0
2021-04-16 04:00:00,0.0,0.0
2021-04-16 05:00:00,0.0,0.0
2021-04-16 06:00:00,0.0,0.0
2021-04-16 07:00:00,0.003,3.0
2021-04-16 08:00:00,0.239,239.0
2021-04-16 09:00:00,0.588,588.0
2021-04-16 10:00:00,0.93,930.0
2021-04-16 11:00:00,1.244,1244.0
2021-04-16 12:00:00,2.008,2008.0
2021-04-16 13:00:00,4.976,4976.0
2021-04-16 14:00:00,8.435,8435.0
2021-04-16 15:00:00,4.258,4258.0
2021-04-16 16:00:00,3.224,3224.0
2021-04-16 17:00:00,1.51,1510.0
2021-04-16 18:00:00,0.842,842.0
2021-04-16 19:00:00,0.159,159.0
2021-04-16 20:00:00,0.0,0.0
2021-04-16 21:00:00,0.0,0.0
2021-04-16 22:00:00,0.0,0.0
2021-04-16 23:00:00,0.0,0.0
2021-04-17 00:00:00,0.0,0.0
2021-04-17 01:00:00,0.0,0.0
2021-04-17 02:00:00,0.0,0.0
2021-04-17 03:00:00,0.0,0.0
2021-04-17 04:00:00,0.0,0.0
2021-04-17 05:00:00,0.0,0.0
2021-04-17 06:00:00,0.0,0.0
2021-04-17 07:00:00,0.045,45.0
2021-04-17 08:00:00,0.399,399.0
2021-04-17 09:00:00,0.564,564.0
2021-04-17 10:00:00,0.885,885.0
2021-04-17 11:00:00,1.275,1275.0
2021-04-17 12:00:00,1.431,1431.0
2021-04-17 13:00:00,1.293,1293.0
2021-04-17 14:00:00,1.528,1528.0
2021-04-17 15:00:00,1.927,1927.0
2021-04-17 16:00:00,2.939,2939.0
2021-04-17 17:00:00,1.489,1489.0
2021-04-17 18:00:00,0.986,986.0
2021-04-17 19:00:00,0.041,41.0
2021-04-17 20:00:00,0.0,0.0
2021-04-17 21:00:00,0.0,0.0
2021-04-17 22:00:00,0.0,0.0
2021-04-17 23:00:00,0.0,0.0
2021-04-18 00:00:00,0.0,0.0
2021-04-18 01:00:00,0.0,0.0
2021-04-18 02:00:00,0.0,0.0
2021-04-18 03:00:00,0.0,0.0
2021-04-18 04:00:00,0.0,0.0
2021-04-18 05:00:00,0.0,0.0
2021-04-18 06:00:00,0.0,0.0
2021-04-18 07:00:00,1.635,1635.0
2021-04-18 08:00:00,3.685,3685.0
2021-04-18 09:00:00,6.464,6464.0
2021-04-18 10:00:00,13.017,13017.0
2021-04-18 11:00:00,18.172,18172.0
2021-04-18 12:00:00,21.385,21385.0
2021-04-18 13:00:00,12.673,12673.0
2021-04-18 14:00:00,4.907,4907.0
2021-04-18 15:00:00,4.331,4331.0
2021-04-18 16:00:00,4.648,4648.0
2021-04-18 17:00:00,2.247,2247.0
2021-04-18 18:00:00,1.36,1360.0
2021-04-18 19:00:00,0.161,161.0
2021-04-18 20:00:00,0.0,0.0
2021-04-18 21:00:00,0.0,0.0
2021-04-18 22:00:00,0.0,0.0
2021-04-18 23:00:00,0.0,0.0
2021-04-19 00:00:00,0.0,0.0
2021-04-19 01:00:00,0.0,0.0
2021-04-19 02:00:00,0.0,0.0
2021-04-19 03:00:00,0.0,0.0
2021-04-19 04:00:00,0.0,0.0
2021-04-19 05:00:00,0.0,0.0
2021-04-19 06:00:00,0.0,0.0
2021-04-19 07:00:00,0.757,757.0
2021-04-19 08:00:00,1.782,1782.0
2021-04-19 09:00:00,6.131,6131.0
2021-04-19 10:00:00,6.469,6469.0
2021-04-19 11:00:00,10.654,10654.0
